Pathway	pVal	zScore	Genes	type	comparison
Agranulocyte Adhesion and Diapedesis	3.04	0	Ccl2,Ccl6,CXCL10,Cxcl11,CXCL14,CXCL16,CXCL2,CXCL3,Cxcl9,CXCR4,FN1,IL1B,IL1RN,JAM3,MMP15,TNF	Canonical	R62_12wk
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	3.07	0	CXCL10,IL12B,IL1B,IL1RN,IL6,TNF	Canonical	R62_12wk
Th17 Activation Pathway	3.11	1	HSP90AB1,HSP90B1,IL12B,IL1B,IL23A,IL6,NFATC2,PTGER4,RORA	Canonical	R62_12wk
Systemic Lupus Erythematosus Signaling	3.21	0	C8B,CAMK4,CD22,CD72,CD86,HLA-A,HLA-G,IL1B,IL1RN,IL6,MAPK1,NFATC2,PRPF18,RAP2B,SNRPD3,TLR7,TNF	Canonical	R62_12wk
Calcium-induced T Lymphocyte Apoptosis	3.29	-1.66666666666667	ATP2A2,ATP2A3,CAMK4,CAPN2,HLA-A,HLA-DQA1,ITPR2,NFATC2,PRKCA	Canonical	R62_12wk
Granulocyte Adhesion and Diapedesis	3.29	0	Ccl2,Ccl6,CXCL10,Cxcl11,CXCL14,CXCL16,CXCL2,CXCL3,Cxcl9,CXCR4,IL1B,IL1RN,JAM3,MMP15,SDC3,TNF	Canonical	R62_12wk
Atherosclerosis Signaling	3.54	0	APOD,APOE,APOF,CD36,CSF1,CXCR4,F3,IL1B,IL1RN,IL6,LPL,LYZ,MSR1,TNF	Canonical	R62_12wk
Type I Diabetes Mellitus Signaling	3.55	1.13389341902768	CD86,HLA-A,HLA-DQA1,HLA-G,IL12B,IL1B,IRF1,MAP3K14,MAPK1,PRF1,SOCS2,STAT1,TNF	Canonical	R62_12wk
Interferon Signaling	3.75	2.44948974278318	IFI35,IFIT1,IFITM3,IRF1,IRF9,STAT1,STAT2	Canonical	R62_12wk
Communication between Innate and Adaptive Immune Cells	4.03	0	CD86,CXCL10,HLA-A,HLA-G,IL12B,IL1B,IL1RN,IL6,TLR1,TLR7,TNF	Canonical	R62_12wk
TREM1 Signaling	4.1	1.50755672288882	CD86,CXCL3,IL1B,IL6,ITGAX,MAPK1,NLRC5,STAT5B,TLR1,TLR7,TNF	Canonical	R62_12wk
LXR/RXR Activation	4.28	-1.15470053837925	ABCG1,APOD,APOE,APOF,CD36,CYP51A1,IL1B,IL1RN,IL6,LPL,LYZ,MSR1,PTGS2,SERPINF1,TNF	Canonical	R62_12wk
