Pathway	pVal	zScore	Genes	type	comparison
Leucine Degradation I	1.35	FALSE	BCAT1	Canonical	Short_Fragment_Only
Superoxide Radicals Degradation	1.4	FALSE	NQO1	Canonical	Short_Fragment_Only
Aryl Hydrocarbon Receptor Signaling	1.43	FALSE	ALDH1L2,NFE2L2,NQO1	Canonical	Short_Fragment_Only
Aspartate Degradation II	1.45	FALSE	GOT1	Canonical	Short_Fragment_Only
Superpathway of Serine and Glycine Biosynthesis I	1.45	FALSE	PSPH	Canonical	Short_Fragment_Only
Glutamate Receptor Signaling	1.46	FALSE	SLC1A4,SLC38A1	Canonical	Short_Fragment_Only
Unfolded protein response	1.48	FALSE	INSIG1,NFE2L2	Canonical	Short_Fragment_Only
Pyruvate Fermentation to Lactate	1.52	FALSE	LDHA	Canonical	Short_Fragment_Only
Serotonin and Melatonin Biosynthesis	1.52	FALSE	TPH1	Canonical	Short_Fragment_Only
FXR/RXR Activation	1.57	FALSE	FASN,SERPINF1,VLDLR	Canonical	Short_Fragment_Only
Serine Biosynthesis	1.6	FALSE	PSPH	Canonical	Short_Fragment_Only
Trans, trans-farnesyl Diphosphate Biosynthesis	1.6	FALSE	IDI1	Canonical	Short_Fragment_Only
Stearate Biosynthesis I (Animals)	1.64	FALSE	DHCR24,FASN	Canonical	Short_Fragment_Only
Acetate Conversion to Acetyl-CoA	1.69	FALSE	ACSS3	Canonical	Short_Fragment_Only
L-cysteine Degradation I	1.69	FALSE	GOT1	Canonical	Short_Fragment_Only
Retinoate Biosynthesis II	1.69	FALSE	RBP1	Canonical	Short_Fragment_Only
Inhibition of Matrix Metalloproteases	1.77	FALSE	ADAM12,HSPG2	Canonical	Short_Fragment_Only
Sirtuin Signaling Pathway	1.77	FALSE	DOT1L,LDHA,NEDD4,NFE2L2,NQO1	Canonical	Short_Fragment_Only
NRF2-mediated Oxidative Stress Response	1.79	FALSE	DNAJB5,MAF,NFE2L2,NQO1	Canonical	Short_Fragment_Only
Aspartate Biosynthesis	1.82	FALSE	GOT1	Canonical	Short_Fragment_Only
Glutamate Degradation II	1.82	FALSE	GOT1	Canonical	Short_Fragment_Only
Acute Phase Response Signaling	1.87	FALSE	OSMR,RBP1,SERPINF1,TNFRSF1A	Canonical	Short_Fragment_Only
Alanine Biosynthesis II	1.99	FALSE	GPT2	Canonical	Short_Fragment_Only
Alanine Degradation III	1.99	FALSE	GPT2	Canonical	Short_Fragment_Only
Epoxysqualene Biosynthesis	1.99	FALSE	SQLE	Canonical	Short_Fragment_Only
Fatty Acid Biosynthesis Initiation II	1.99	FALSE	FASN	Canonical	Short_Fragment_Only
L-cysteine Degradation III	1.99	FALSE	GOT1	Canonical	Short_Fragment_Only
Palmitate Biosynthesis I (Animals)	1.99	FALSE	FASN	Canonical	Short_Fragment_Only
The Visual Cycle	2.34	FALSE	RBP1,RPE65	Canonical	Short_Fragment_Only
LXR/RXR Activation	3.41	FALSE	FASN,HMGCR,LDLR,SERPINF1,TNFRSF1A	Canonical	Short_Fragment_Only
Zymosterol Biosynthesis	3.42	FALSE	MSMO1,NSDHL	Canonical	Short_Fragment_Only
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	7.59	FALSE	HMGCR,HMGCS1,IDI1,MVD,MVK	Canonical	Short_Fragment_Only
Mevalonate Pathway I	8.21	FALSE	HMGCR,HMGCS1,IDI1,MVD,MVK	Canonical	Short_Fragment_Only
Cholesterol Biosynthesis I	10.6	FALSE	DHCR24,DHCR7,MSMO1,NSDHL,SC5D,SQLE	Canonical	Short_Fragment_Only
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	10.6	FALSE	DHCR24,DHCR7,MSMO1,NSDHL,SC5D,SQLE	Canonical	Short_Fragment_Only
Cholesterol Biosynthesis III (via Desmosterol)	10.6	FALSE	DHCR24,DHCR7,MSMO1,NSDHL,SC5D,SQLE	Canonical	Short_Fragment_Only
Superpathway of Cholesterol Biosynthesis	17.9	FALSE	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE	Canonical	Short_Fragment_Only
SREBF2 Signaling	17.1390633792999	FALSE	DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,STARD4	Upstream	Short_Fragment_Only
(-)-norephedrine Signaling	16.8664610916298	FALSE	DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MSMO1,MVD,MVK,SQLE	Upstream	Short_Fragment_Only
SCAP Signaling	16.8181564120552	FALSE	DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,STARD4	Upstream	Short_Fragment_Only
SH3TC2 Signaling	15.5917600346881	FALSE	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,MVD,MVK,NSDHL,SC5D,SQLE	Upstream	Short_Fragment_Only
isoquercitrin Signaling	14.4596705252091	FALSE	DHCR7,FASN,HMGCR,INSIG1,LDLR,MSMO1,SC5D,SQLE	Upstream	Short_Fragment_Only
SIRT2 Signaling	13.3968556273798	FALSE	DHCR7,HMGCR,IDI1,MVD,MVK,NEDD4,SC5D,SQLE	Upstream	Short_Fragment_Only
POR Signaling	13.2612194415156	FALSE	CHMP4C,DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,STARD4	Upstream	Short_Fragment_Only
RPTOR Signaling	12.8996294548824	FALSE	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,LDHA,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE	Upstream	Short_Fragment_Only
lysophosphatidylcholine Signaling	12.8728952016352	FALSE	DHCR7,FASN,HMGCR,HMGCS1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SQLE	Upstream	Short_Fragment_Only
SREBF1 Signaling	12.2941362877161	FALSE	ABCD2,DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MDK,MSMO1,MVD,NSDHL,RBP1,SC5D,SQLE,STARD4	Upstream	Short_Fragment_Only
MFSD2A Signaling	10.7569619513137	FALSE	DHCR7,FASN,IDI1,INSIG1,LDLR,MVD,STARD4	Upstream	Short_Fragment_Only
ezetimibe Signaling	10.7569619513137	FALSE	DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK	Upstream	Short_Fragment_Only
HDL-cholesterol Signaling	10.7235381958268	FALSE	ALDH1L2,DHCR7,GPT2,HMGCS1,IDI1,MSMO1,SQLE,VLDLR	Upstream	Short_Fragment_Only
CYP51A1 Signaling	10.4461169733561	FALSE	DHCR24,HMGCR,MSMO1,NSDHL,SC5D,SQLE	Upstream	Short_Fragment_Only
CSF1 Signaling	9.73992861201492	FALSE	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,LDHA,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,TNFRSF1A	Upstream	Short_Fragment_Only
INSIG1 Signaling	9.66554624884907	FALSE	DHCR24,DHCR7,FASN,HMGCR,HMGCS1,IDI1,LDLR,MVK,SQLE,STARD4	Upstream	Short_Fragment_Only
C4BP Signaling	9.63827216398241	FALSE	HMGCR,HMGCS1,IDI1,MSMO1,MVD	Upstream	Short_Fragment_Only
LMNB1 Signaling	9.53313237964589	FALSE	DHCR7,FASN,HMGCR,HMGCS1,LDLR,LMNB2,MSMO1,SQLE	Upstream	Short_Fragment_Only
rosuvastatin Signaling	9.48017200622428	FALSE	DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK	Upstream	Short_Fragment_Only
INSR Signaling	9.34678748622466	FALSE	DHCR7,FASN,GAS1,HMGCR,HMGCS1,IDI1,MSMO1,MVD,MVK,NDN,NFE2L2,NSDHL,SC5D,SIX4,SQLE,TNFRSF1A	Upstream	Short_Fragment_Only
cholesterol Signaling	9.31515463835559	FALSE	DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,NSDHL,RGCC,SC5D,SQLE,STARD4	Upstream	Short_Fragment_Only
ATP7B Signaling	8.83268266525182	FALSE	FASN,HMGCR,HMGCS1,IDI1,LDLR,MSMO1,SQLE	Upstream	Short_Fragment_Only
arsenic trioxide Signaling	8.52287874528034	FALSE	BCAT1,DHCR24,DHCR7,FASN,HMGCR,HMGCS1,IDI1,MAF,MSMO1,NFE2L1,NFE2L2,NQO1,SQLE,TNFRSF1A	Upstream	Short_Fragment_Only
Gm35986 Signaling	7.92445303860747	FALSE	HMGCR,HMGCS1,IDI1,MVK	Upstream	Short_Fragment_Only
atorvastatin Signaling	7.76700388960785	FALSE	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MSMO1,MVD,MVK,NSDHL,SQLE	Upstream	Short_Fragment_Only
PPARA Signaling	7.55284196865778	FALSE	ABCD2,DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,KIF20A,MSMO1,MVD,MVK,NFE2L2,NSDHL,SC5D,SQLE	Upstream	Short_Fragment_Only
MPZ Signaling	7.34103515733556	FALSE	HMGCR,HMGCS1,MVD,SDF2L1,SQLE	Upstream	Short_Fragment_Only
25-hydroxycholesterol Signaling	7.27572413039921	FALSE	FASN,HMGCR,HMGCS1,INSIG1,LDLR,STARD4,VLDLR	Upstream	Short_Fragment_Only
IAPP Signaling	7.21824462534753	FALSE	HMGCR,HMGCS1,IDI1,MSMO1,MVD	Upstream	Short_Fragment_Only
metribolone Signaling	7.19246497193115	FALSE	DHCR24,FASN,GOT1,HMGCR,HMGCS1,IDI1,ITGA6,KIF20A,LDHA,LDLR,MAF,NSDHL,PROS1,WIPI1	Upstream	Short_Fragment_Only
KIF3A Signaling	6.88605664769316	FALSE	HMGCR,HMGCS1,IDI1,MVD,NSDHL	Upstream	Short_Fragment_Only
pitavastatin Signaling	6.88605664769316	FALSE	HMGCR,HMGCS1,IDI1,MVD,SQLE	Upstream	Short_Fragment_Only
TP53 Signaling	6.5654310959658	FALSE	ADAM12,BCAT1,CHMP4C,COL14A1,COQ3,DHCR24,DHCR7,DNAJB5,EDIL3,FASN,GAS1,HMGCR,HMGCS1,HSPG2,LDHA,LDLR,MVD,MVK,MVP,NARS1,NRP1,SGPL1,SGTB,SQLE,STARD4,TNFRSF1A,UNC5B,VLDLR,VRK1	Upstream	Short_Fragment_Only
MTORC1 Signaling	6.44733178388781	FALSE	FASN,HMGCR,IDI1,INSIG1,LDHA,NFE2L1	Upstream	Short_Fragment_Only
sterol Signaling	6.43062609038495	FALSE	ABCD2,DHCR7,FASN,HMGCR,LDLR	Upstream	Short_Fragment_Only
PEX5L Signaling	6.25884840114821	FALSE	DHCR7,HMGCR,IDI1,MVK	Upstream	Short_Fragment_Only
SRT2183 Signaling	6.21681130892474	FALSE	FASN,HMGCR,LDLR	Upstream	Short_Fragment_Only
methylpiperidinyl-3b-hydroxycholenamide Signaling	6.21681130892474	FALSE	DHCR24,HMGCR,LDLR	Upstream	Short_Fragment_Only
IFT88 Signaling	6.1266793981846	FALSE	HMGCR,HMGCS1,IDI1,MVD,NSDHL	Upstream	Short_Fragment_Only
NPPB Signaling	6.05749589383192	FALSE	HMGCR,HMGCS1,IDI1,LDLR,MSMO1	Upstream	Short_Fragment_Only
clozapine Signaling	6.02826040911222	FALSE	DHCR7,FASN,HMGCR,HMGCS1,LDLR,SC5D	Upstream	Short_Fragment_Only
ritonavir Signaling	5.98716277529483	FALSE	DHCR7,HMGCR,IDI1,LDLR,MSMO1,MVK,SC5D,SQLE	Upstream	Short_Fragment_Only
INSIG2 Signaling	5.98296666070122	FALSE	FASN,HMGCR,INSIG1,LDLR	Upstream	Short_Fragment_Only
3-deoxy-2-octulosonic acid(2)-lipid A Signaling	5.74472749489669	FALSE	DHCR24,DHCR7,HMGCR,SQLE	Upstream	Short_Fragment_Only
NCOA2 Signaling	5.62893213772826	FALSE	FASN,HMGCR,HMGCS1,IDI1,LDLR,NSDHL,PPP1R3C	Upstream	Short_Fragment_Only
PPARGC1B Signaling	5.60032627851896	FALSE	DHCR24,FASN,HMGCR,MVD,MVK,SQLE	Upstream	Short_Fragment_Only
CREB1 Signaling	5.58838029403677	FALSE	EDIL3,FASN,HMGCR,HMGCS1,IDI1,KCNIP2,LDLR,MSMO1,MVD,MVK,NRP1,OMG,PDE1C,RIPOR2	Upstream	Short_Fragment_Only
ATF4 Signaling	5.53910215724345	FALSE	BCAT1,FASN,NARS1,OSMR,PSPH,SERPINF1,SLC1A4,XPOT	Upstream	Short_Fragment_Only
PML Signaling	5.49894073778225	FALSE	FASN,HMGCR,HMGCS1,IDI1,LDLR,MAF,NFE2L2,NQO1	Upstream	Short_Fragment_Only
cholic acid Signaling	5.49485002168009	FALSE	DHCR7,HMGCR,MDK,MVP,RBP1,SQLE	Upstream	Short_Fragment_Only
AHR Signaling	5.34775365899668	FALSE	COL14A1,EFEMP1,GAS1,GOT1,HMGCR,ITGA6,LDHA,NFE2L2,NQO1,RBP1,SLC1A4	Upstream	Short_Fragment_Only
desmosterol Signaling	5.27984069659404	FALSE	DHCR24,HMGCR,LDLR	Upstream	Short_Fragment_Only
NPC1 Signaling	5.14813039927023	FALSE	HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK	Upstream	Short_Fragment_Only
haloperidol Signaling	5.11861534322943	FALSE	HMGCR,HMGCS1,HSPG2,LDLR,OLIG2,SC5D	Upstream	Short_Fragment_Only
ziprasidone Signaling	5.07727454200674	FALSE	HMGCR,HMGCS1,SC5D	Upstream	Short_Fragment_Only
beta-estradiol Signaling	4.98296666070122	FALSE	BCAT1,CNTFR,DHCR24,DHCR7,FASN,GPSM2,GPT2,HMGCR,HMGCS1,HTRA1,INSIG1,LDHA,LDLR,MAF,MSMO1,MVK,NARS1,NFE2L2,NRP1,NSDHL,PPP1R3C,PROS1,SDF2L1,SEZ6,SLC13A3,SQLE,TNFRSF1A	Upstream	Short_Fragment_Only
RORA Signaling	4.98296666070122	FALSE	ABCD2,DHCR24,FASN,GOT1,HMGCR,NSDHL,PPP1R3C,VLDLR	Upstream	Short_Fragment_Only
valproic acid Signaling	4.95467702121334	FALSE	ABCD2,DHCR7,HMGCS1,IDI1,LDLR,MSMO1,MVD,MVK,NQO1,NSDHL,SC5D,SQLE	Upstream	Short_Fragment_Only
lovastatin Signaling	4.86012091359876	FALSE	DHCR7,FASN,HMGCR,HMGCS1,LDLR,MVD,MVK	Upstream	Short_Fragment_Only
hydrogen peroxide Signaling	4.68402965454308	FALSE	DHCR7,FASN,HMGCR,INSIG1,ITGA6,LDLR,MDK,MSMO1,NFE2L2,NQO1,SC5D,SQLE	Upstream	Short_Fragment_Only
LDLR Signaling	4.64397414280688	FALSE	FASN,HMGCR,HSPG2,KIF20A,LDLR,MVD,SC5D,VLDLR	Upstream	Short_Fragment_Only
IFNG Signaling	4.59516628338006	FALSE	BCAN,DHX9,FASN,HMGCR,HMGCS1,HSPG2,HTRA1,IDI1,ITGA6,LDHA,NFE2L1,NMI,NQO1,PLCG1,RGCC,SGPL1,SLC16A9,SQLE,TNFRSF1A,UNC5B,VLDLR	Upstream	Short_Fragment_Only
ATP1A1 Signaling	4.54060751224077	FALSE	HMGCR,LDLR	Upstream	Short_Fragment_Only
MAF Signaling	4.51144928349956	FALSE	HMGCR,IDI1,MAF,NQO1,SQLE	Upstream	Short_Fragment_Only
AKT1 Signaling	4.50723961097316	FALSE	DHCR7,FASN,HMGCR,HMGCS1,MSMO1,NFE2L2,NQO1,SERPINF1,UNC5B	Upstream	Short_Fragment_Only
CTNNBIP1 Signaling	4.48945498979339	FALSE	HMGCR,HMGCS1,IDI1	Upstream	Short_Fragment_Only
DBI Signaling	4.48945498979339	FALSE	FASN,HMGCR,SQLE	Upstream	Short_Fragment_Only
LAMTOR1 Signaling	4.48945498979339	FALSE	FASN,NRP1,SQLE	Upstream	Short_Fragment_Only
MYC Signaling	4.39040559077478	FALSE	BCAT1,COL14A1,CTBS,EFEMP1,FASN,GAS1,GLG1,GOT1,ITGA6,LDHA,NARS1,NFE2L2,NMI,NQO1,NRP1,RBP1,SLC38A1,VLDLR	Upstream	Short_Fragment_Only
MBTPS1 Signaling	4.3777859770337	FALSE	FASN,HMGCR,LDLR	Upstream	Short_Fragment_Only
AGT Signaling	4.34390179798717	FALSE	ADAM12,EFEMP1,FASN,HMGCR,HMGCS1,HSPG2,IDI1,LDLR,MSMO1,PPP1R3C,SCN2A	Upstream	Short_Fragment_Only
ACACB Signaling	4.09097914578884	FALSE	FASN,HMGCR,MVD	Upstream	Short_Fragment_Only
Srebp Signaling	4.09097914578884	FALSE	ABCD2,FASN,LDLR	Upstream	Short_Fragment_Only
mevastatin Signaling	4.09097914578884	FALSE	DHCR7,HMGCR,LDLR	Upstream	Short_Fragment_Only
lipid Signaling	4.0762380391713	FALSE	DHCR7,HMGCR,LDLR,SQLE	Upstream	Short_Fragment_Only
MYLIP Signaling	4.06550154875643	FALSE	LDLR,VLDLR	Upstream	Short_Fragment_Only
trichostatin A Signaling	4.05502409158795	FALSE	BCAT1,FASN,HMGCR,HMGCS1,KIF20A,LDLR,MAF,MVK,NQO1,NRP1,NRXN1,OGT,SGPL1,SLC38A1,TNFRSF1A	Upstream	Short_Fragment_Only
SPOP Signaling	4.00833099262005	FALSE	DHCR24,DHCR7,MVD	Upstream	Short_Fragment_Only
vorinostat Signaling	3.98296666070122	FALSE	ABCD2,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK,TNFRSF1A	Upstream	Short_Fragment_Only
