Pathway	pVal	zScore	Genes	type	comparison
Mevalonate Pathway I	3.04	0	HMGCR,HMGCS1,IDI1	Canonical	Q73_Vs_Q23_Glia
Superpathway of Serine and Glycine Biosynthesis I	3.92	0	PHGDH,PSAT1,SHMT2	Canonical	Q73_Vs_Q23_Glia
Superpathway of Cholesterol Biosynthesis	4.22	-2.23606797749979	HMGCR,HMGCS1,IDI1,SC5D,SQLE	Canonical	Q73_Vs_Q23_Glia
IFNG Signaling	15.7423214251308	4.915	A2M,APOL6,ARC,BCAN,BCL3,BIRC3,BST2,CASP6,CD44,CD55,CD74,CEBPD,CHAC1,CIITA,CLIC4,CXCR4,DDR2,ECE1,FASN,GBP3,GFAP,HAS2,HMGA1,HMGCR,HMGCS1,ICAM1,IDI1,IFI16,IFIT1,IFITM1,IFITM2,ITGA4,ITGA6,KCNMA1,LAMP3,LZTS1,MAN2A1,MMP2,MT1F,MTSS1,NCAN,NMI,NUPR1,OPTN,PAPPA,PCDH17,PHGDH,PLAAT4,PLAU,PLCG1,PMAIP1,PPARD,RUNX2,SERPING1,SLC6A1,SLFN5,SOCS3,SORT1,SPON1,SQLE,TRIL,TXNIP	Upstream	Q73_Vs_Q23_Glia
ATF4 Signaling	12.5951662833801	3.499	AARS1,BCAT1,CHAC1,CTH,DDIT4,DDR2,EIF4EBP1,FASN,GARS1,HERPUD1,MTHFD2,NUPR1,OSMR,PHGDH,PMAIP1,PSAT1,SHMT2,SLC1A5,SLC7A1,STC2	Upstream	Q73_Vs_Q23_Glia
TRIB3 Signaling	10.1530446749802	-2.333	CTH,DDIT4,GARS1,HERPUD1,MTHFD2,PMAIP1,PSAT1,RUNX2,STC2	Upstream	Q73_Vs_Q23_Glia
STAT3 Signaling	9.59687947882418	2.968	A2M,BCL3,BST2,CD74,CEBPD,CEP70,CIITA,CTF1,CXCR4,FASN,GBP3,GFAP,HAS2,HGF,HTR2A,ICAM1,IFI16,IFIT1,IFITM1,IFITM2,MMP2,NRP1,NRP2,PLAU,PMAIP1,PROM1,RPE65,S1PR1,SLFN5,SOCS3,STC2	Upstream	Q73_Vs_Q23_Glia
TGFB1 Signaling	9.45469288353418	2.299	ADAM12,ADAM19,BCL3,CD34,CD44,CD55,CD59,CIITA,CLIC4,COL4A1,CXCR4,DDIT4,DDR2,DISP2,DPYSL3,ECE1,EIF4EBP1,ENPP1,FASN,FGFR2,FXYD5,FZD8,GARS1,GFAP,GRM3,HAS2,HGF,HMGA1,HS6ST2,ICAM1,IDI1,IFI16,ITGA4,ITGA6,mir-10,MMP2,MTHFD2,NCAN,NDST1,NRP1,NUPR1,PAPPA,PHGDH,PLAU,PLOD2,PMEPA1,PODXL,PPARD,PROM1,PSAT1,RASGRF2,RFC4,RUNX2,S1PR1,SHMT2,SLC7A1,SOCS3,STC2,TNFAIP3,TXNIP	Upstream	Q73_Vs_Q23_Glia
TNF Signaling	9.00217691925427	3.89	A2M,ABCD2,ARC,B4GALT1,BCL3,BIRC3,BST2,CASP6,CD44,CD55,CD59,CEBPD,CIITA,CLIC4,CRH,CRY1,CXCR4,DCBLD2,FASN,FGFR2,GBP3,GFAP,GRM3,HAS2,HGF,HMGCR,HPRT1,ICAM1,IFI16,IFIT1,IFITM1,ITGA4,ITGA6,LAMP3,MMD,MMP2,NCAN,NRP1,NUAK2,OLFML2A,OPTN,OSMR,PAPPA,PCDH10,PHGDH,PLAAT4,PLAU,PLOD2,PMAIP1,PPARD,RBP1,RFTN1,RUNX2,SLC7A1,SOCS3,SQLE,ST8SIA4,TNFAIP3,TXNIP	Upstream	Q73_Vs_Q23_Glia
F2 Signaling	8.71669877129645	3.907	B4GALT1,BCL3,BIRC3,CD44,CD55,COL4A1,CXCR4,ECE1,HAS2,HMGA1,ICAM1,LMCD1,MMP2,MTSS1,NCOA7,NUAK2,PGM2L1,PMAIP1,SLC7A1,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
HRAS Signaling	8.53461714855158	1.184	A2M,ARHGAP26,BIRC3,CD44,CEBPD,COL4A1,DNER,EFEMP1,EIF4EBP1,ENPP1,FASN,HAS2,HGF,ICAM1,IFITM2,IL13RA1,ITGA4,ITGA6,mir-10,MMP2,NRP1,OAF,PDLIM1,PLAU,PLOD2,PMEPA1,RPL37,SOCS3,SPON1,SQLE,TOX2	Upstream	Q73_Vs_Q23_Glia
