Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X	ensembl_gene_id	external_gene_name	gene_biotype	description	percentage_gene_gc_content
1433689_s_at	-0.336550656159284	12.9563011166332	-3.18751142761661	0.00318843370548621	0.0369386035453173	-1.90722455918721	18231	ENSMUSG00000006333	Rps9	protein_coding	40S ribosomal protein S9  [Source:UniProtKB/Swiss-Prot;Acc:Q6ZWN5]	48.78
1439443_x_at	0.54609184570403	12.6912113262897	3.83398430629837	0.000553734942834111	0.0146608984746145	-0.297324518140083	23788	ENSMUSG00000021957	Tkt	protein_coding	Transketolase  [Source:UniProtKB/Swiss-Prot;Acc:P40142]	50.17
1455955_s_at	0.28333514978833	12.617148960575	3.05994889465594	0.00444125240868013	0.0452726688461349	-2.20844455425286	36330	ENSMUSG00000029146	Snx17	protein_coding	Sorting nexin-17  [Source:UniProtKB/Swiss-Prot;Acc:Q8BVL3]	50.8
1425506_at	-0.329412279510377	12.5829614680535	-3.3753603119278	0.0019390899427806	0.0284021222938183	-1.45273548465127	10428	ENSMUSG00000022836	Mylk	protein_coding	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	46.65
1455929_x_at	0.312453636265179	12.5227286272498	3.13418225895299	0.00366464028537162	0.0402304670176987	-2.03392073295844	36246	ENSMUSG00000007564	Ppp2r1a	protein_coding	protein phosphatase 2, regulatory subunit A, alpha [Source:MGI Symbol;Acc:MGI:1926334]	44.7
1448682_at	-0.346604242902581	12.4270389150795	-4.0533161997471	0.000299336217431222	0.0106563022248077	0.273587164386658	28624	ENSMUSG00000009013	Dynll1	protein_coding	Dynein light chain 1, cytoplasmic  [Source:UniProtKB/Swiss-Prot;Acc:P63168]	50.54
1454758_a_at	-0.615499409178755	12.4207487776948	-4.60061693880933	6.25644926661615e-05	0.00488141391797041	1.73347278947901	34853	ENSMUSG00000022010	Tsc22d1	protein_coding	TSC22 domain family, member 1 [Source:MGI Symbol;Acc:MGI:109127]	45.05
1449506_a_at	-0.273051615881748	12.4188252550653	-3.09724154262931	0.00403339542567021	0.0426194453356399	-2.12104098580137	29679	ENSMUSG00000055762	Eef1d	protein_coding	eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]	52.51
1454636_at	-0.370501351019128	12.3957869190178	-3.45204467546723	0.00157820094602071	0.0254105965729102	-1.26377879145109	34739	ENSMUSG00000009575	Cbx5	protein_coding	Mus musculus chromobox 5 (Cbx5), transcript variant 4, mRNA. [Source:RefSeq mRNA;Acc:NM_001358950]	41.23
1423992_at	-0.569118994417897	12.3796974106466	-3.26741373357721	0.00258387159872887	0.0327866499703027	-1.71542317309771	8664	ENSMUSG00000036180	Gatad2a	protein_coding	Transcriptional repressor p66 alpha  [Source:UniProtKB/Swiss-Prot;Acc:Q8CHY6]	47.39
1423721_at	-0.395050418003855	12.3555616116565	-3.69465792489545	0.000814521776808161	0.0178504518285207	-0.654370335387594	9099	ENSMUSG00000032366	Tpm1	protein_coding	tropomyosin 1, alpha [Source:MGI Symbol;Acc:MGI:98809]	47.5
1448513_a_at	0.34563750508123	12.3050098414296	4.1961724172562	0.000199664449474189	0.00852196853904957	0.650410903406026	28433	ENSMUSG00000021242	Npc2	protein_coding	Epididymal secretory protein E1  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z0J0]	47.51
1416971_at	-0.261724921266644	12.297839205313	-3.03460018826541	0.00474049402062987	0.046935118651212	-2.26753482963562	1773	ENSMUSG00000032330	Cox7a2	protein_coding	Cytochrome c oxidase subunit 7A2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P48771]	41.04
1416156_at	-0.269138272054604	12.2651967723318	-3.27483891055292	0.0025336281052774	0.0324680773546857	-1.69748278265307	546	ENSMUSG00000021823	Vcl	protein_coding	vinculin [Source:MGI Symbol;Acc:MGI:98927]	40.63
1450668_s_at	-0.414206690939997	12.2607436358512	-3.63458020585187	0.000960743512468191	0.0195943546810709	-0.80681298562634	30957	ENSMUSG00000073676	Hspe1	protein_coding	heat shock protein 1 (chaperonin 10) [Source:MGI Symbol;Acc:MGI:104680]	45.69
1448279_at	-0.342716553551506	12.2586078472696	-3.77526310202685	0.000651860343564056	0.0159107034664693	-0.448382773978644	27966	ENSMUSG00000029465	Arpc3	protein_coding	Actin-related protein 2/3 complex subunit 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9JM76]	48.02
1456480_at	-0.454930820865572	12.2425835942605	-3.95192185634907	0.000398217464704054	0.0122295895470766	0.00841980854812086	36711	ENSMUSG00000056602	Fry	protein_coding	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	44.39
1416880_at	-0.312676536004091	12.2368008810873	-3.48259563358413	0.0014532484715608	0.0243910704093094	-1.18798280598256	1521	ENSMUSG00000038612	Mcl1	protein_coding	Induced myeloid leukemia cell differentiation   [Source:UniProtKB/Swiss-Prot;Acc:P97287]	48.23
1456695_x_at	0.353850022695957	12.2272262605633	3.14342725571696	0.00357750180117242	0.0395693381038767	-2.01203464729617	36608	ENSMUSG00000029472	Anapc5	protein_coding	Anaphase-promoting complex subunit 5  [Source:UniProtKB/Swiss-Prot;Acc:Q8BTZ4]	45.26
1451159_at	-0.434637271877449	12.2136410292134	-3.40389744093042	0.00179637634653085	0.0272471259402457	-1.38263804466129	31493	ENSMUSG00000059495	Arhgef12	protein_coding	Mus musculus Rho guanine nucleotide exchange factor (GEF) 12 (Arhgef12), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001359232]	41.93
1416979_at	-0.325119249940686	12.192456530136	-3.5049630374856	0.00136787369158188	0.0234923792713245	-1.1323093459286	1492	ENSMUSG00000029649	Pomp	protein_coding	Proteasome maturation protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9CQT5]	49.12
1434694_at	-0.661685071339789	12.1719434900691	-5.0772910875312	1.56677680356288e-05	0.00222111595522943	3.02939031514813	19501	ENSMUSG00000007476	Lrrc8a	protein_coding	Volume-regulated anion channel subunit LRRC8A  [Source:UniProtKB/Swiss-Prot;Acc:Q80WG5]	51.64
1423368_at	-0.552317170314062	12.1671144431972	-4.1429166389951	0.00023228135618138	0.00933682843739207	0.509520707351742	8162	ENSMUSG00000020585	Laptm4a	protein_coding	lysosomal-associated protein transmembrane 4A [Source:MGI Symbol;Acc:MGI:108017]	42.47
1429109_at	-0.502606281488962	12.147376703693	-3.50466854797386	0.00136896563412997	0.0234923792713245	-1.13304332256469	15001	ENSMUSG00000066415	Msl2	protein_coding	E3 ubiquitin-protein ligase MSL2  [Source:UniProtKB/Swiss-Prot;Acc:Q69ZF8]	41.1
