Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X	ensembl_gene_id	external_gene_name	gene_biotype	description	percentage_gene_gc_content
1425468_at	-0.20700511783407	13.4292109160124	-3.08506293872441	0.00416755973853059	0.0280740049845225	-2.54694956286833	10399	ENSMUSG00000031425	Plp1	protein_coding	proteolipid protein (myelin) 1 [Source:MGI Symbol;Acc:MGI:97623]	42.06
1433443_a_at	-0.294633844078016	13.265049291902	-6.30071582172346	4.49667652134045e-07	2.28523976115019e-05	6.2846253924302	18147	ENSMUSG00000093930	Hmgcs1	protein_coding	Hydroxymethylglutaryl-CoA synthase, cytoplasmic  [Source:UniProtKB/Swiss-Prot;Acc:Q8JZK9]	41.68
1448737_at	-0.163767121598456	13.2579150184169	-2.8896343752511	0.00685953199077307	0.0404427104283325	-3.01036718705375	28948	ENSMUSG00000058254	Tspan7	protein_coding	tetraspanin 7 [Source:MGI Symbol;Acc:MGI:1298407]	40.22
1448752_at	-0.358810784145689	13.2451680571069	-6.08348418366082	8.42086461494588e-07	3.75568196415177e-05	5.66979020408253	28606	ENSMUSG00000027562	Car2	protein_coding	Mus musculus carbonic anhydrase 2 (Car2), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001357334]	41.22
1416749_at	-0.265817167943998	13.2268984545847	-4.6713741399909	5.11920379084808e-05	0.000951201383138565	1.66033672367216	1354	ENSMUSG00000006205	Htra1	protein_coding	Serine protease HTRA1  [Source:UniProtKB/Swiss-Prot;Acc:Q9R118]	48.47
1439443_x_at	-0.243283808321024	13.1776700801787	-3.54451037019316	0.00123089435481306	0.0112125789549881	-1.3976259181549	23788	ENSMUSG00000021957	Tkt	protein_coding	Transketolase  [Source:UniProtKB/Swiss-Prot;Acc:P40142]	50.17
1417636_at	-0.181626478485558	13.1655651366461	-3.31212071532947	0.00229862847406295	0.0180586212750789	-1.98856131558749	2057	ENSMUSG00000028542	Slc6a9	protein_coding	Sodium- and chloride-dependent glycine transporter 1  [Source:UniProtKB/Swiss-Prot;Acc:P28571]	53.59
1429514_at	-0.153645398928001	13.0612837137208	-2.82462652812	0.00807106456667555	0.0454052568753794	-3.16065385518898	14989	ENSMUSG00000028517	Plpp3	protein_coding	Phospholipid phosphatase 3  [Source:UniProtKB/Swiss-Prot;Acc:Q99JY8]	46.41
1428922_at	-0.278518817852024	13.0351203827415	-4.28635502774619	0.000154889530761407	0.00224589819604041	0.58860841441885	14497	ENSMUSG00000043496	Tril	protein_coding	TLR4 interactor with leucine rich repeats  [Source:UniProtKB/Swiss-Prot;Acc:Q9DBY4]	55.44
1434893_at	-0.248317165798968	13.0197220700262	-3.12488265518359	0.00375906602220604	0.0260556933912565	-2.450503979049	19637	ENSMUSG00000007097	Atp1a2	protein_coding	Sodium/potassium-transporting ATPase subunit alpha-2  [Source:UniProtKB/Swiss-Prot;Acc:Q6PIE5]	49.67
