Pathway	pVal	zScore	Genes	type	comparison
Cholesterol Biosynthesis I	4.87	-3.3166247903554	EBP,LSS,NSDHL,SQLE,DHCR24,TM7SF2,CYP51A1,HSD17B7,SC5D,MSMO1,DHCR7	Canonical	R62_12wk
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	4.87	-3.3166247903554	EBP,LSS,NSDHL,SQLE,DHCR24,TM7SF2,CYP51A1,HSD17B7,SC5D,MSMO1,DHCR7	Canonical	R62_12wk
Cholesterol Biosynthesis III (via Desmosterol)	4.87	-3.3166247903554	EBP,LSS,NSDHL,SQLE,DHCR24,TM7SF2,CYP51A1,HSD17B7,SC5D,MSMO1,DHCR7	Canonical	R62_12wk
Superpathway of Cholesterol Biosynthesis	5.9	-3.90006747579955	HMGCS2,EBP,HMGCS1,NSDHL,ACAT2,HMGCR,SC5D,MSMO1,PMVK,LSS,SQLE,DHCR24,IDI1,MVK,TM7SF2,CYP51A1,HSD17B7,MVD,DHCR7	Canonical	R62_12wk
SREBF2 Signaling	6.99567862621736	-4.856	AACS,ACSS2,ALDOC,BMP4,CAMK1D,CDKN1A,CYB5A,CYP51A1,DHCR7,EBP,ELOVL6,FABP7,FADS2,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,LIPA,LSS,MSMO1,MVD,MVK,NSDHL,PMVK,RARRES2,RDH11,SC5D,SCD,SQLE,SREBF2,STARD4,THRSP,TM7SF2	Upstream	R62_12wk
TRIM24 Signaling	6.60205999132796	-5.138	Bst2,CA2,CMPK2,CNOT6,CSRP1,CXCL10,DDX58,DDX60,DHX58,EMB,FBN1,FLRT3,GBP2,GBP4,HERC6,Ifi27l2a/Ifi27l2b,IFI35,IFI44,IFIH1,IFIT1B,IFIT2,IFNGR2,Igtp,Iigp1,IRF7,IRF9,IRGM,Irgm1,JAK2,LGALS3BP,MOV10,NMI,NUMA1,OASL,PARP12,PRPS2,PSMB8,RTP4,SAMD9L,SAMHD1,STAT1,STAT2,TAP1,TGFBI,TRIM26,TRIM6-TRIM34,USP18,VEGFA	Upstream	R62_12wk
SCAP Signaling	5.93930215964639	-4.609	AACS,ABCA1,ACSL4,ACSL5,ACSS2,ALDOC,ASNS,CYB5A,CYP51A1,DDIT3,DHCR7,ELOVL6,FADS2,FASN,GPAM,Gstm6,Gstt3,HMGCR,HMGCS1,HMGCS2,ID1,IDI1,INSIG1,LDLR,LSS,MSMO1,MVD,MVK,NSDHL,PDK1,PMVK,PTGER4,RDH11,SC5D,SCD,SQLE,SREBF2,STARD4,THRSP,TM7SF2	Upstream	R62_12wk
MFSD2A Signaling	5.38510278396687	0	ACSL4,ALDOC,CYP51A1,DHCR7,FADS1,FADS2,FASN,Gstm6,IDI1,INSIG1,LDLR,LSS,MVD,SCD,SREBF2,STARD4	Upstream	R62_12wk
SH3TC2 Signaling	5.23062267392386	0	AACS,CYP51A1,DHCR24,DHCR7,EBP,HMGCR,HMGCS1,HSD17B7,IDI1,LSS,MOBP,MVD,MVK,NSDHL,PMP22,PMVK,Pou3f1,SC5D,SQLE	Upstream	R62_12wk
Ifnar Signaling	5.08884239126002	4.717	AXL,B2M,Bst2,CASP1,CCL22,CD274,CD40,CXCL10,DDIT3,DDX58,EIF2AK2,GBP2,HLA-A,IDO1,IFI35,IFIH1,IFIT1B,IFIT2,IRF7,IRF8,IRF9,Irgm1,Mx1,Mx2,MYD88,NLRC5,OASL,PNPT1,PSMB8,RNF213,RSAD2,STAT1,STAT2,TAP1,TAPBP,TRIM21,UBE2L6,USP18,VCAM1,XAF1	Upstream	R62_12wk
POR Signaling	4.87289520163519	2.122	AASDH,ABCA1,ACAT2,ALDH1A1,Aldh1a7,ANTXR2,ANXA5,ASNS,BDH1,CAPRIN2,CD36,CHMP4C,CYB5B,CYP51A1,CYP7B1,DHCR24,DHCR7,ELOVL1,ELOVL6,ENTPD5,ETHE1,FADS2,GBP2,GPHN,Gstm3,GSTM5,Gstm6,Gstt3,HIF1A,HLA-A,HLA-DQA1,HLA-DQB1,HLF,HMGCR,HMGCS1,HSD17B10,Hsdl2,HSPH1,IDI1,INSIG1,KDR,LDLR,LGALSL,LSS,MAP3K6,MSMO1,MVD,MVK,NSDHL,PFKFB3,PGD,PMVK,POR,PRNP,RAB30,SC5D,SCD,SQLE,SREBF2,STARD4,STAT1,SUSD2,TM7SF2,TMEM176A,TMEM184C,TUBB2B,VEGFA,VNN1,ZMAT4	Upstream	R62_12wk
TCF7L2 Signaling	4.64016451766011	-5.029	9630013A20Rik,ACSL3,ACY3,ADD1,ADGRG1,ANKIB1,ANKRD13A,ARHGEF10,ASPA,ASPH,ATP8B1,AXIN2,BACE1,BIN1,BMP4,CCND1,CCND2,CDKN1A,CLDN11,CREB5,CSRP1,CTNNAL1,CYP51A1,DEGS1,DHCR24,DOCK10,DOCK9,DUSP15,EGFR,ELOVL1,ENTPD5,EPAS1,EPHB1,ERBB3,ERBIN,ERF,FA2H,FGFR2,FKBP1A,Foxn3,G2E3,GAB1,GCLM,GJC2,GRAMD2B,HAPLN2,HIPK2,HMGCS2,ID1,ID2,ID3,ID4,IL1RAP,LDLRAP1,MAL,MCAM,MMP7,MOBP,NFASC,NINJ2,NKAIN1,NKAIN2,NKX6-2,NPC2,OLIG2,OPALIN,OTUD7B,PEX5L,PHACTR4,PIGA,PIP4K2A,PLEKHH1,PLP1,PPP1R14A,PPP1R16B,PRICKLE1,PRRG1,PTPDC1,QKI,RAB33A,RASGEF1B,REEP3,RHOG,ROCK1,SC5D,SDC2,SEMA4D,SH3GL3,SLC1A2,SLC22A23,SLC44A1,SMAD7,SMIM15,SNAP23,SNX30,SOX10,SRD5A1,STK17B,STK39,TMEM125,TMEM141,TMEM182,TMEM63A,TPPP,TRIM59,TSPAN2,TXNDC16,UGT8,VEGFA,YPEL2,ZDHHC9	Upstream	R62_12wk
DBI Signaling	4.1771783546969	-2.646	ACSS2,ELOVL6,FASN,HMGCR,LSS,SQLE,SREBF2	Upstream	R62_12wk
