Node	Module	Type
Spag1	3	Gene
Epb41l1	2	Gene
Hoxb6	2	Gene
Sall4	2	Gene
Hoxd1	3	Gene
Chka	3	Gene
Hoxd3	3	Gene
Rnaseh2b	3	Gene
C19orf12	3	Gene
Nid1	3	Gene
Arfgef3	3	Gene
Gipr	3	Gene
Naa25	3	Gene
Klf11	3	Gene
Arhgap15	3	Gene
Angptl6	3	Gene
Fbxo3	3	Gene
Mogs	3	Gene
Atp10b	3	Gene
Ai504432	3	Gene
Fcor	3	Gene
Med27	3	Gene
Piezo2	3	Gene
Klf15	3	Gene
Slc12a3	3	Gene
Ctsk	3	Gene
Dscaml1	4	Gene
Rptor	3	Gene
Ago2	3	Gene
Zyx	4	Gene
Syt9	4	Gene
Amph	3	Gene
Fcho1	4	Gene
Dip2a	3	Gene
Deptor	3	Gene
Herpud1	3	Gene
Slc4a2	3	Gene
Kif1b	3	Gene
Etnppl	3	Gene
Erlin2	3	Gene
St8sia3	3	Gene
Xpa	3	Gene
Rps6ka5	3	Gene
Micu1	3	Gene
Usp2	3	Gene
Prkra	3	Gene
Bche	3	Gene
Frmd4b	3	Gene
Bcas1	3	Gene
Prim2	3	Gene
Znf239	3	Gene
Dlg2	3	Gene
Ctif	3	Gene
Etv1	3	Gene
Dmp1	3	Gene
Fis1	4	Gene
Trappc12	4	Gene
Atp13a2	3	Gene
Sec16b	4	Gene
Phactr1	4	Gene
Spag5	4	Gene
Grhl3	4	Gene
Map1a	4	Gene
Dmtn	4	Gene
Mical2	4	Gene
Bcl6	3	Gene
Dctn6	4	Gene
Prox1	3	Gene
Lingo2	4	Gene
En2	3	Gene
Pbx3	3	Gene
Odf2	4	Gene
Fgf1	3	Gene
Ccdc13	4	Gene
Nedd9	4	Gene
Chmp2b	4	Gene
Bcl11b	4	Gene
Tmem108	4	Gene
Nkx2-8	4	Gene
Dact1	4	Gene
Cdk16	4	Gene
Adgrg6	4	Gene
Snap91	4	Gene
Skil	4	Gene
Matn2	4	Gene
Brsk2	4	Gene
Mapk8ip1	4	Gene
Klf9	4	Gene
Tmeff2	3	Gene
Pitpnc1	3	Gene
Grm7	3	Gene
Syn1	4	Gene
Slc19a2	3	Gene
Plod2	3	Gene
Pdk3	3	Gene
Myo1e	3	Gene
Me2	3	Gene
Inka2	3	Gene
Iffo1	3	Gene
Gmnn	3	Gene
Gls2	3	Gene
Cpox	3	Gene
Cd82	3	Gene
Card11	3	Gene
Bik	3	Gene
Atl3	3	Gene
Atg10	3	Gene
Asf1b	3	Gene
Abca2	3	Gene
Smim3	3	Gene
Gria4	3	Gene
Fah	3	Gene
Bambi	3	Gene
Sccpdh	3	Gene
Necab3	3	Gene
Kif1a	3	Gene
Bcl2l11	3	Gene
Ppara	3	Gene
Tmem163	1	Gene
Sirt2	3	Gene
Nde1	4	Gene
Lgi3	1	Gene
Kndc1	4	Gene
Jam3	3	Gene
Gjb1	3	Gene
Apod	3	Gene
Anln	1	Gene
Acsl1	3	Gene
2810468n07rik	1	Gene
Tsc22d3	3	Gene
Ppargc1a	3	Gene
Plxdc2	3	Gene
Pla2g4a	3	Gene
Noct	3	Gene
Nkx2-2	2	Gene
Ifrd1	3	Gene
Foxo1	3	Gene
Enpp1	3	Gene
E2f2	3	Gene
Col2a1	3	Gene
Cebpd	3	Gene
Acan	3	Gene
Nr4a1	3	Gene
Mt1	3	Gene
Dnm3	4	Gene
Cdk5r1	4	Gene
Dnajb1	3	Gene
Lipe	3	Gene
Ptpre	4	Gene
Pde8b	3	Gene
Enpp6	3	Gene
Ptprk	4	Gene
Ubash3b	3	Gene
Dusp16	3	Gene
Anapc5	3	Gene
Hist1h1c	3	Gene
Ppp1r3d	3	Gene
Dusp8	3	Gene
Srgap2	4	Gene
Plxnb3	4	Gene
Wnt3	4	Gene
Epha10	3	Gene
Fzd1	3	Gene
Adamts2	3	Gene
Dpysl5	4	Gene
Sept1	3	Gene
Itga4	3	Gene
Map3k21	3	Gene
Arpc1b	3	Gene
Pld1	4	Gene
Pik3r5	3	Gene
Fgfr1	3	Gene
Sept8	3	Gene
Mapk3	3	Gene
Prkcz	4	Gene
Cacna2d3	3	Gene
Gng4	3	Gene
Rap1a	3	Gene
Cacnb4	3	Gene
Prkcq	3	Gene
Gng11	3	Gene
Gnb4	3	Gene
Cldn14	3	Gene
Htra3	1	Gene
Galnt10	1	Gene
Acot9	1	Gene
Col9a2	3	Gene
March1	1	Gene
Tnfrsf13c	1	Gene
Far2	1	Gene
Sept6	3	Gene
Clstn2	3	Gene
Mtmr7	1	Gene
Nrdc	1	Gene
Myadm	1	Gene
Traf3ip2	1	Gene
Dpm3	1	Gene
Smoc1	1	Gene
Pdlim2	1	Gene
Nipsnap1	1	Gene
Galnt13	1	Gene
Thsd1	1	Gene
Slc7a2	1	Gene
Lad1	1	Gene
Slc7a8	1	Gene
Ccl25	1	Gene
Skap2	1	Gene
Dtx3l	1	Gene
Parp9	1	Gene
Oas1b	1	Gene
Ap2a2	4	Gene
Eps15l1	4	Gene
Sgip1	4	Gene
Aak1	4	Gene
Parp11	4	Gene
Mtss1l	4	Gene
Gapvd1	4	Gene
Cdh6	4	Gene
Nup93	4	Gene
Lpcat2	4	Gene
Cltb	4	Gene
Fcho2	4	Gene
Nup155	4	Gene
Synj2	4	Gene
Wisp1	2	Gene
Sec14l2	1	Gene
Trim2	2	Gene
Rasd1	1	Gene
Slc25a10	2	Gene
Nae1	2	Gene
Stx8	2	Gene
Fam162a	2	Gene
Osmr	1	Gene
Faah	3	Gene
Tox3	1	Gene
Tmeff1	3	Gene
Cpa5	3	Gene
Srm	3	Gene
Ndufb2	3	Gene
Bbox1	3	Gene
Elavl2	3	Gene
Diras2	3	Gene
Ndufb6	3	Gene
Sec11a	3	Gene
Slc25a1	3	Gene
Mbd4	3	Gene
Tmem200c	3	Gene
Tomm20	3	Gene
Ahcyl1	3	Gene
Cirbp	3	Gene
Cwf19l1	3	Gene
Rnf170	3	Gene
Myoz2	3	Gene
Cds1	3	Gene
Tmtc4	3	Gene
Tcerg1	3	Gene
Tpd52l2	3	Gene
Hivep3	3	Gene
Kdm3a	3	Gene
Dync1i1	3	Gene
Nsg2	3	Gene
Ndufc1	3	Gene
Psat1	3	Gene
Nap1l5	3	Gene
Slc16a9	3	Gene
Mars2	3	Gene
Slc52a2	3	Gene
Donson	3	Gene
Znf706	3	Gene
Vamp1	3	Gene
Synpr	3	Gene
Usp24	3	Gene
Psme1	3	Gene
Myef2	3	Gene
Adamtsl1	3	Gene
Rnf114	3	Gene
Plscr4	3	Gene
Ptpn3	3	Gene
Armcx3	3	Gene
Ca11	3	Gene
Coro2b	3	Gene
Ubac1	3	Gene
Ndufa7	3	Gene
Rtn2	3	Gene
Isoc1	3	Gene
Sstr4	1	Gene
Nlk	1	Gene
Ramp1	1	Gene
Ntn4	1	Gene
Cd160	3	Gene
Tmbim1	1	Gene
Abcc6	1	Gene
Fzd8	1	Gene
Extl1	1	Gene
Cab39l	1	Gene
Hnrnpdl	3	Gene
Bves	1	Gene
Smchd1	1	Gene
Fzd2	3	Gene
Trim32	1	Gene
Il3ra	1	Gene
Tnip2	1	Gene
Trim25	1	Gene
Setx	3	Gene
Trim62	1	Gene
Rasal1	1	Gene
Dusp7	1	Gene
Lurap1	1	Gene
Spag9	1	Gene
Trim13	1	Gene
Zfand6	1	Gene
Prdm11	1	Gene
Pabpn1	1	Gene
Tle1	1	Gene
Nod1	1	Gene
Rasal2	1	Gene
Pigu	1	Gene
Ppm1l	3	Gene
Rasa2	1	Gene
Eda	1	Gene
Rasal3	1	Gene
Tifa	1	Gene
Csf2ra	1	Gene
Peli2	1	Gene
Inava	1	Gene
Gprc5b	1	Gene
Rasgrp1	1	Gene
Dusp3	1	Gene
Socs5	3	Gene
Hectd1	1	Gene
Hif3a	1	Gene
Rgcc	1	Gene
Patj	1	Gene
Col15a1	1	Gene
Zfp950	1	Gene
Adamts6	1	Gene
Chi3l1	1	Gene
Arhgef26	1	Gene
Leprotl1	1	Gene
Mydgf	1	Gene
Rab9a	1	Gene
Il18bp	1	Gene
Tubb6	1	Gene
Meis1	1	Gene
Srpk1	1	Gene
Zc3h13	1	Gene
Thrap3	1	Gene
Zbtb14	1	Gene
Lpar2	1	Gene
Tmem100	1	Gene
Cyba	1	Gene
Col8a1	1	Gene
Slc7a14	1	Gene
Topors	1	Gene
Whrn	1	Gene
Cnot7	1	Gene
Tub	1	Gene
Rad18	1	Gene
Fzd4	3	Gene
Prpf3	1	Gene
Pitpnm3	1	Gene
Prpf6	1	Gene
Reep6	1	Gene
Rdh13	1	Gene
Ttll5	1	Gene
Klhl7	1	Gene
Agbl4	2	Gene
Rab28	1	Gene
Znf513	1	Gene
Klhl10	1	Gene
Fscn2	1	Gene
Kcnv2	1	Gene
Cep78	1	Gene
Rdh5	1	Gene
Opn1sw	3	Gene
Apln	1	Gene
Apip	1	Gene
Nphp1	4	Gene
Optc	1	Gene
Ptger1	1	Gene
Spata7	1	Gene
Lcat	1	Gene
Rhbdd2	1	Gene
Arl2bp	1	Gene
Pde6g	1	Gene
Tnnt3	1	Gene
Chrdl1	2	Gene
Col6a1	1	Gene
Bmp15	2	Gene
Tnnt1	3	Gene
Rp2	1	Gene
Igsf1	2	Gene
Nhsl2	3	Gene
Inpp5a	3	Gene
Edaradd	2	Gene
Hccs	2	Gene
Sgo2	2	Gene
Loxl1	1	Gene
Mcm9	2	Gene
C1ql3	4	Gene
Pou3f4	4	Gene
Srpk2	2	Gene
Gpt	2	Gene
Calb2	2	Gene
Slc51a	1	Gene
Creb3l1	3	Gene
Kcnk1	3	Gene
Trpc7	2	Gene
Pigq	3	Gene
Kctd7	3	Gene
Slc25a12	3	Gene
Tef	3	Gene
Cacna2d4	3	Gene
C11orf96	3	Gene
Rgs16	3	Gene
Klf10	3	Gene
St3gal5	3	Gene
Guf1	3	Gene
Snip1	1	Gene
Rgs1	3	Gene
Slc6a11	3	Gene
Depdc5	3	Gene
Nudt11	3	Gene
Pacs2	3	Gene
C9orf3	3	Gene
Arrdc3	3	Gene
Ankrd6	3	Gene
Rttn	3	Gene
Rhobtb2	3	Gene
Scg2	3	Gene
Gosr2	3	Gene
Kcnip2	3	Gene
Cyyr1	3	Gene
Crym	3	Gene
Pgrmc1	3	Gene
Cyp46a1	2	Gene
Ddo	2	Gene
Gusb	2	Gene
Mgat3	2	Gene
Lce1d	2	Gene
Magt1	2	Gene
Cbr3	2	Gene
Tsn	3	Gene
Atp8a1	2	Gene
Kcnip3	2	Gene
Nat8l	2	Gene
Gpr3	4	Gene
Impact	4	Gene
Usp47	4	Gene
Tnfrsf19	4	Gene
Inpp5f	4	Gene
Dct	4	Gene
Mtmr9	4	Gene
Syngr1	4	Gene
Clptm1	4	Gene
Nudt7	4	Gene
Map3k5	3	Gene
Smarcd3	4	Gene
Chst2	4	Gene
Zdhhc3	4	Gene
Hpca	3	Gene
Ptpn5	3	Gene
Nmnat2	2	Gene
Sh3rf1	2	Gene
Rnf7	2	Gene
Adcy5	3	Gene
Abhd6	3	Gene
Cd38	3	Gene
Ubxn11	4	Gene
Adcy6	4	Gene
Rras	1	Gene
Slc13a5	3	Gene
Dnajc10	1	Gene
Vipr2	1	Gene
Pde6d	1	Gene
Slc29a1	1	Gene
Cideb	1	Gene
Tph1	1	Gene
G0s2	1	Gene
Fmo5	1	Gene
Rhcg	1	Gene
Kcnq1ot1	1	Gene
Itprid2	1	Gene
Znf384	1	Gene
Trib1	3	Gene
Foxs1	1	Gene
Col5a3	1	Gene
Col11a2	1	Gene
Irs4	1	Gene
Glg1	1	Gene
Masp1	1	Gene
Sypl2	1	Gene
Prepl	3	Gene
Dcun1d1	1	Gene
Dio2	3	Gene
Nlrc3	1	Gene
Fuom	1	Gene
Dact3	1	Gene
Sh3pxd2b	1	Gene
Rnf112	2	Gene
Tagln3	2	Gene
Smg9	2	Gene
Sec24b	2	Gene
Notch3	2	Gene
Btd	3	Gene
Spef2	2	Gene
Sdf4	2	Gene
Nav2	2	Gene
Rtn4rl1	2	Gene
Sema6d	2	Gene
Zic2	1	Gene
Tmem126a	2	Gene
Daam2	3	Gene
Pou6f1	2	Gene
Smarca1	2	Gene
Fancc	2	Gene
Acvr1c	1	Gene
Iqsec3	4	Gene
Gls	2	Gene
Shisa9	2	Gene
Cpne6	2	Gene
Kcnt1	3	Gene
Pnkd	2	Gene
Kcnq4	3	Gene
Sri	2	Gene
Akap7	2	Gene
Stac3	2	Gene
Cnih2	2	Gene
Neto1	2	Gene
Grpr	2	Gene
Slc8a3	2	Gene
Kcnc4	2	Gene
Kcnmb4	3	Gene
St3gal4	3	Gene
Dgke	3	Gene
Pde4a	2	Gene
Kcnq3	3	Gene
Cspg5	4	Gene
Nrgn	2	Gene
Kcnn2	2	Gene
Dgkb	3	Gene
Slc9a9	2	Gene
Grm3	2	Gene
Ric3	2	Gene
Ntsr1	2	Gene
Cd1d	1	Gene
Scube1	1	Gene
Prcp	1	Gene
Prkx	3	Gene
Angptl2	4	Gene
Ang	4	Gene
Itk	2	Gene
Dhx9	1	Gene
P4ha2	1	Gene
Cerk	3	Gene
Dll1	1	Gene
Pax7	1	Gene
Ptpn2	4	Gene
Kcna2	3	Gene
Ssb	1	Gene
Nfe2l1	2	Gene
Bmper	1	Gene
Gng3	3	Gene
Arntl	3	Gene
Aire	1	Gene
Fam20c	1	Gene
Dbndd1	1	Gene
Acvr1	2	Gene
Rnaseh2c	1	Gene
Sptlc1	1	Gene
Atp2a2	3	Gene
Ehd3	3	Gene
Ccnc	1	Gene
Csgalnact1	1	Gene
Hnrnpc	1	Gene
Aqp11	1	Gene
Dpyd	1	Gene
Sos1	1	Gene
Slc2a3	3	Gene
L3mbtl3	1	Gene
Tbx6	1	Gene
Adamts9	1	Gene
Hopx	1	Gene
Fndc3b	1	Gene
Aqp5	1	Gene
Ubtf	1	Gene
Nek7	1	Gene
Dclre1c	1	Gene
Sav1	1	Gene
Nupr1	1	Gene
Ace2	1	Gene
Morf4l2	1	Gene
Fcgrt	1	Gene
Nfic	1	Gene
Atg12	1	Gene
Pnn	1	Gene
Tia1	1	Gene
B3galnt1	1	Gene
Kmt2e	1	Gene
Uba5	3	Gene
Gstk1	1	Gene
Drap1	1	Gene
Carm1	1	Gene
Zfp36l2	1	Gene
Setd1b	1	Gene
Man1a2	1	Gene
Stk40	1	Gene
Ikzf2	1	Gene
Rassf2	1	Gene
Rev3l	1	Gene
Atg3	1	Gene
Gpc6	1	Gene
Hapln1	2	Gene
Tpmt	1	Gene
Tenm3	1	Gene
Trps1	1	Gene
Usp4	1	Gene
Arid5b	1	Gene
Aph1a	1	Gene
Nsd1	1	Gene
Mterf3	1	Gene
Sgcd	4	Gene
Gm21596/Hmgb1	4	Gene
Tshz3	2	Gene
Hic1	1	Gene
Ggt1	1	Gene
Arid4b	1	Gene
Pth1r	1	Gene
Ing1	1	Gene
Med24	1	Gene
Nipbl	2	Gene
Smyd1	1	Gene
Rab3c	1	Gene
Pla2g5	1	Gene
Ednrb	1	Gene
Anxa7	1	Gene
Cxcl14	1	Gene
Zmpste24	3	Gene
Myzap	1	Gene
Phf21a	1	Gene
Commd1	1	Gene
Anxa2	3	Gene
Mrvi1	1	Gene
Sik3	1	Gene
Bag3	3	Gene
Ankrd17	1	Gene
C5ar1	1	Gene
Ola1	1	Gene
Nfe2	1	Gene
Cdc73	1	Gene
Clk1	1	Gene
Ipmk	3	Gene
S100a13	1	Gene
Rcor1	1	Gene
Cul3	1	Gene
Sycp2	1	Gene
F8	1	Gene
