Full Length HTT Only	Truncated HTT Only	Shared in both
TMPRSS2	BTBD17	AK4
IL17RB	SEZ6	S1PR1
RGS17	SERPINF1	SARS
DIP2A	SERPINF1	PHGDH
PIK3R5	GLG1	TXNIP
SH3BP5	KIF20A	DDR2
SH3BP5	NQO1	PAPPA2
DMTN	PDE1C	SLC6A9
DEPTOR	TMED4	DPYD
DEPTOR	BCAN	KCNA2
DEPTOR	HTRA1	CD34
QPCT	MVD	PGBD5
CHKA	MVD	LRRTM3
SLC16A3	NFE2L2	DDIT4
GRIA4	PLCG1	PLCE1
GRIA4	SLC13A3	MARVELD1
GRIA4	SLC13A3	PYROXD2
TMEM163	SGPL1	SPON1
PRKCQ	UNC5B	CD44
ITGA4	UNC5B	FJX1
NKX2-2	SLC1A4	CREB3L1
ATP9A	SLC1A4	SLC3A2
ATP9A	ALDH1L2	LMO2
SALL4	EFEMP1	SLCO1C1
DPYSL5	VRK1	SHMT2
TFPI2	VRK1	MARS
FRMD4B	HABP4	SRGAP1
KLF15	HMGCR	MFAP5
ADGRG2	HMGCR	ITGA5
GSE1	DEPDC1B	SLC6A15
UBASH3B	ENOX1	MMAB
SPATA6	RGCC	COL4A2
ATP13A2	OSMR	SLITRK1
SPAG1	POP1	COL4A1
ESRP1	SQLE	BCL11B
ZNF239	COL14A1	CHAC1
TTC9	SDF2L1	SLCO3A1
DACT1	PROS1	CIITA
LINGO2	SLC38A1	SNN
NUDT18	SLC38A1	MMP2
B3GAT1	NRXN1	HERPUD1
B3GAT1	NRXN1	CENPN
CDK5R1	STARD4	CDH13
MAP1B	STARD4	USP31
ATP10B	NARS	NUPR1
ACTR3B	VLDLR	SLC7A5
CHD9	VLDLR	CCL2
ANKS1B	VLDLR	MFAP4
KIF1B	FASN	FBXL20
CST7	GOT1	GFAP
	KCNIP2	PMAIP1
	NRP1	ICAM1
	C2orf72	PGPEP1
	PASK	RHPN2
	GPR37L1	DPF1
	NMI	SLC1A5
	ITGA6	KLF11
	MDK	MTHFD2
	CHMP4C	GALNT13
	TSC22D2	GRB14
	GPSM2	INSM1
	RPE65	FAM83D
	CTBS	CEBPB
	COQ3	SLC4A11
	CNTFR	PMEPA1
	CNTFR	APOL6
	HSPG2	ADM2
	ADGRB2	LMCD1
	PSPH	PXYLP1
	BCAT1	RFTN1
	BCAT1	PLOD2
	BCAT1	C3orf70
	TNFRSF1A	BCL6
	MVP	FRAS1
	NSDHL	PCDH10
	AP3M2	TMEM131L
	MSMO1	SAP30
	MSMO1	KDR
	GPT2	SLC7A11
	GPT2	ADAMTS16
	SC5D	GPX8
	SC5D	RASGRF2
	LDLR	APC
	LDLR	LMNB1
	LDLR	RELL2
	LDLR	DMGDH
	NEDD4	FEM1C
	AGL	PPIC
	AGL	P4HA2
	NDN	STC2
	NDN	VEGFA
	NDN	FUT9
	NDN	PLEKHG1
	NDN	ME1
	OGT	GARS
	OGT	ADCYAP1R1
	OGT	GRM3
	OGT	RUNDC3B
	SIX4	PEG10
	SIX4	DLX5
	SIX4	NRCAM
	EDIL3	IMMP2L
	XPOT	TMEM229A
	XPOT	EIF4EBP1
	DHCR24	CRH
	DHCR24	MTSS1
	ACSS3	ARC
	RIPOR2	PSAT1
	RIPOR2	PAPPA
	RIPOR2	AK3
	DNAJB5	NLGN3
	DGKB	GJB1
	HSPB6	IL13RA1
	ATP8A1	TMEM47
	ATP8A1	PJA1
	PHYHIPL	CAV2
	SLC16A9	AXIN2
	SNX10	CCND2
	C1orf54	NALCN
	NFE2L1	LHX2
	FNDC3B	DGKE
	RAB3GAP2	REM1
	UHRF1BP1	EGFL6
	OLIG2	SOX9
	TPH1	MMP14
	WIPI1	OCRL
	WIPI1	EFNB2
	MVK	TUBB6
	MVK	GRAMD2B
	DHX9	RGS20
	SGTB	PPP1R17
	C5orf30	FKBP11
	SOX3	RAB3B
	INSIG1	BICD1
	RBP1	PHYHIP
	ZNF740	DUSP3
	ZBTB21	BRD8
	OMG	ETV1
	MB21D2	IL11
	PCDH1	CHD5
	ROBO2	SLC1A2
	GAS1	SLC2A9
	GAS1	FGFR4
	ADAM12	CADM3
	MAF	MCM5
	ABCD2	KIT
	ABCD2	SUSD2
	ABCD2	SULF2
	IDI1	HAP1
	IDI1	P3H4
	DHCR7	SYNGR3
	DOT1L	ATP1A2
	LMNB2	CASQ1
	LDHA	HOMER1
	PRPF38A	DIO2
	PRPF38A	MID1IP1
	PPP1R3C	NFIB
	PPP1R3C	GPRC5B
	LRRC61	MAN1A2
	SCN2A	G0S2
	ABRACL	KCND1
	HMGCS1	VPS4B
	HMGCS1	RNF112
	HMGCS1	SPIRE2
	HMGCS1	EYA4
	HMGCS1	FADS1
		SUGP1
		IGLON5
		MYL2
		ZSWIM7
		CAMTA1
		CSF1
		KIAA0895L
		ABCA1
		EPS8
		KCTD5
		NLK
		ALDOC
		TIMP2
		ZNF334
		ADA
		JPH2
		PPP2R5C
		CADPS2
		ERBB3
		TOMM34
		SEPT8
		NOL11
		NCOR1
		SFRP5
		SCRN1
		LHX9
		SEMA6A
		LYST
		NR2E1
		REV3L
		ARFGEF3
		SMPDL3A
		FABP7
		DCBLD1
		P4HA1
		DUSP6
		AHI1
		ENPP3
		TIMP3
		ASCL1
		FAM241B
		EGFR
		APC2
		COBL
		PHLDA1
		C21orf2
		ZNF354B
		CYFIP2
		ITK
		TCN2
		GALNT10
		MFAP3
		TRIB2
		ARSG
		FAM20A
		CMPK2
		DNMT3A
		PXDN
		RAB37
		WSCD1
		STX8
		NFKBIA
		ATL1
		TRIM9
		CLMN
		SMOC1
		RGS6
		SLC25A29
		GLI3
		TBC1D7
		OGN
		PRPF4B
		SEMA4D
		SLC25A48
		AGTPBP1
		CCDC127
		CAST
		SPATA9
		HAPLN1
		IQGAP2
		ERBIN
		NLN
		RGS7BP
		EMB
		FAM107A
		LDB3
		TXNDC16
		BMP4
		PELI2
		ATP8A2
		AMER2
		LCP1
		EPHX2
		STMN4
		DCT
		EFS
		SEMA5A
		TRIO
		CSMD3
		CDH10
		ADCY8
		IL1RAP
		PTK2
		BBX
		CD96
		PRKDC
		NCAM2
		FGD4
		ABCC5
		RABL3
		USP25
		MASP1
		ITSN1
		SYNJ1
		GPD1
		SYNJ2
		SATB1
		SLC29A1
		EMILIN2
		SMCHD1
		LBH
		EHD3
		CDC23
		LAMA3
		SPRY4
		HBEGF
		TCERG1
		IL17B
		FBN2
		RFK
		JAK2
		IL33
		ACY3
		CNIH2
		AFAP1L2
		BHLHE22
		MAGED1
		DNMBP
		PRDX4
		PTPRJ
		ADGRA1
		DOCK9
		TMC6
		DACH2
		ARHGEF9
		FBXL16
		GDAP1
		ITIH5
		HOMER2
		TSPAN17
		SNCA
		SNTG1
		PAQR8
		STAT1
		TMEFF2
		FAM135A
		IGFBP5
		PTPRN
		CAPN10
		KIAA1468
		LYPD1
		CDC73
		NEK7
		TNNI1
		CSRP1
		SLC45A3
		RGS16
		PRRX1
		TMEM206
		OPTN
		PTER
		PIP4K2A
		PLXDC2
		MINDY3
		ACVR1C
		COL5A1
		SLC4A10
		TMEM141
		TMEM210
		GALNT3
		DNAJC10
		SSFA2
		SLC25A12
		KIF18A
		TRAF6
		LRP4
		SPRED1
		HDC
		PCSK2
		MYLK2
		PDRG1
		NECAB3
		CA13
		CA2
		COL9A3
		STMN3
		MMP24
		TTC14
		NCEH1
		ANXA5
		PPM1L
		SMAD9
		C4orf46
		FAM198B
		OLFM3
		COL11A1
		NEUROG2
		ARHGEF2
		CYR61
		NR4A3
		TMEFF1
		HSDL2
		ENHO
		SH3GL2
		HACD4
		DAB1
		HIVEP3
		ERMAP
		AKR1A1
		EXTL1
		SDF4
		CD38
		HTRA3
		PLB1
		OCIAD2
		APBB2
		GABRB1
		UCHL1
		LNX1
		RUFY3
		CDS1
		CDKL2
		NAAA
		ATP2A2
		P2RX4
		ANAPC5
		LFNG
		AUTS2
		DYNC1I1
		PLXNA4
		CCDC136
		NFE2L3
		PTN
		HOXA1
		SLC37A3
		ANXA4
		CNTN3
		CNTN6
		BHLHE40
		ATF7IP
		CAPRIN2
		TIMP4
		ZNF606
		RTN2
		RHCG
		SYNM
		ACAN
		SMG1
		MYLPF
		DGAT2
		NSMCE1
		CPXM2
		USP9X
		USP11
		SMARCA1
		RAB33A
		SLC35A2
		TIMM17B
		ATRX
		CHRDL1
		PAK3
		DCX
