© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->intersectShortLong - 2020-01-20 07:48 PM
Workspace	My Projects
Project	hd_microarray
Analysis	intersectShortLong - 2020-01-20 07:48 PM
Date	Mon Jan 20 16:48:07 PST 2020
Analysis ID	18745786

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->intersectShortLong - 2020-01-20 07:48 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Actin Nucleation by ARP-WASP Complex	-0E00		2.78E-02	ITGA5,RHOJ	
Acute Myeloid Leukemia Signaling	-0E00		2.25E-02	EIF4EBP1,KIT	
Aldosterone Signaling in Epithelial Cells	-0E00		2.53E-02	DNAJC10,DNAJC12,PLCE1,PRKCA	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		3.33E-02	CSF1,IL33,TNFRSF13C	
Amyloid Processing	-0E00		2.00E-02	CAPN10	
Androgen Signaling	-0E00		2.94E-02	CACNA2D1,GNG3,JUN,PRKCA	
Antigen Presentation Pathway	-0E00		2.56E-02	CIITA	
Antiproliferative Role of Somatostatin Receptor 2	-0E00		1.30E-02	GNG3	
Apelin Pancreas Signaling Pathway	-0E00		2.27E-02	APLN	
B Cell Development	-0E00		2.78E-02	RAG1	
BAG2 Signaling Pathway	-0E00		2.33E-02	CASP3	
CCR3 Signaling in Eosinophils	-0E00		2.42E-02	GNG3,PAK3,PRKCA	
CD28 Signaling in T Helper Cells	-0E00		2.50E-02	ITK,JUN,NFKBIA	
CREB Signaling in Neurons	-0E00		2.90E-02	ADCY8,CACNA2D1,GNG3,GRM3,PLCE1,PRKCA	
Calcium Signaling	-0E00		3.40E-02	ATP2A2,CACNA2D1,CASQ1,GRIN3A,MYL2,SLC8A3,TNNI1	
Calcium-induced T Lymphocyte Apoptosis	-0E00		3.03E-02	ATP2A2,PRKCA	
Cardiac Hypertrophy Signaling	-0E00		3.33E-02	ADCY8,ADRA2A,GNG3,JUN,MYL2,MYLPF,PLCE1,RHOJ	
Cell Cycle Control of Chromosomal Replication	-0E00		1.79E-02	MCM5	
Cell Cycle: G1/S Checkpoint Regulation	-0E00		1.49E-02	CCND2	
Chondroitin Sulfate Biosynthesis	-0E00		1.79E-02	CHST2	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		2.08E-02	CHST2	
Clathrin-mediated Endocytosis Signaling	-0E00		3.11E-02	CLTB,ITGA5,SH3GL2,SYNJ1,USP9X,VEGFA	
Communication between Innate and Adaptive Immune Cells	-0E00		2.08E-02	IL33,TNFRSF13C	
Complement System	-0E00		2.70E-02	MASP1	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00		1.12E-02	TLN2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		2.94E-02	CASP3	
Dermatan Sulfate Biosynthesis	-0E00		1.69E-02	CHST2	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00		2.17E-02	CHST2	
Docosahexaenoic Acid (DHA) Signaling	-0E00		2.63E-02	CASP3	
EIF2 Signaling	-0E00		4.46E-03	VEGFA	
ERK5 Signaling	-0E00		2.78E-02	EGFR,GAB1	
Endocannabinoid Developing Neuron Pathway	-0E00		1.74E-02	ADCY8,CNR1	
Endometrial Cancer Signaling	-0E00		1.67E-02	APC2	
ErbB2-ErbB3 Signaling	-0E00		3.08E-02	ERBB3,JUN	
ErbB4 Signaling	-0E00		1.49E-02	PRKCA	
Estrogen Receptor Signaling	-0E00		2.19E-02	MED14,NCOR1,PRKDC	
Estrogen-Dependent Breast Cancer Signaling	-0E00		2.70E-02	EGFR,JUN	
Ethanol Degradation II	-0E00		3.12E-02	AKR1A1	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00		2.50E-02	EIF4EBP1,STAT1	
FXR/RXR Activation	-0E00		1.59E-02	FGFR4,IL33	
Fatty Acid β-oxidation I	-0E00		3.12E-02	ACSL3	
