© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DLX1	 	transcription regulator	 	 	 	 	 	1.52E-07	DLX5,DLX6,GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DLX2	 	transcription regulator	 	 	 	 	 	2.38E-06	DLX5,DLX6,GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	ATF4	 	transcription regulator	 	1.964	 	-0.223	2.401	3.91E-05	DDR2,HERPUD1,NUPR1,SLC7A3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PPIF	 	enzyme	 	 	 	 	 	1.40E-04	H2BC10,PDZRN3,STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	potassium chloride	 	chemical drug	 	 	 	 	 	2.63E-04	HERPUD1,NEAT1,SLC7A3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PSEN1	 	peptidase	 	 	 	 	 	8.77E-04	LRP1,LRP1B,NUPR1,STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	APR-246	 	chemical drug	 	 	 	 	 	9.53E-04	DLX5,DLX6	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	HDL-cholesterol	 	complex	 	 	 	 	 	1.01E-03	DDR2,NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DDAH2	 	enzyme	 	 	 	 	 	1.27E-03	SCGN	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	KCNAB1	 	ion channel	 	 	 	 	 	1.27E-03	KCND3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	NLGN2	 	enzyme	 	 	 	 	 	1.27E-03	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	mir-329	 	microrna	 	 	 	 	 	1.27E-03	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	APBB2	 	other	 	 	 	 	 	2.55E-03	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	COL11A1	 	other	 	 	 	 	 	2.55E-03	DDR2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DLX6-AS1	-2.215	other	 	 	 	 	 	2.55E-03	DLX6	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	KCNAB2	 	ion channel	 	 	 	 	 	2.55E-03	KCND3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Kcnip2	 	other	 	 	 	 	 	2.55E-03	KCND3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	RNF112	 	transcription regulator	 	 	 	 	 	2.55E-03	TAC3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	mir-370	 	microrna	 	 	 	 	 	2.55E-03	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	perindoprilat	 	chemical drug	 	 	 	 	 	2.55E-03	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	terpenoid	 	chemical - endogenous mammalian	 	 	 	 	 	2.55E-03	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	clopidogrel	 	chemical drug	 	 	 	 	 	3.46E-03	HERPUD1,NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	APP	 	other	 	 	 	 	 	3.48E-03	HERPUD1,KCND3,LRP1,LRP1B,STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DPP10	 	peptidase	 	 	 	 	 	3.82E-03	KCND3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SERPINB3	 	other	 	 	 	 	 	3.82E-03	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	miR-515-3p (and other miRNAs w/seed AGUGCCU)	 	mature microrna	 	 	 	 	 	3.82E-03	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	HMX2	 	transcription regulator	 	 	 	 	 	5.08E-03	DLX5	 	
