© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q73_Vs_Q23_Glia - 2020-01-20 05:15 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q73_Vs_Q23_Glia - 2020-01-20 05:15 PM
Date	Mon Jan 20 14:15:54 PST 2020
Analysis ID	18745373

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q73_Vs_Q23_Glia - 2020-01-20 05:15 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00		1.27E-02	DOT1L,SOCS3	
3-phosphoinositide Degradation	-0E00		1.35E-02	DOT1L,SOCS3	
Actin Cytoskeleton Signaling	-0E00		1.44E-02	ACTN2,ITGA4,TIAM1	
Actin Nucleation by ARP-WASP Complex	-0E00		1.45E-02	ITGA4	
Acute Myeloid Leukemia Signaling	-0E00		1.14E-02	EIF4EBP1	
Aldosterone Signaling in Epithelial Cells	-0E00		6.58E-03	PLCG1	
Angiopoietin Signaling	-0E00		1.37E-02	GRB14	
Antiproliferative Role of Somatostatin Receptor 2	-0E00		1.35E-02	CTH	
Apelin Adipocyte Signaling Pathway	-0E00		1.30E-02	GPX8	
Apelin Cardiomyocyte Signaling Pathway	-0E00		1.02E-02	PLCG1	
Apelin Endothelial Signaling Pathway	-0E00		8.85E-03	ICAM1	
Aryl Hydrocarbon Receptor Signaling	-0E00		7.41E-03	NCOA7	
BMP signaling pathway	-0E00		1.20E-02	RUNX2	
Basal Cell Carcinoma Signaling	-0E00		1.43E-02	FZD8	
Bladder Cancer Signaling	-0E00		1.06E-02	MMP2	
CCR5 Signaling in Macrophages	-0E00		1.14E-02	PLCG1	
CD28 Signaling in T Helper Cells	-0E00		9.09E-03	PLCG1	
CREB Signaling in Neurons	-0E00		9.76E-03	GRM3,PLCG1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		1.19E-02	PLCG1	
CXCR4 Signaling	-0E00		6.13E-03	CXCR4	
Calcium Signaling	-0E00		5.08E-03	CASQ1	
Cardiac Hypertrophy Signaling	-0E00		4.27E-03	PLCG1	
Cardiac β-adrenergic Signaling	-0E00		7.14E-03	PDE3A	
Cdc42 Signaling	-0E00		8.33E-03	ITGA4	
Ceramide Signaling	-0E00		1.14E-02	S1PR1	
Clathrin-mediated Endocytosis Signaling	-0E00		5.35E-03	SH3BP4	
Colorectal Cancer Metastasis Signaling	-0E00		8.16E-03	FZD8,MMP2	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00		1.16E-02	NECTIN2	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00		1.49E-02	DOT1L,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00		1.49E-02	DOT1L,SOCS3	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00		6.29E-03	PLCG1	
EIF2 Signaling	-0E00		9.95E-03	NKX6-2,RPL37	
ERK5 Signaling	-0E00		1.41E-02	CTF1	
Endocannabinoid Neuronal Synapse Pathway	-0E00		7.87E-03	PLCG1	
Ephrin B Signaling	-0E00		1.39E-02	CXCR4	
ErbB Signaling	-0E00		1.09E-02	PLCG1	
ErbB4 Signaling	-0E00		1.52E-02	PLCG1	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00		1.27E-02	EIF4EBP1	
FXR/RXR Activation	-0E00		8.20E-03	FASN	
Factors Promoting Cardiogenesis in Vertebrates	-0E00		1.11E-02	FZD8	
Fc Epsilon RI Signaling	-0E00		8.70E-03	PLCG1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00		1.09E-02	PLCG1	
G Beta Gamma Signaling	-0E00		8.20E-03	PLCG1	
GDNF Family Ligand-Receptor Interactions	-0E00		1.32E-02	PLCG1	
GNRH Signaling	-0E00		5.92E-03	MMP2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00		9.01E-03	PLCG1	
Glioblastoma Multiforme Signaling	-0E00		1.23E-02	FZD8,PLCG1	
Glioma Signaling	-0E00		9.17E-03	PLCG1	
Glucocorticoid Receptor Signaling	-0E00		1.21E-02	A2M,ICAM1,PLAU,TAF3	
Gustation Pathway	-0E00		6.67E-03	PDE3A	
Gαq Signaling	-0E00		1.32E-02	HTR2A,PLCG1	
HIF1α Signaling	-0E00		9.17E-03	MMP2	
HIPPO signaling	-0E00		1.19E-02	CD44	
HMGB1 Signaling	-0E00		6.41E-03	ICAM1	
Hepatic Fibrosis Signaling Pathway	-0E00		1.12E-02	FZD8,ICAM1,ITGA4,PLCG1	
Hereditary Breast Cancer Signaling	-0E00		7.30E-03	RFC4	
Hypoxia Signaling in the Cardiovascular System	-0E00		1.41E-02	UBE2Q2	
IGF-1 Signaling	-0E00		9.62E-03	SOCS3	
IL-10 Signaling	-0E00		1.47E-02	SOCS3	
IL-15 Signaling	-0E00		1.41E-02	PLCG1	
IL-7 Signaling Pathway	-0E00		1.37E-02	HGF	
ILK Signaling	-0E00		5.43E-03	ACTN2	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00		8.47E-03	PAPOLG	
Insulin Receptor Signaling	-0E00		1.49E-02	EIF4EBP1,SOCS3	
JAK/Stat Signaling	-0E00		1.25E-02	SOCS3	
Melanocyte Development and Pigmentation Signaling	-0E00		1.06E-02	PLCG1	
Melatonin Signaling	-0E00		1.43E-02	PLCG1	
Mouse Embryonic Stem Cell Pluripotency	-0E00		9.80E-03	FZD8	
NER Pathway	-0E00		1.01E-02	RFC4	
NF-κB Signaling	-0E00		1.17E-02	FGFR2,TNFAIP3	
NGF Signaling	-0E00		8.85E-03	PLCG1	
NRF2-mediated Oxidative Stress Response	-0E00		5.41E-03	HERPUD1	
Natural Killer Cell Signaling	-0E00		8.77E-03	PLCG1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00		9.26E-03	ECE1	
Neurotrophin/TRK Signaling	-0E00		1.32E-02	PLCG1	
Nitric Oxide Signaling in the Cardiovascular System	-0E00		1.08E-02	SLC7A1	
Non-Small Cell Lung Cancer Signaling	-0E00		1.37E-02	PLCG1	
Opioid Signaling Pathway	-0E00		4.10E-03	RGS10	
P2Y Purigenic Receptor Signaling Pathway	-0E00		7.94E-03	PLCG1	
PAK Signaling	-0E00		1.05E-02	ITGA4	
PD-1, PD-L1 cancer immunotherapy pathway	-0E00		1.03E-02	PLCG1	
PDGF Signaling	-0E00		1.16E-02	PLCG1	
PI3K Signaling in B Lymphocytes	-0E00		7.46E-03	PLCG1	
PKCθ Signaling in T Lymphocytes	-0E00		6.85E-03	PLCG1	
PPAR Signaling	-0E00		1.00E-02	PPARD	
Phagosome Maturation	-0E00		7.35E-03	VTI1A	
Phospholipase C Signaling	-0E00		8.40E-03	ITGA4,PLCG1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00		5.46E-03	PLCG1	
Protein Kinase A Signaling	-0E00		7.83E-03	H3C3,PDE3A,PLCG1	
Protein Ubiquitination Pathway	-0E00		7.55E-03	BIRC3,UBE2Q2	
RANK Signaling in Osteoclasts	-0E00		1.16E-02	BIRC3	
RAR Activation	-0E00		1.05E-02	RBP1,RBP7	
Regulation of Actin-based Motility by Rho	-0E00		1.16E-02	ITGA4	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		1.16E-02	PLCG1	
Regulation of eIF4 and p70S6K Signaling	-0E00		1.36E-02	EIF4EBP1,ITGA4	
Relaxin Signaling	-0E00		1.36E-02	CTH,PDE3A	
Renal Cell Carcinoma Signaling	-0E00		1.30E-02	HGF	
RhoGDI Signaling	-0E00		1.14E-02	CD44,ITGA4	
Role of BRCA1 in DNA Damage Response	-0E00		1.25E-02	RFC4	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-0E00		1.49E-02	SOCS3	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00		1.30E-02	PLAAT4	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00		8.55E-03	FZD8	
Role of NFAT in Cardiac Hypertrophy	-0E00		9.52E-03	CTF1,PLCG1	
Role of NFAT in Regulation of the Immune Response	-0E00		5.88E-03	PLCG1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00		1.40E-02	BIRC3,FZD8,RUNX2	
Role of Tissue Factor in Cancer	-0E00		8.62E-03	ITGA6	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00		1.35E-02	FZD8	
Senescence Pathway	-0E00		7.41E-03	CAPN5,EIF4EBP1	
Signaling by Rho Family GTPases	-0E00		1.26E-02	GFAP,ITGA4,SEPTIN6	
Sirtuin Signaling Pathway	-0E00		7.22E-03	DOT1L,H3C3	
Sumoylation Pathway	-0E00		1.00E-02	RFC4	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00		7.60E-03	PLAAT4,SHC3	
Systemic Lupus Erythematosus Signaling	-0E00		1.02E-02	PLCG1,PRPF3	
