© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q73_Vs_pTANK_Glia - 2020-01-20 05:17 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q73_Vs_pTANK_Glia - 2020-01-20 05:17 PM
Date	Mon Jan 20 14:17:06 PST 2020
Analysis ID	18745375

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q73_Vs_pTANK_Glia - 2020-01-20 05:17 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Actin Nucleation by ARP-WASP Complex	-0E00		1.45E-02	ITGA5	
Acute Myeloid Leukemia Signaling	-0E00		2.27E-02	EIF4EBP1,MAP2K6	
Allograft Rejection Signaling	-0E00		2.50E-02	HLA-A	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		1.27E-02	HLA-A	
Amyotrophic Lateral Sclerosis Signaling	-0E00		2.11E-02	PRPH,VEGFA	
Androgen Signaling	-0E00		7.41E-03	CALR	
Angiopoietin Signaling	-0E00		1.37E-02	GRB14	
Antiproliferative Role of Somatostatin Receptor 2	-0E00		1.35E-02	CTH	
Apelin Adipocyte Signaling Pathway	-0E00		1.30E-02	GPX8	
Apelin Endothelial Signaling Pathway	-0E00		1.77E-02	CCL2,ICAM1	
Apoptosis Signaling	-0E00		2.04E-02	PLCG1,TNFRSF1A	
Assembly of RNA Polymerase II Complex	-0E00		2.00E-02	TAF5	
Autoimmune Thyroid Disease Signaling	-0E00		2.63E-02	HLA-A	
B Cell Receptor Signaling	-0E00	0.0	2.23E-02	BCL6,EGR1,INPP5B,MAP2K6	
BMP signaling pathway	-0E00		1.20E-02	RUNX2	
Basal Cell Carcinoma Signaling	-0E00		1.43E-02	APC	
Breast Cancer Regulation by Stathmin1	-0E00		5.03E-03	PPP1R3C	
CCR5 Signaling in Macrophages	-0E00		1.14E-02	PLCG1	
CD27 Signaling in Lymphocytes	-0E00		1.92E-02	MAP2K6	
CD28 Signaling in T Helper Cells	-0E00		1.82E-02	HLA-A,PLCG1	
CNTF Signaling	-0E00		1.79E-02	CNTFR	
CREB Signaling in Neurons	-0E00	-1.0	1.95E-02	GRM3,PLCD3,PLCE1,PLCG1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		2.38E-02	HLA-A,PLCG1	
CXCR4 Signaling	-0E00		6.13E-03	EGR1	
Calcium Signaling	-0E00		5.08E-03	CALR	
Cardiac Hypertrophy Signaling	-0E00	0.0	1.71E-02	MAP2K6,PLCD3,PLCE1,PLCG1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	0.9045340337332909	2.33E-02	EIF4EBP1,FGF2,IL13RA1,ITGA5,MAP2K6,PDE1C,PDE7B,PLCD3,PLCE1,PLCG1,TNFRSF1A	
Cardiac β-adrenergic Signaling	-0E00		2.14E-02	PDE1C,PDE7B,PPP1R3C	
Cdc42 Signaling	-0E00		2.50E-02	APC,HLA-A,ITGA5	
Cell Cycle: G1/S Checkpoint Regulation	-0E00		1.54E-02	CDKN2C	
Ceramide Signaling	-0E00		2.27E-02	S1PR1,TNFRSF1A	
Chemokine Signaling	-0E00		2.60E-02	CCL2,PLCG1	
Cholecystokinin/Gastrin-mediated Signaling	-0E00		8.62E-03	MAP2K6	
Clathrin-mediated Endocytosis Signaling	-0E00		2.67E-02	FGF2,ITGA5,LDLR,SH3BP4,VEGFA	
Colorectal Cancer Metastasis Signaling	-0E00	2.0	2.04E-02	APC,LRP1,MMP2,TNFRSF1A,VEGFA	
Communication between Innate and Adaptive Immune Cells	-0E00		1.25E-02	HLA-A	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00		1.16E-02	HLA-A	
Cyclins and Cell Cycle Regulation	-0E00		1.25E-02	CDKN2C	
Death Receptor Signaling	-0E00		2.25E-02	TNFRSF10B,TNFRSF1A	
Docosahexaenoic Acid (DHA) Signaling	-0E00		2.63E-02	SERPINF1	
Dopamine Receptor Signaling	-0E00		1.33E-02	PPP1R3C	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	-1.0	2.52E-02	PLCD3,PLCE1,PLCG1,PPP1R3C	
EGF Signaling	-0E00		1.82E-02	PLCG1	
ERK/MAPK Signaling	-0E00	-1.0	2.13E-02	EIF4EBP1,ITGA5,PLCG1,PPP1R3C	
Endocannabinoid Developing Neuron Pathway	-0E00		1.74E-02	MAP2K6,STMN2	
Endocannabinoid Neuronal Synapse Pathway	-0E00		2.36E-02	PLCD3,PLCE1,PLCG1	
Ephrin Receptor Signaling	-0E00		1.71E-02	ITGA5,PTPN13,VEGFA	
Epithelial Adherens Junction Signaling	-0E00		2.01E-02	AFDN,APC,HGF	
ErbB Signaling	-0E00		2.17E-02	MAP2K6,PLCG1	
ErbB4 Signaling	-0E00		1.52E-02	PLCG1	
Erythropoietin Signaling	-0E00		2.63E-02	PLCG1,SOCS3	
Estrogen Receptor Signaling	-0E00		1.47E-02	RUNX2,TAF5	
FAK Signaling	-0E00		2.15E-02	ITGA5,PLCG1	
FAT10 Cancer Signaling Pathway	-0E00		2.17E-02	TNFRSF1A	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00		1.27E-02	EIF4EBP1	
FXR/RXR Activation	-0E00		2.46E-02	FASN,SERPINF1,VLDLR	
Factors Promoting Cardiogenesis in Vertebrates	-0E00		2.22E-02	APC,LRP1	
Fc Epsilon RI Signaling	-0E00		2.61E-02	INPP5B,MAP2K6,PLCG1	
G Beta Gamma Signaling	-0E00		8.20E-03	PLCG1	
G-Protein Coupled Receptor Signaling	-0E00		1.85E-02	GRM3,HTR2A,PDE1C,PDE7B,S1PR1	
GABA Receptor Signaling	-0E00		2.13E-02	GAD2,SLC6A1	
GDNF Family Ligand-Receptor Interactions	-0E00		1.32E-02	PLCG1	
GNRH Signaling	-0E00		1.78E-02	EGR1,MAP2K6,MMP2	
GP6 Signaling Pathway	-0E00		2.59E-02	COL4A1,COL4A2,LAMB1	
Glioblastoma Multiforme Signaling	-0E00	0.0	2.47E-02	APC,PLCD3,PLCE1,PLCG1	
Graft-versus-Host Disease Signaling	-0E00		2.50E-02	HLA-A	
Gustation Pathway	-0E00		1.33E-02	PDE1C,PDE7B	
Gα12/13 Signaling	-0E00		7.75E-03	CDH13	
Gαi Signaling	-0E00		1.60E-02	GRM3,S1PR1	
Gαq Signaling	-0E00		1.97E-02	HTR2A,PLCG1,PLD3	
HER-2 Signaling in Breast Cancer	-0E00		2.38E-02	MMP2,PLCG1	
HIPPO signaling	-0E00		2.38E-02	CD44,PPP1R3C	
HOTAIR Regulatory Pathway	-0E00	2.0	2.60E-02	CD44,ICAM1,MMP2,PCDH10	
Hepatic Cholestasis	-0E00		1.70E-02	SLCO1C1,SLCO3A1,TNFRSF1A	
Hereditary Breast Cancer Signaling	-0E00		2.19E-02	DPF1,PHF10,RFC4	
Human Embryonic Stem Cell Pluripotency	-0E00		2.27E-02	APC,FGF2,S1PR1	
IGF-1 Signaling	-0E00		1.92E-02	NEDD4,SOCS3	
IL-1 Signaling	-0E00		1.10E-02	MAP2K6	
IL-12 Signaling and Production in Macrophages	-0E00		1.55E-02	CEBPB,MAF	
IL-15 Production	-0E00		2.54E-02	DDR2,KDR,MAP2K6	
IL-15 Signaling	-0E00		1.41E-02	PLCG1	
IL-23 Signaling Pathway	-0E00		2.27E-02	SOCS3	
Induction of Apoptosis by HIV1	-0E00		1.67E-02	TNFRSF1A	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00		8.47E-03	TNFRSF1A	
