© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->geneaFilteredOnlyMicroarray - 2019-06-10 05:22 PM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	geneaFilteredOnlyMicroarray - 2019-06-10 05:22 PM
Date	Mon Jun 10 14:22:28 PDT 2019
Analysis ID	17916753

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->geneaFilteredOnlyMicroarray - 2019-06-10 05:22 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
4-1BB Signaling in T Lymphocytes	-0E00	NaN	6.25E-02	JUN,TNFSF9	
AMPK Signaling	-0E00	NaN	8.11E-02	FGFR3,KAT2B,CHRNA5,PPM1D,RAB39A,CPT1A,PIK3R5,PIK3C2B,GAB1,AK4,AK3,DPF1,SLC2A4,PPM1K,CHRNB2,NOS3,ADRA2A,EIF4EBP1	
ATM Signaling	-0E00	NaN	3.12E-02	JUN,PPM1D,RNF168	
Acetone Degradation I (to Methylglyoxal)	-0E00	NaN	3.45E-02	CYP2S1,	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	NaN	1.64E-02	JUN,	
Acute Myeloid Leukemia Signaling	-0E00	NaN	7.84E-02	FGFR3,RARA,LEF1,PIK3R5,PIK3C2B,GAB1,EIF4EBP1,CSF1R	
Acute Phase Response Signaling	-0E00	NaN	6.82E-02	JUN,FOS,SAA1,JAK2,MAP3K1,CEBPB,ITIH3,IL1RAP,SERPINA1,VWF,SOCS6,IL33	
Allograft Rejection Signaling	-0E00	NaN	7.50E-02	HLA-A,HLA-DRB1,HLA-DRB5	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	NaN	7.59E-02	TLR5,CSF2,HLA-A,HLA-DRB1,HLA-DRB5,IL33	
Amyloid Processing	-0E00	NaN	6.00E-02	CDK5R1,BACE2,MARK1	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	NaN	6.90E-02	FGFR3,GNG3,PIK3R5,PIK3C2B,GAB1,CTH	
Apelin Liver Signaling Pathway	-0E00	NaN	7.69E-02	COL10A1,APLN	
Apoptosis Signaling	-0E00	NaN	5.10E-02	APAF1,PRKCA,PRKCQ,CASP3,PLCG2	
April Mediated Signaling	-0E00	NaN	7.69E-02	JUN,FOS,MAP3K1	
Autoimmune Thyroid Disease Signaling	-0E00	NaN	7.89E-02	HLA-A,HLA-DRB1,HLA-DRB5	
Autophagy	-0E00	NaN	1.92E-02	CTSW,	
B Cell Activating Factor Signaling	-0E00	NaN	7.32E-02	JUN,FOS,MAP3K1	
BAG2 Signaling Pathway	-0E00	NaN	4.76E-02	HSPA2,CASP3	
Bile Acid Biosynthesis, Neutral Pathway	-0E00	NaN	7.69E-02	AKR1C3,	
Bupropion Degradation	-0E00	NaN	4.17E-02	CYP2S1,	
CDK5 Signaling	-0E00	NaN	7.48E-02	ADCY1,DRD1,MAPK4,CDK5R1,LAMA1,NTRK2,ADCY8,PPP1R11	
Cell Cycle Control of Chromosomal Replication	-0E00	NaN	1.89E-02	RPA2,	
Cell Cycle Regulation by BTG Family Proteins	-0E00	NaN	2.70E-02	HOXB9,	
Cell Cycle: G1/S Checkpoint Regulation	-0E00	NaN	6.15E-02	CCND2,RBL1,HDAC4,HDAC9	
Choline Biosynthesis III	-0E00	NaN	7.14E-02	CHPT1,	
Chronic Myeloid Leukemia Signaling	-0E00	NaN	6.09E-02	FGFR3,PIK3R5,PIK3C2B,RBL1,GAB1,HDAC4,HDAC9	
Coagulation System	-0E00	NaN	5.71E-02	SERPINA1,VWF	
