HD20_vs_CTR,HD18_vs_CTR,HD17_vs_CTR,HD_vs_CTR,HD20_vs_HD19
LOC100049716,LOC100101478,ADA,SNORD116-4,GNPDA1
CDH3,LOC100128398,MED6,SNORD116-21,CDH3
TMA16P2,LINC00476,NAALAD2,SNORD116-22,LOC100101478
TMEM170B,LOC100129034,SNORD116-2,SNORD116-24,ATF4P4
ATF4P4,ZNF737,SNORD116-4,GTF2IP4,LOC100128594
ZNF667-AS1,GLYATL1P2,SNORD116-8,CDH3,FAM66B
NEBL-AS1,LOC100130370,SNORD116-20,HAVCR1P1,SLC25A21-AS1
LOC100128531,LOC100130950,SNORD116-21,TMEM170B,CCDC18-AS1
MYHAS,C11orf91,SNORD116-22,ATF4P4,LOC100132062
SLC8A1-AS1,RPS4XP22,SNORD116-24,WWTR1-AS1,LOC100132287
LOC100128885,LOC100131785,SNORD116-28,LOC100128253,FAM66D
FAM66B,LINC00271,GTF2IP4,DLG5-AS1,LINC01001
RPS29P17,LOC100132249,LOC100101126,100128364,FAM66A
FGF13-AS1,RPL7AP45,HAVCR1P1,LOC100128398,EPOP
SLC25A21-AS1,LOC100133211,TMA16P2,LOC100128494,FAR2P2
LOC100130691,GOLGA6L3,ZSCAN30,NEBL-AS1,RPSAP41
CCDC18-AS1,LOC100134868,UCKL1-AS1,LOC100128531,RPS14P1
LOC100132062,EPOP,TMEM170B,SLC8A1-AS1,RPS14P2
LOC100132111,RPS14P1,NRBF2P5,LOC100128885,SH3RF3-AS1
LOC100132287,RPS26P26,ZGLP1,FAM66B,LOC100287497
LINC01512,WHAMMP1,GHRLOS,RBM17P4,LOXL1-AS1
MSC-AS1,ZNF605,WWTR1-AS1,LOC100129034,LINC00630
LINC01001,MIR1304,FAM229A,SEMA3F-AS1,SLC9A3-AS1
LOC100134868,LOC100421976,LOC100128108,LOC100129293,NPIPA5
EPOP,SMG1P6,LOC100128239,LOC100129434,LOC100288778
LINC00092,THAP9-AS1,LOC100128288,LINC01546,UBAC2-AS1
TPT1-AS1,LINC02520,DLG5-AS1,ZNF737,FTX
RPSAP41,LINC01133,LOC100128340,GLYATL1P2,LOC100420587
RPL24P7,STARD4-AS1,LOC100128361,URAHP,THAP9-AS1
RPS14P1,SH3BP5-AS1,100128364,MIR124-2HG,CEBPZOS
RPS14P2,MIR4458HG,LOC100128398,C17orf107,LOC100506114
RPS12P32,CARD8-AS1,RAB28P5,PP14571,SP2-AS1
SH3RF3-AS1,LOC100505909,LOC100128494,PARD6G-AS1,LINC00648
OSTM1-AS1,LOC100506055,LOC100128531,LOC100130548,LOC100506718
LOC100287387,LOC100506124,MYHAS,LOC100130705,LOC100506797
DDX11L5,LOC100506258,C19orf71,ZNF663P,LL0XNC01-250H12.3
LINC00630,LOC100506474,SLC8A1-AS1,LOC100130950,LINC01578
LOC100288073,THEGL,LOC100128594,SNAP25-AS1,ZNF571-AS1
SLC9A3-AS1,PCAT6,PPP1R2P10,ANKRD63,MCPH1-AS1
NPIPA5,LOC100506797,OST4,C11orf91,CDH8
LOC100288778,LL0XNC01-250H12.3,LOC100128885,LOC100131868,POU6F2-AS2
SLC25A25-AS1,LOC100506922,FAM66B,LOC100132249,PTPRU
FTX,TUNAR,RPLP1P4,LINC01512,HEIH
SAP25,100507131,LOC100129034,GXYLT1P3,DUX4L26
LOC100419037,SLFNL1-AS1,SEMA3F-AS1,IPO5P1,LINC01206
LOC100420054,IDH1-AS1,RPL21P37,MSC-AS1,NFIA-AS2
CICP27,LOC100507599,LOC100129293,FAM95B1,LOC100996662
LOC100420587,LINC00968,RPL9P29,GOLGA6L3,NUTM2B-AS1
LOC100420832,LOC100507747,GABPB1-AS1,CHKB-AS1,FRY
BMPR1APS1,SEPT5-GP1BB,LOC100129434,SRRM5,ATP6AP2
