© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->longFragmentHuman - 2020-01-20 08:06 PM
Workspace	My Projects
Project	hd_microarray
Analysis	longFragmentHuman - 2020-01-20 08:06 PM
Date	Mon Jan 20 17:06:30 PST 2020
Analysis ID	18745804

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->longFragmentHuman - 2020-01-20 08:06 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Glucocorticoid Receptor Signaling	3.25E-01		2.98E-03	PIK3R5	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	3.28E-01		3.00E-03	PIK3R5	
Neuroinflammation Signaling Pathway	3.61E-01		3.33E-03	PIK3R5	
Senescence Pathway	3.9E-01		3.64E-03	PIK3R5	
G-Protein Coupled Receptor Signaling	3.93E-01		3.68E-03	PIK3R5	
Colorectal Cancer Metastasis Signaling	4.18E-01		3.95E-03	PIK3R5	
Cardiac Hypertrophy Signaling	4.36E-01		4.17E-03	PIK3R5	
Systemic Lupus Erythematosus Signaling	4.52E-01		4.37E-03	PIK3R5	
EIF2 Signaling	4.6E-01		4.46E-03	PIK3R5	
Sperm Motility	4.61E-01		4.48E-03	PRKCQ	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.66E-01		4.55E-03	PIK3R5	
AMPK Signaling	4.79E-01		4.72E-03	PIK3R5	
Osteoarthritis Pathway	4.81E-01		4.74E-03	ITGA4	
Calcium Signaling	4.89E-01		4.85E-03	GRIA4	
Adrenomedullin signaling pathway	5.05E-01		5.08E-03	PIK3R5	
Superpathway of Inositol Phosphate Compounds	5.05E-01		5.08E-03	PIK3R5	
Clathrin-mediated Endocytosis Signaling	5.13E-01		5.18E-03	PIK3R5	
RAR Activation	5.13E-01		5.18E-03	PRKCQ	
Agranulocyte Adhesion and Diapedesis	5.15E-01		5.21E-03	ITGA4	
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.15E-01		5.21E-03	PIK3R5	
ILK Signaling	5.18E-01		5.26E-03	PIK3R5	
Sertoli Cell-Sertoli Cell Junction Signaling	5.28E-01		5.41E-03	ITGA4	
