© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->shortFragmentHuman - 2020-01-20 08:04 PM
Workspace	My Projects
Project	hd_microarray
Analysis	shortFragmentHuman - 2020-01-20 08:04 PM
Date	Mon Jan 20 17:04:34 PST 2020
Analysis ID	18745800

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->shortFragmentHuman - 2020-01-20 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Adrenomedullin signaling pathway	-0E00		5.08E-03	PLCG1	
Breast Cancer Regulation by Stathmin1	-0E00		5.00E-03	PPP1R3C	
CREB Signaling in Neurons	-0E00		4.83E-03	PLCG1	
Cardiac Hypertrophy Signaling	-0E00		4.17E-03	PLCG1	
Colorectal Cancer Metastasis Signaling	-0E00		3.95E-03	TNFRSF1A	
G-Protein Coupled Receptor Signaling	-0E00		3.68E-03	PDE1C	
Gap Junction Signaling	-0E00		5.05E-03	PLCG1	
Opioid Signaling Pathway	-0E00		4.05E-03	PDE1C	
Phospholipase C Signaling	-0E00		3.89E-03	PLCG1	
Role of NFAT in Cardiac Hypertrophy	-0E00		4.67E-03	PLCG1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00		4.55E-03	TNFRSF1A	
Senescence Pathway	-0E00		3.64E-03	DHCR24	
Signaling by Rho Family GTPases	-0E00		4.10E-03	NEDD4	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00		3.00E-03	PLCG1	
Thrombin Signaling	-0E00		4.81E-03	PLCG1	
cAMP-mediated signaling	-0E00		4.39E-03	PDE1C	
Clathrin-mediated Endocytosis Signaling	2.01E-01		5.18E-03	LDLR	
RAR Activation	2.01E-01		5.18E-03	RBP1	
ILK Signaling	2.05E-01		5.26E-03	TNFRSF1A	
Synaptic Long Term Depression	2.07E-01		5.29E-03	PLCG1	
Endothelin-1 Signaling	2.08E-01		5.32E-03	PLCG1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.11E-01		5.38E-03	TNFRSF1A	
Sertoli Cell-Sertoli Cell Junction Signaling	2.12E-01		5.41E-03	TNFRSF1A	
Hepatic Cholestasis	2.14E-01		5.43E-03	TNFRSF1A	
Role of NFAT in Regulation of the Immune Response	2.18E-01		5.52E-03	PLCG1	
NF-κB Signaling	2.21E-01		5.59E-03	TNFRSF1A	
T Cell Exhaustion Signaling Pathway	2.27E-01		5.71E-03	PLCG1	
Wnt/β-catenin Signaling	2.3E-01		5.78E-03	SOX3	
Th1 and Th2 Activation Pathway	2.33E-01		5.85E-03	MAF	
Tight Junction Signaling	2.38E-01		5.95E-03	TNFRSF1A	
Glioblastoma Multiforme Signaling	2.43E-01		6.06E-03	PLCG1	
HMGB1 Signaling	2.43E-01		6.06E-03	TNFRSF1A	
3-phosphoinositide Biosynthesis	2.45E-01		6.10E-03	DOT1L	
Tec Kinase Signaling	2.45E-01		6.10E-03	PLCG1	
Hepatic Fibrosis Signaling Pathway	2.5E-01		5.43E-03	PLCG1,TNFRSF1A	
eNOS Signaling	2.53E-01		6.29E-03	PLCG1	
Gαq Signaling	2.57E-01		6.37E-03	PLCG1	
PKCθ Signaling in T Lymphocytes	2.61E-01		6.45E-03	PLCG1	
3-phosphoinositide Degradation	2.63E-01		6.49E-03	DOT1L	
Gustation Pathway	2.63E-01		6.49E-03	PDE1C	
Relaxin Signaling	2.7E-01		6.67E-03	PDE1C	
Corticotropin Releasing Hormone Signaling	2.8E-01		6.90E-03	PLCG1	
Type II Diabetes Mellitus Signaling	2.86E-01		7.04E-03	TNFRSF1A	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	2.9E-01		7.14E-03	DOT1L	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	2.9E-01		7.14E-03	DOT1L	
Insulin Receptor Signaling	2.93E-01		7.19E-03	PPP1R3C	
PI3K Signaling in B Lymphocytes	2.95E-01		7.25E-03	PLCG1	
Th2 Pathway	2.99E-01		7.35E-03	MAF	
IL-12 Signaling and Production in Macrophages	3.08E-01		7.58E-03	MAF	
p70S6K Signaling	3.15E-01		7.75E-03	PLCG1	
Endocannabinoid Neuronal Synapse Pathway	3.18E-01		7.81E-03	PLCG1	
P2Y Purigenic Receptor Signaling Pathway	3.2E-01		7.87E-03	PLCG1	
Atherosclerosis Signaling	3.22E-01		7.94E-03	GLG1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.24E-01		6.41E-03	PLCG1,TNFRSF1A	
IL-6 Signaling	3.25E-01		8.00E-03	TNFRSF1A	
Phagosome Formation	3.25E-01		8.00E-03	PLCG1	
RhoA Signaling	3.3E-01		8.13E-03	NEDD4	
G Beta Gamma Signaling	3.32E-01		8.20E-03	PLCG1	
Inhibition of ARE-Mediated mRNA Degradation Pathway	3.32E-01		8.20E-03	TNFRSF1A	
CD28 Signaling in T Helper Cells	3.38E-01		8.33E-03	PLCG1	
Natural Killer Cell Signaling	3.4E-01		8.40E-03	PLCG1	
Renin-Angiotensin Signaling	3.43E-01		8.47E-03	PLCG1	
p38 MAPK Signaling	3.43E-01		8.47E-03	TNFRSF1A	
Cardiac Hypertrophy Signaling (Enhanced)	3.43E-01		6.16E-03	PDE1C,PLCG1,TNFRSF1A	
Fc Epsilon RI Signaling	3.46E-01		8.55E-03	PLCG1	
Role of Tissue Factor in Cancer	3.46E-01		8.55E-03	ITGA6	
Sphingosine-1-phosphate Signaling	3.46E-01		8.55E-03	PLCG1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.48E-01		8.62E-03	HTRA1	
NGF Signaling	3.54E-01		8.77E-03	PLCG1	
HIF1α Signaling	3.57E-01		8.85E-03	LDHA	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.6E-01		8.93E-03	PLCG1	
HGF Signaling	3.63E-01		9.01E-03	PLCG1	
Type I Diabetes Mellitus Signaling	3.63E-01		9.01E-03	TNFRSF1A	
iCOS-iCOSL Signaling in T Helper Cells	3.63E-01		9.01E-03	PLCG1	
Glioma Signaling	3.65E-01		9.09E-03	PLCG1	
Antioxidant Action of Vitamin C	3.68E-01		9.17E-03	PLCG1	
Paxillin Signaling	3.71E-01		9.26E-03	ITGA6	
T Cell Receptor Signaling	3.81E-01		9.52E-03	PLCG1	
IGF-1 Signaling	3.84E-01		9.62E-03	NEDD4	
PPAR Signaling	3.84E-01		9.62E-03	TNFRSF1A	
Neuropathic Pain Signaling In Dorsal Horn Neurons	3.93E-01		9.90E-03	PLCG1	
Apelin Cardiomyocyte Signaling Pathway	4E-01		1.01E-02	PLCG1	
Nitric Oxide Signaling in the Cardiovascular System	4E-01		1.01E-02	PDE1C	
VEGF Signaling	4E-01		1.01E-02	PLCG1	
UVA-Induced MAPK Signaling	4.04E-01		1.02E-02	PLCG1	
Neuregulin Signaling	4.1E-01		1.04E-02	PLCG1	
FAK Signaling	4.14E-01		1.05E-02	PLCG1	
α-Adrenergic Signaling	4.14E-01		1.05E-02	PLCG1	
CCR5 Signaling in Macrophages	4.18E-01		1.06E-02	PLCG1	
ErbB Signaling	4.18E-01		1.06E-02	PLCG1	
Melanocyte Development and Pigmentation Signaling	4.18E-01		1.06E-02	PLCG1	
Death Receptor Signaling	4.29E-01		1.10E-02	TNFRSF1A	
CTLA4 Signaling in Cytotoxic T Lymphocytes	4.36E-01		1.12E-02	PLCG1	
