Sample Name,Target Name,deltaCT,Gene
R6-3a,Abca1-Mm00442646_m1,6.9975,Abca1
R6-3a,Abca1-Mm00442646_m1,,Abca1
R6-4a,Abca1-Mm00442646_m1,5.6145,Abca1
R6-4a,Abca1-Mm00442646_m1,,Abca1
R6-5a,Abca1-Mm00442646_m1,4.6915,Abca1
R6-5a,Abca1-Mm00442646_m1,,Abca1
R6-6a,Abca1-Mm00442646_m1,7.473,Abca1
R6-6a,Abca1-Mm00442646_m1,,Abca1
WT-2a,Abca1-Mm00442646_m1,8.268,Abca1
WT-2a,Abca1-Mm00442646_m1,,Abca1
WT-3a,Abca1-Mm00442646_m1,9.843,Abca1
WT-3a,Abca1-Mm00442646_m1,,Abca1
WT-4a,Abca1-Mm00442646_m1,8.297,Abca1
WT-4a,Abca1-Mm00442646_m1,,Abca1
WT-5a,Abca1-Mm00442646_m1,9.2745,Abca1
WT-5a,Abca1-Mm00442646_m1,,Abca1
R6-3a,Abca2-Mm00431553_m1,8.636,Abca2
R6-3a,Abca2-Mm00431553_m1,,Abca2
R6-4a,Abca2-Mm00431553_m1,8.6425,Abca2
R6-4a,Abca2-Mm00431553_m1,,Abca2
R6-5a,Abca2-Mm00431553_m1,14.985,Abca2
R6-5a,Abca2-Mm00431553_m1,,Abca2
R6-6a,Abca2-Mm00431553_m1,9.6135,Abca2
R6-6a,Abca2-Mm00431553_m1,,Abca2
WT-2a,Abca2-Mm00431553_m1,9.3775,Abca2
WT-2a,Abca2-Mm00431553_m1,,Abca2
WT-3a,Abca2-Mm00431553_m1,10.4845,Abca2
WT-3a,Abca2-Mm00431553_m1,,Abca2
WT-4a,Abca2-Mm00431553_m1,8.917,Abca2
WT-4a,Abca2-Mm00431553_m1,,Abca2
WT-5a,Abca2-Mm00431553_m1,9.411,Abca2
WT-5a,Abca2-Mm00431553_m1,,Abca2
R6-3a,Abcg1-Mm00437390_m1,4.7785,Abcg1
R6-3a,Abcg1-Mm00437390_m1,,Abcg1
R6-4a,Abcg1-Mm00437390_m1,3.7095,Abcg1
R6-4a,Abcg1-Mm00437390_m1,,Abcg1
R6-5a,Abcg1-Mm00437390_m1,6.9775,Abcg1
R6-5a,Abcg1-Mm00437390_m1,,Abcg1
R6-6a,Abcg1-Mm00437390_m1,5.7025,Abcg1
R6-6a,Abcg1-Mm00437390_m1,,Abcg1
WT-2a,Abcg1-Mm00437390_m1,7.037,Abcg1
WT-2a,Abcg1-Mm00437390_m1,,Abcg1
WT-3a,Abcg1-Mm00437390_m1,7.567,Abcg1
WT-3a,Abcg1-Mm00437390_m1,,Abcg1
WT-4a,Abcg1-Mm00437390_m1,6.366,Abcg1
WT-4a,Abcg1-Mm00437390_m1,,Abcg1
WT-5a,Abcg1-Mm00437390_m1,6.2305,Abcg1
WT-5a,Abcg1-Mm00437390_m1,,Abcg1
R6-3a,Acaa2-Mm00624282_m1,3.145,Acaa2
R6-3a,Acaa2-Mm00624282_m1,,Acaa2
R6-4a,Acaa2-Mm00624282_m1,2.9345,Acaa2
R6-4a,Acaa2-Mm00624282_m1,,Acaa2
R6-5a,Acaa2-Mm00624282_m1,3.4085,Acaa2
R6-5a,Acaa2-Mm00624282_m1,,Acaa2
R6-6a,Acaa2-Mm00624282_m1,4.218,Acaa2
R6-6a,Acaa2-Mm00624282_m1,,Acaa2
WT-2a,Acaa2-Mm00624282_m1,3.911,Acaa2
WT-2a,Acaa2-Mm00624282_m1,,Acaa2
WT-3a,Acaa2-Mm00624282_m1,4.692,Acaa2
WT-3a,Acaa2-Mm00624282_m1,,Acaa2
