© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_12mo_Cd11b_Multiprobe - 2019-10-20 07:16 PM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_12mo_Cd11b_Multiprobe - 2019-10-20 07:16 PM
Date	Sun Oct 20 16:16:24 PDT 2019
Analysis ID	18426090

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_12mo_Cd11b_Multiprobe - 2019-10-20 07:16 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00	2.23606797749979	3.31E-02	DUSP15,NUDT11,PDCD1,PPP1R14A,PPP2R3A	
ATM Signaling	-0E00		2.17E-02	CREB1,PPP2R3A	
Acute Myeloid Leukemia Signaling	-0E00		2.30E-02	MRAS,RAP2B	
Agranulocyte Adhesion and Diapedesis	-0E00		1.96E-02	CLDN14,CXCL14,MYH14	
Aldosterone Signaling in Epithelial Cells	-0E00		6.62E-03	PLCB4	
Antioxidant Action of Vitamin C	-0E00		1.01E-02	PLCB4	
Apelin Adipocyte Signaling Pathway	-0E00		2.74E-02	GSTM2,GSTZ1	
Apelin Cardiomyocyte Signaling Pathway	-0E00		2.13E-02	ARNT,PLCB4	
Apoptosis Signaling	-0E00		2.06E-02	MRAS,RAP2B	
Assembly of RNA Polymerase II Complex	-0E00		2.08E-02	CDK7	
B Cell Activating Factor Signaling	-0E00		2.44E-02	TNFRSF13C	
Bladder Cancer Signaling	-0E00		3.33E-02	FGF1,MRAS,RAP2B	
CD40 Signaling	-0E00		1.61E-02	TANK	
Cell Cycle Regulation by BTG Family Proteins	-0E00		2.86E-02	PPP2R3A	
Cell Cycle: G1/S Checkpoint Regulation	-0E00		3.12E-02	FOXO1,TGFB2	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00		2.04E-02	CDK7	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		2.50E-02	CHST15	
Chronic Myeloid Leukemia Signaling	-0E00		2.97E-02	MRAS,RAP2B,TGFB2	
Communication between Innate and Adaptive Immune Cells	-0E00		1.54E-02	TNFRSF13C	
Complement System	-0E00		3.23E-02	ITGAX	
Death Receptor Signaling	-0E00		1.16E-02	TANK	
Dendritic Cell Maturation	-0E00		2.00E-02	COL1A2,CREB1,PLCB4	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00		2.63E-02	CHST15	
Docosahexaenoic Acid (DHA) Signaling	-0E00		2.70E-02	FOXO1	
EIF2 Signaling	-0E00	-1.0	2.08E-02	MRAS,RAP2B,RPL7L1,TRIB3	
Eicosanoid Signaling	-0E00		1.67E-02	PTGER4	
Endocannabinoid Cancer Inhibition Pathway	-0E00	1.0	2.94E-02	CASQ1,CREB1,PTK2,TRIB3	
ErbB4 Signaling	-0E00		3.08E-02	MRAS,RAP2B	
Erythropoietin Signaling	-0E00		2.70E-02	MRAS,RAP2B	
Estrogen Biosynthesis	-0E00		2.70E-02	CYP2J2	
Estrogen Receptor Signaling	-0E00		2.27E-02	CDK7,MRAS,RAP2B	
FAT10 Cancer Signaling Pathway	-0E00		2.17E-02	TGFB2	
FGF Signaling	-0E00		2.41E-02	CREB1,FGF1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00		3.30E-02	FYN,MYO5A,SYK	
GM-CSF Signaling	-0E00		2.90E-02	MRAS,RAP2B	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00		2.99E-02	ADRB1,PLCB4	
Glucocorticoid Receptor Signaling	-0E00		2.94E-02	AR,CD3E,CD3G,CDK7,CREB1,FKBP5,MRAS,RAP2B,TGFB2	
Granulocyte Adhesion and Diapedesis	-0E00		2.76E-02	CLDN14,CXCL14,IL1RAP,IL1RAPL1	
HGF Signaling	-0E00		2.86E-02	MRAS,PTK2,RAP2B	
Heparan Sulfate Biosynthesis	-0E00		3.12E-02	B3GAT1,CHST15	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00		1.72E-02	CHST15	
Hereditary Breast Cancer Signaling	-0E00		1.49E-02	MRAS,RAP2B	
IL-10 Signaling	-0E00		3.03E-02	IL1RAP,IL1RAPL1	
IL-12 Signaling and Production in Macrophages	-0E00		2.70E-02	APOC4,APOE,TGFB2	
IL-17 Signaling	-0E00		2.78E-02	MRAS,RAP2B	
IL-4 Signaling	-0E00		2.53E-02	MRAS,RAP2B	
IL-6 Signaling	-0E00	1.0	3.31E-02	IL1RAP,IL1RAPL1,MRAS,RAP2B	
IL-9 Signaling	-0E00		3.12E-02	SOCS2	
Intrinsic Prothrombin Activation Pathway	-0E00		2.70E-02	COL1A2	
Iron homeostasis signaling pathway	-0E00		3.28E-02	ARNT,ATP6V0D2,ATP6V0E2,BMP4	
Leptin Signaling in Obesity	-0E00		2.82E-02	FOXO1,PLCB4	
Leukocyte Extravasation Signaling	-0E00		1.67E-02	CLDN14,CTTN,PTK2	
Lymphotoxin β Receptor Signaling	-0E00		1.96E-02	TNFSF14	
MIF Regulation of Innate Immunity	-0E00		2.50E-02	LY96	
MIF-mediated Glucocorticoid Regulation	-0E00		3.12E-02	LY96	
MSP-RON Signaling Pathway	-0E00		1.92E-02	CSF1	
Melatonin Degradation I	-0E00		2.44E-02	CYP2J2	
Melatonin Signaling	-0E00		1.52E-02	PLCB4	
Mitochondrial Dysfunction	-0E00		1.38E-02	CPT1C,MAOA	
Mitotic Roles of Polo-Like Kinase	-0E00		3.28E-02	CDC20,PPP2R3A	
NER Pathway	-0E00		1.14E-02	CDK7	
NF-κB Activation by Viruses	-0E00		2.47E-02	MRAS,RAP2B	
NGF Signaling	-0E00		2.75E-02	CREB1,MRAS,RAP2B	
Netrin Signaling	-0E00		3.17E-02	CACNA2D1,CACNB4	
Neuregulin Signaling	-0E00		3.23E-02	MRAS,RAP2B,TMEFF2	
Neuroinflammation Signaling Pathway	-0E00	0.0	1.89E-02	CREB1,GJB1,S100B,SYK,TGFB2	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00		3.19E-02	CREB1,GZMK,SERPINA3	
Nicotine Degradation II	-0E00		2.13E-02	CYP2J2	
Nicotine Degradation III	-0E00		2.44E-02	CYP2J2	
Non-Small Cell Lung Cancer Signaling	-0E00		2.78E-02	MRAS,RAP2B	
Nucleotide Excision Repair Pathway	-0E00		3.12E-02	CDK7	
PDGF Signaling	-0E00		2.35E-02	MRAS,RAP2B	
Pancreatic Adenocarcinoma Signaling	-0E00		9.52E-03	TGFB2	
Phospholipases	-0E00		1.82E-02	PLCB4	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00	0.4472135954999579	2.92E-02	APOC4,APOE,PPP1R14A,PPP2R3A,RHOJ	
Protein Ubiquitination Pathway	-0E00		2.34E-02	CDC20,UBE2E2,UCHL1,USP18,USP24,USP54	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00		2.50E-02	ENTPD1	
Pyrimidine Ribonucleotides Interconversion	-0E00		2.63E-02	ENTPD1	
RAR Activation	-0E00		2.67E-02	CDK7,RDH10,RDH12,SORBS3,TGFB2	
Regulation of eIF4 and p70S6K Signaling	-0E00		2.11E-02	MRAS,PPP2R3A,RAP2B	
Remodeling of Epithelial Adherens Junctions	-0E00		3.12E-02	DNM3,TUBB3	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00		1.82E-02	PPP2R3A	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00		2.86E-02	IL25	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00		2.67E-02	MRAS,RAP2B	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00		2.22E-02	SPP1	
Serotonin Degradation	-0E00		2.27E-02	MAOA	
Sirtuin Signaling Pathway	-0E00		1.56E-02	BPGM,CPT1C,FOXO1,NQO1	
Small Cell Lung Cancer Signaling	-0E00		1.43E-02	PTK2	
Sumoylation Pathway	-0E00		3.09E-02	AR,RHOJ,SERBP1	
Superpathway of Inositol Phosphate Compounds	-0E00	2.4494897427831783	3.28E-02	DUSP15,NUDT11,PDCD1,PLCB4,PPP1R14A,PPP2R3A	
Superpathway of Methionine Degradation	-0E00		3.03E-02	GOT1L1	
TNFR2 Signaling	-0E00		3.33E-02	TANK	
TREM1 Signaling	-0E00		3.12E-02	CIITA,ITGAX	
Telomerase Signaling	-0E00		3.00E-02	MRAS,PPP2R3A,RAP2B	
Th1 Pathway	-0E00		2.00E-02	CD3E,CD3G	
Th1 and Th2 Activation Pathway	-0E00		2.74E-02	CD3E,CD3G,IL25,JAG1	
Th17 Activation Pathway	-0E00		1.72E-02	PTGER4	
Thrombopoietin Signaling	-0E00		3.23E-02	MRAS,RAP2B	
Tight Junction Signaling	-0E00		3.18E-02	CLDN14,MPDZ,MYH14,PPP2R3A,TGFB2	
Toll-like Receptor Signaling	-0E00		1.43E-02	LY96	
Triacylglycerol Degradation	-0E00		2.50E-02	LPL	
Type II Diabetes Mellitus Signaling	-0E00		2.96E-02	CACNA2D1,CACNB4,SOCS2,SOCS6	
UVA-Induced MAPK Signaling	-0E00		3.19E-02	MRAS,PLCB4,RAP2B	
Unfolded protein response	-0E00		1.85E-02	XBP1	
eNOS Signaling	-0E00		2.78E-02	CCNA2,FLT1,GUCY1A1,GUCY1B1	
iCOS-iCOSL Signaling in T Helper Cells	-0E00		2.00E-02	CD3E,CD3G	
iNOS Signaling	-0E00		2.27E-02	LY96	
mTOR Signaling	-0E00	0.0	2.08E-02	MRAS,PPP2R3A,RAP2B,RHOJ	
nNOS Signaling in Neurons	-0E00		2.22E-02	DLG2	
p53 Signaling	-0E00		1.08E-02	PLAGL1	
tRNA Charging	-0E00		2.63E-02	EARS2	
Acetone Degradation I (to Methylglyoxal)	2.21E-01		3.70E-02	CYP2J2	
Antigen Presentation Pathway	2.21E-01		3.70E-02	CIITA	
Noradrenaline and Adrenaline Degradation	2.21E-01		3.70E-02	MAOA	
Apelin Liver Signaling Pathway	2.31E-01		3.85E-02	COL1A2	
Estrogen-mediated S-phase Entry	2.31E-01		3.85E-02	CCNA2	
Autophagy	2.35E-01		3.45E-02	CTSK,WIPI1	
PD-1, PD-L1 cancer immunotherapy pathway	2.39E-01		3.37E-02	CIP2A,PDCD1,TGFB2	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.42E-01		4.00E-02	PLCB4	
PXR/RXR Activation	2.42E-01		3.51E-02	FOXO1,GSTM2	
GABA Receptor Signaling	2.51E-01		3.45E-02	CACNA2D1,CACNB4,MRAS	
Gαi Signaling	2.52E-01		3.39E-02	GNB4,GNG11,MRAS,RAP2B	
CNTF Signaling	2.57E-01		3.64E-02	MRAS,RAP2B	
Calcium-induced T Lymphocyte Apoptosis	2.57E-01		3.64E-02	CD3E,CD3G	
Th2 Pathway	2.57E-01	2.0	3.42E-02	CD3E,CD3G,IL25,JAG1	
Gαq Signaling	2.61E-01	1.0	3.40E-02	GNB4,GNG11,MRAS,PLCB4,RHOJ	
Cdc42 Signaling	2.62E-01		3.45E-02	CD3E,CD3G,PAK3,PARD3	
SPINK1 General Cancer Pathway	2.65E-01		3.70E-02	MRAS,RAP2B	
Apelin Cardiac Fibroblast Signaling Pathway	2.65E-01		4.35E-02	TGFB2	
Glycolysis I	2.65E-01		4.35E-02	BPGM	
Ceramide Signaling	2.7E-01		3.57E-02	MRAS,PPP2R3A,RAP2B	
Endothelin-1 Signaling	2.77E-01	0.0	3.45E-02	CASQ1,GUCY1A1,GUCY1B1,MRAS,PLCB4,RAP2B	
Bupropion Degradation	2.78E-01		4.55E-02	CYP2J2	
Dopamine Degradation	2.78E-01		4.55E-02	MAOA	
Polyamine Regulation in Colon Cancer	2.78E-01		4.55E-02	MXD1	
Endocannabinoid Developing Neuron Pathway	2.79E-01	0.0	3.54E-02	CREB1,GNG11,MRAS,RAP2B	
Cell Cycle Control of Chromosomal Replication	2.81E-01		3.85E-02	CDK18,CDK7	
Apelin Endothelial Signaling Pathway	2.85E-01	0.0	3.57E-02	ARNT,MRAS,PLCB4,RAP2B	
Fc Epsilon RI Signaling	2.85E-01	0.0	3.57E-02	FYN,MRAS,RAP2B,SYK	
3-phosphoinositide Degradation	2.86E-01	2.23606797749979	3.52E-02	DUSP15,NUDT11,PDCD1,PPP1R14A,PPP2R3A	
UVC-Induced MAPK Signaling	2.9E-01		3.92E-02	MRAS,RAP2B	
VEGF Family Ligand-Receptor Interactions	2.9E-01		3.70E-02	FLT1,MRAS,RAP2B	
Role of Tissue Factor in Cancer	2.91E-01		3.60E-02	CSF1,FYN,MRAS,RAP2B	
p38 MAPK Signaling	2.91E-01	1.0	3.60E-02	CREB1,IL1RAP,IL1RAPL1,TGFB2	
Hepatic Cholestasis	2.96E-01		3.53E-02	IL1RAP,IL1RAPL1,IL25,LY96,TGFB2,TNFSF14	
PEDF Signaling	2.98E-01		3.75E-02	DOCK3,MRAS,RAP2B	
Dermatan Sulfate Biosynthesis	2.99E-01		4.00E-02	B3GAT1,CHST15	
B Cell Receptor Signaling	3.01E-01	0.0	3.55E-02	CREB1,FOXO1,MRAS,PTK2,RAP2B,SYK	
HOTAIR Regulatory Pathway	3.02E-01	1.3416407864998738	3.60E-02	AR,COL1A2,PCDH10,SPP1,WNT3	
LPS-stimulated MAPK Signaling	3.05E-01		3.80E-02	CREB1,MRAS,RAP2B	
Endoplasmic Reticulum Stress Pathway	3.06E-01		5.00E-02	XBP1	
NAD Salvage Pathway II	3.06E-01		5.00E-02	ACPP	
Melanoma Signaling	3.08E-01		4.08E-02	MRAS,RAP2B	
Thyroid Cancer Signaling	3.08E-01		4.08E-02	MRAS,RAP2B	
CD28 Signaling in T Helper Cells	3.09E-01		3.70E-02	CD3E,CD3G,FYN,SYK	
Glioma Signaling	3.09E-01	1.0	3.70E-02	IGF1,IGF2R,MRAS,RAP2B	
Sphingosine-1-phosphate Signaling	3.09E-01	1.0	3.70E-02	CASQ1,PLCB4,PTK2,RHOJ	
Acute Phase Response Signaling	3.11E-01	0.8164965809277261	3.59E-02	IL1RAP,MRAS,RAP2B,SERPINA3,SOCS2,SOCS6	
NF-κB Signaling	3.11E-01	1.3416407864998738	3.59E-02	BMP4,FLT1,IGF2R,MRAS,RAP2B,TANK	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.12E-01		3.85E-02	CSF1,SPP1,TNFRSF13C	
FLT3 Signaling in Hematopoietic Progenitor Cells	3.12E-01		3.85E-02	CREB1,MRAS,RAP2B	
Corticotropin Releasing Hormone Signaling	3.13E-01	-0.4472135954999579	3.65E-02	CACNA2D1,CACNB4,CREB1,GUCY1A1,GUCY1B1	
T Cell Exhaustion Signaling Pathway	3.13E-01		3.65E-02	FOXO1,MRAS,PDCD1,PPP2R3A,RAP2B	
Nur77 Signaling in T Lymphocytes	3.18E-01		4.17E-02	CD3E,CD3G	
Ovarian Cancer Signaling	3.19E-01		3.68E-02	AXIN1,FZD7,MRAS,RAP2B,WNT3	
IL-3 Signaling	3.2E-01		3.90E-02	FOXO1,MRAS,RAP2B	
Apelin Muscle Signaling Pathway	3.22E-01		5.26E-02	MRAS	
Putrescine Degradation III	3.22E-01		5.26E-02	MAOA	
