© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_12mo_Glt1_Multiprobe - 2019-05-28 07:38 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_12mo_Glt1_Multiprobe - 2019-05-28 07:38 AM
Date	Tue May 28 04:39:02 PDT 2019
Analysis ID	17865919

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_12mo_Glt1_Multiprobe - 2019-05-28 07:38 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
ATM Signaling	-0E00	NaN	3.26E-02	PPM1L,GADD45A,NFKBIA	
Acetone Degradation I (to Methylglyoxal)	-0E00	NaN	3.70E-02	ZADH2,	
Acute Phase Response Signaling	-0E00	1.6329931618554523	3.59E-02	IL1RAP,RAP1A,TRADD,NFKBIA,MAPK3,TRAF6	
Adrenomedullin signaling pathway	-0E00	1.1338934190276817	3.48E-02	FGFR1,MMP2,PIK3R5,FGFR4,RAP1A,PTK2,MAPK3	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	NaN	2.56E-02	CSF1,TNFRSF13C	
Antioxidant Action of Vitamin C	-0E00	-1.0	3.88E-02	PLD1,NFKBIA,PLA2G4A,MAPK3	
Apelin Adipocyte Signaling Pathway	-0E00	NaN	4.17E-02	PPARGC1A,LIPE,MAPK3	
Apelin Liver Signaling Pathway	-0E00	NaN	3.85E-02	COL2A1,	
Aryl Hydrocarbon Receptor Signaling	-0E00	NaN	7.52E-03	MAPK3,	
Assembly of RNA Polymerase II Complex	-0E00	NaN	2.08E-02	POLR2A,	
Autophagy	-0E00	NaN	3.45E-02	CTSK,ATG10	
B Cell Development	-0E00	NaN	4.00E-02	RAG1,	
BMP signaling pathway	-0E00	NaN	3.75E-02	BMP4,RAP1A,MAPK3	
CD27 Signaling in Lymphocytes	-0E00	NaN	2.00E-02	NFKBIA,	
Cell Cycle: G1/S Checkpoint Regulation	-0E00	NaN	3.12E-02	E2F2,FOXO1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	NaN	2.04E-02	GADD45A,	
Cellular Effects of Sildenafil (Viagra)	-0E00	NaN	2.54E-02	MYLPF,CACNA1C,SLC4A10	
Chemokine Signaling	-0E00	NaN	4.05E-02	RAP1A,PTK2,MAPK3	
Chondroitin Sulfate Biosynthesis	-0E00	NaN	4.17E-02	CHSY3,B3GAT1	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	NaN	2.44E-02	CHSY3,	
Communication between Innate and Adaptive Immune Cells	-0E00	NaN	1.54E-02	TNFRSF13C,	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	NaN	1.52E-02	TLN2,	
Cyclins and Cell Cycle Regulation	-0E00	NaN	2.56E-02	E2F2,PPM1L	
DNA Methylation and Transcriptional Repression Signaling	-0E00	NaN	4.00E-02	SAP30,	
Death Receptor Signaling	-0E00	NaN	3.49E-02	TIPARP,TRADD,NFKBIA	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	2.63E-02	DSEL,	
Dopamine Degradation	-0E00	NaN	3.57E-02	Aldh3b2,	
Dopamine Receptor Signaling	-0E00	NaN	2.78E-02	PPP1R3D,PPM1L	
EIF2 Signaling	-0E00	1.3416407864998738	3.38E-02	FGFR1,VEGFA,PIK3R5,AGO2,FGFR4,RAP1A,MAPK3	
