© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Date	Tue May 28 04:27:19 PDT 2019
Analysis ID	17865904

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Glucocorticoid Receptor Signaling	-0E00	NaN	3.13E-03	POLR2A,	
Synaptogenesis Signaling Pathway	2.02E-01	NaN	3.24E-03	EPHA10,	
Neuroinflammation Signaling Pathway	2.3E-01	NaN	3.60E-03	S100B,	
G-Protein Coupled Receptor Signaling	2.39E-01	NaN	3.72E-03	ENPP6,	
Protein Ubiquitination Pathway	2.54E-01	NaN	3.92E-03	UCHL1,	
Colorectal Cancer Metastasis Signaling	2.56E-01	NaN	3.95E-03	Cdc42,	
Cardiac Hypertrophy Signaling	2.73E-01	NaN	4.18E-03	Cdc42,	
Phospholipase C Signaling	2.84E-01	NaN	4.35E-03	Cdc42,	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	2.88E-01	NaN	4.41E-03	BMP4,	
Superpathway of Inositol Phosphate Compounds	2.9E-01	NaN	4.44E-03	EYA4,	
Integrin Signaling	3.03E-01	NaN	4.63E-03	Cdc42,	
AMPK Signaling	3.04E-01	NaN	4.65E-03	CFTR,	
CREB Signaling in Neurons	3.04E-01	NaN	4.65E-03	POLR2A,	
Thrombin Signaling	3.06E-01	NaN	4.67E-03	Cdc42,	
cAMP-mediated signaling	3.14E-01	NaN	4.81E-03	ENPP6,	
mTOR Signaling	3.17E-01	NaN	4.85E-03	Cdc42,	
IL-8 Signaling	3.25E-01	NaN	4.98E-03	Cdc42,	
Leukocyte Extravasation Signaling	3.34E-01	NaN	5.13E-03	CLDN14,	
Osteoarthritis Pathway	3.36E-01	NaN	5.15E-03	CASQ1,	
Endothelin-1 Signaling	3.39E-01	NaN	5.21E-03	CASQ1,	
3-phosphoinositide Biosynthesis	3.41E-01	NaN	5.24E-03	EYA4,	
Calcium Signaling	3.43E-01	NaN	5.26E-03	CASQ1,	
ILK Signaling	3.43E-01	NaN	5.26E-03	Cdc42,	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.48E-01	NaN	5.35E-03	Cdc42,	
Cardiac Hypertrophy Signaling (Enhanced)	3.55E-01	NaN	4.25E-03	ENPP6,IL17B	
NF-κB Signaling	3.64E-01	NaN	5.62E-03	BMP4,	
Ephrin Receptor Signaling	3.65E-01	NaN	5.65E-03	EPHA10,	
CXCR4 Signaling	3.67E-01	NaN	5.68E-03	Cdc42,	
Systemic Lupus Erythematosus Signaling	3.67E-01	NaN	5.68E-03	TNFRSF13C,	
Germ Cell-Sertoli Cell Junction Signaling	3.69E-01	NaN	5.71E-03	Cdc42,	
Glioblastoma Multiforme Signaling	3.69E-01	NaN	5.71E-03	Cdc42,	
Sertoli Cell-Sertoli Cell Junction Signaling	3.73E-01	NaN	5.78E-03	CLDN14,	
Hepatic Cholestasis	3.79E-01	NaN	5.88E-03	IL17B,	
RhoGDI Signaling	3.79E-01	NaN	5.88E-03	Cdc42,	
Tec Kinase Signaling	3.82E-01	NaN	5.95E-03	Cdc42,	
Gαq Signaling	3.93E-01	NaN	6.13E-03	Cdc42,	
Tight Junction Signaling	4.05E-01	NaN	6.37E-03	CLDN14,	
Agranulocyte Adhesion and Diapedesis	4.14E-01	NaN	6.54E-03	CLDN14,	
Relaxin Signaling	4.14E-01	NaN	6.54E-03	ENPP6,	
Endocannabinoid Cancer Inhibition Pathway	4.16E-01	NaN	6.58E-03	CASQ1,	
D-myo-inositol-5-phosphate Metabolism	4.23E-01	NaN	6.71E-03	EYA4,	
Hereditary Breast Cancer Signaling	4.23E-01	NaN	6.71E-03	POLR2A,	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	4.23E-01	NaN	6.71E-03	IL17B,	
3-phosphoinositide Degradation	4.32E-01	NaN	6.90E-03	EYA4,	
Granulocyte Adhesion and Diapedesis	4.32E-01	NaN	6.90E-03	CLDN14,	
Human Embryonic Stem Cell Pluripotency	4.39E-01	NaN	7.04E-03	BMP4,	
STAT3 Pathway	4.59E-01	NaN	7.46E-03	MAP3K21,	
Molecular Mechanisms of Cancer	4.61E-01	NaN	5.18E-03	Cdc42,BMP4	
Estrogen Receptor Signaling	4.65E-01	NaN	7.58E-03	POLR2A,	
Androgen Signaling	4.67E-01	NaN	7.63E-03	POLR2A,	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.67E-01	NaN	7.63E-03	EYA4,	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.67E-01	NaN	7.63E-03	EYA4,	
Cardiac β-adrenergic Signaling	4.7E-01	NaN	7.69E-03	ENPP6,	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	4.73E-01	NaN	7.75E-03	BMP4,	
Adipogenesis pathway	4.84E-01	NaN	8.00E-03	BMP4,	
Endocannabinoid Neuronal Synapse Pathway	4.84E-01	NaN	8.00E-03	FAAH,	
Iron homeostasis signaling pathway	4.93E-01	NaN	8.20E-03	BMP4,	
Protein Kinase A Signaling	4.94E-01	NaN	5.49E-03	DUSP3,ENPP6	
Phagosome Formation	4.96E-01	NaN	8.26E-03	Cdc42,	
Gustation Pathway	5.01E-01	NaN	8.40E-03	ENPP6,	
Mouse Embryonic Stem Cell Pluripotency	5.17E-01	NaN	8.77E-03	BMP4,	
Cholecystokinin/Gastrin-mediated Signaling	5.2E-01	NaN	8.85E-03	Cdc42,	
Sumoylation Pathway	5.76E-01	NaN	1.03E-02	Cdc42,	
TGF-β Signaling	5.88E-01	NaN	1.06E-02	BMP4,	
NER Pathway	6.13E-01	NaN	1.14E-02	POLR2A,	
Factors Promoting Cardiogenesis in Vertebrates	6.17E-01	NaN	1.15E-02	BMP4,	
Glioma Invasiveness Signaling	6.21E-01	NaN	1.16E-02	Cdc42,	
Regulation of Actin-based Motility by Rho	6.26E-01	NaN	1.18E-02	Cdc42,	
BMP signaling pathway	6.49E-01	NaN	1.25E-02	BMP4,	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	6.59E-01	NaN	1.28E-02	TNFRSF13C,	
Basal Cell Carcinoma Signaling	7.12E-01	NaN	1.47E-02	BMP4,	
Actin Nucleation by ARP-WASP Complex	7.17E-01	NaN	1.49E-02	Cdc42,	
Communication between Innate and Adaptive Immune Cells	7.29E-01	NaN	1.54E-02	TNFRSF13C,	
Axonal Guidance Signaling	7.38E-01	NaN	6.44E-03	EPHA10,BMP4,SEMA5A	
Signaling by Rho Family GTPases	7.41E-01	NaN	8.16E-03	Cdc42,MAP3K21	
Huntington's Disease Signaling	7.57E-01	NaN	8.37E-03	POLR2A,CASQ1	
Ephrin A Signaling	7.61E-01	NaN	1.67E-02	EPHA10,	
Semaphorin Signaling in Neurons	7.88E-01	NaN	1.79E-02	Cdc42,	
Assembly of RNA Polymerase II Complex	8.5E-01	NaN	2.08E-02	POLR2A,	
Triacylglycerol Degradation	9.04E-01	NaN	2.38E-02	FAAH,	
B Cell Activating Factor Signaling	9.14E-01	NaN	2.44E-02	TNFRSF13C,	
Mechanisms of Viral Exit from Host Cells	9.34E-01	NaN	2.56E-02	LMNB1,	
tRNA Splicing	9.34E-01	NaN	2.56E-02	ENPP6,	
HMGB1 Signaling	1.01E00	NaN	1.20E-02	Cdc42,IL17B	
Nucleotide Excision Repair Pathway	1.02E00	NaN	3.12E-02	POLR2A,	
B Cell Development	1.12E00	NaN	4.00E-02	RAG1,	
Sphingosine-1-phosphate Signaling	1.23E00	NaN	1.60E-02	Cdc42,CASQ1	
Cardiomyocyte Differentiation via BMP Receptors	1.28E00	NaN	5.88E-02	BMP4,	
Parkinson's Signaling	1.31E00	NaN	6.25E-02	UCHL1,	
Granzyme B Signaling	1.33E00	NaN	6.67E-02	LMNB1,	
Methylglyoxal Degradation I	2.02E00	NaN	3.33E-01	HAGHL,	
Primary Immunodeficiency Signaling	2.24E00	NaN	5.56E-02	RAG1,TNFRSF13C	
Anandamide Degradation	2.5E00	NaN	1.00E00	FAAH,	

Upstream Regulators for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
