© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->R62_12wk_Cd11b_Multiprobe - 2019-10-20 07:00 PM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	R62_12wk_Cd11b_Multiprobe - 2019-10-20 07:00 PM
Date	Sun Oct 20 16:01:05 PDT 2019
Analysis ID	18426086

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->R62_12wk_Cd11b_Multiprobe - 2019-10-20 07:00 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00	-1.0	2.65E-02	DUSP27,MTMR9,PPP1R1A,PPP1R1B	
3-phosphoinositide Degradation	-0E00	-1.0	2.82E-02	DUSP27,MTMR9,PPP1R1A,PPP1R1B	
AMPK Signaling	-0E00	-1.3416407864998738	3.48E-02	ADRA2A,ARID2,FOXO1,MAPK1,PPM1L,PRKAB1,RAB22A	
ATM Signaling	-0E00		3.26E-02	CDK1,PPM1L,TP53BP1	
Acetone Degradation I (to Methylglyoxal)	-0E00		3.70E-02	CYP51A1	
Actin Nucleation by ARP-WASP Complex	-0E00		2.99E-02	RAC2,RAP2B	
Amyotrophic Lateral Sclerosis Signaling	-0E00	-1.0	4.26E-02	CAPN2,IGF1,RNF19A,VEGFA	
Angiopoietin Signaling	-0E00		4.11E-02	FOXO1,RAP2B,STAT5B	
Antioxidant Action of Vitamin C	-0E00		4.04E-02	GSTO2,MAPK1,STAT5B,TNF	
Antiproliferative Role of Somatostatin Receptor 2	-0E00		2.74E-02	MAPK1,RAP2B	
Antiproliferative Role of TOB in T Cell Signaling	-0E00		3.85E-02	MAPK1	
Apelin Cardiomyocyte Signaling Pathway	-0E00	-2.0	4.26E-02	ATP2A2,ATP2A3,MAPK1,PRKCA	
Apelin Pancreas Signaling Pathway	-0E00		2.38E-02	PRKAB1	
Assembly of RNA Polymerase II Complex	-0E00		4.17E-02	GTF2H3,TAF9B	
