© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->R62_12wk_Glt1_Multiprobe - 2019-05-28 07:25 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	R62_12wk_Glt1_Multiprobe - 2019-05-28 07:25 AM
Date	Tue May 28 04:25:23 PDT 2019
Analysis ID	17865872

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Rat OR Human OR Mouse) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->R62_12wk_Glt1_Multiprobe - 2019-05-28 07:25 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
2-ketoglutarate Dehydrogenase Complex	-0E00	NaN	2.50E-01	DHTKD1,	
2-oxobutanoate Degradation I	-0E00	NaN	2.00E-01	MCEE,	
Acetone Degradation I (to Methylglyoxal)	-0E00	NaN	1.11E-01	POR,FAM213B,CYP51A1	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	-0E00	NaN	1.67E-01	PDHB,	
Actin Cytoskeleton Signaling	-0E00	0.29488391230979427	2.50E-01	GNA13,MRAS,TLN2,PIK3CB,PAK5,PAK3,F2R,PIK3CD,FRS2,PIP5K1A,FGF13,IQGAP2,PIP5K1C,FGF11,FGFR4,ARPC1A,PIK3R3,TLN1,RAF1,PTK2,BRK1,VAV2,NRAS,RASD1,GNG12,ITGA5,FGFR2,ACTR2,GNA12,LBP,GAB1,PIK3R1,FLT3,TRIO,ROCK1,CYFIP2,MYLK2,VAV3,FGFR3,LIMK2,PPP1R12A,ATM,MYL2,PAK1,MSN,FGF7,SOS1,BAIAP2,MYLPF,RALA,RRAS,RAC1,SHC1,APC2,NCKAP1	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	1.90E-01	CLDN10,MMP2,TNFRSF1A,CLDN8,HRH1,VCAM1,Cxcl11,GLG1,CLDN14,C5AR1,CXCL16,MMP15,IL33,MMP11,CXCL10,MYL2,MSN,ITGA6,MMP7,CCL22,IL18,CCL25,CLDN11,ICAM1,CXCL14,ITGA5,OPN1SW,MMP24,MMP14	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	NaN	1.43E-01	MMP2,	
Allograft Rejection Signaling	-0E00	NaN	1.67E-01	HLA-A,HLA-DQB1,HLA-DQA1,HLA-DMB,B2M,CD40	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	NaN	1.41E-01	NFKB1,IL18,HLA-A,CHUK,HLA-DQB1,HLA-DQA1,CSF1,HLA-DMB,TNFRSF13C,CD40,IL33	
Androgen Biosynthesis	-0E00	NaN	1.54E-01	EBP,SRD5A1	
