© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->R62_6wk_Glt1_Multiprobe - 2019-05-28 07:23 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	R62_6wk_Glt1_Multiprobe - 2019-05-28 07:23 AM
Date	Tue May 28 04:24:00 PDT 2019
Analysis ID	17865867

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->R62_6wk_Glt1_Multiprobe - 2019-05-28 07:23 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	-0E00	NaN	7.25E-03	RASD1,	
AMPK Signaling	-0E00	NaN	9.30E-03	PPM1A,CCND1	
Actin Cytoskeleton Signaling	-0E00	NaN	9.09E-03	RASD1,CYFIP2	
Agrin Interactions at Neuromuscular Junction	-0E00	NaN	1.33E-02	RASD1,	
Amyotrophic Lateral Sclerosis Signaling	-0E00	NaN	9.09E-03	GRIN3A,	
Angiopoietin Signaling	-0E00	NaN	1.15E-02	RASD1,	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	NaN	1.16E-02	RASD1,	
Apelin Endothelial Signaling Pathway	-0E00	NaN	7.87E-03	RASD1,	
Apoptosis Signaling	-0E00	NaN	1.03E-02	RASD1,	
Aryl Hydrocarbon Receptor Signaling	-0E00	NaN	7.52E-03	CCND1,	
B Cell Receptor Signaling	-0E00	NaN	5.52E-03	RASD1,	
Breast Cancer Regulation by Stathmin1	-0E00	NaN	4.85E-03	RASD1,	
CREB Signaling in Neurons	-0E00	NaN	9.30E-03	RASD1,POLR2A	
CXCR4 Signaling	-0E00	NaN	5.68E-03	RASD1,	
Calcium Signaling	-0E00	NaN	5.26E-03	GRIN3A,	
