Node	Module	Type
SPAG1	3	Gene
EPB41L1	1	Gene
HOXB6	1	Gene
SALL4	1	Gene
HOXD1	3	Gene
CHKA	3	Gene
HOXD3	3	Gene
RNASEH2B	3	Gene
C19orf12	3	Gene
NID1	3	Gene
ARFGEF3	3	Gene
GIPR	3	Gene
NAA25	3	Gene
KLF11	3	Gene
ARHGAP15	3	Gene
ANGPTL6	3	Gene
FBXO3	3	Gene
MOGS	3	Gene
ATP10B	3	Gene
AI504432	3	Gene
Fcor	3	Gene
MED27	3	Gene
PIEZO2	3	Gene
KLF15	3	Gene
SLC12A3	3	Gene
CTSK	3	Gene
DSCAML1	0	Gene
RPTOR	3	Gene
AGO2	3	Gene
ZYX	0	Gene
SYT9	0	Gene
AMPH	3	Gene
FCHO1	0	Gene
DIP2A	3	Gene
DEPTOR	3	Gene
HERPUD1	3	Gene
SLC4A2	3	Gene
KIF1B	3	Gene
ETNPPL	3	Gene
ERLIN2	3	Gene
ST8SIA3	3	Gene
XPA	3	Gene
RPS6KA5	3	Gene
MICU1	3	Gene
USP2	3	Gene
PRKRA	3	Gene
BCHE	3	Gene
FRMD4B	3	Gene
BCAS1	3	Gene
PRIM2	3	Gene
ZNF239	3	Gene
DLG2	3	Gene
CTIF	3	Gene
ETV1	3	Gene
DMP1	3	Gene
FIS1	0	Gene
TRAPPC12	0	Gene
ATP13A2	3	Gene
SEC16B	0	Gene
PHACTR1	0	Gene
SPAG5	0	Gene
GRHL3	0	Gene
MAP1A	0	Gene
DMTN	0	Gene
MICAL2	0	Gene
BCL6	3	Gene
DCTN6	0	Gene
PROX1	3	Gene
LINGO2	0	Gene
EN2	3	Gene
PBX3	3	Gene
ODF2	0	Gene
FGF1	3	Gene
CCDC13	0	Gene
NEDD9	0	Gene
CHMP2B	0	Gene
BCL11B	0	Gene
TMEM108	0	Gene
NKX2-8	0	Gene
DACT1	0	Gene
CDK16	0	Gene
ADGRG6	0	Gene
SNAP91	0	Gene
SKIL	0	Gene
MATN2	0	Gene
