Filename,Type,Sort,Age,Sample,SampleID,Condition,Days
MZ_01_WT1a_Goldman092313_10172013_(Mouse430_2).CEL,WT,Glt1,6wk,1,WT_Glt1_6wk_1,CTR,42
MZ_02_WT1b_Goldman092313_10172013_(Mouse430_2).CEL,WT,CD11b,6wk,1,WT_CD11b_6wk_1,CTR,42
MZ_03_WT1c_Goldman092313_10172013_(Mouse430_2).CEL,WT,Neg,6wk,1,WT_Neg_6wk_1,CTR,42
MZ_04_WT2a_Goldman092313_10172013_(Mouse430_2).CEL,WT,Glt1,6wk,2,WT_Glt1_6wk_2,CTR,42
MZ_05_WT2b_Goldman092313_10172013_(Mouse430_2).CEL,WT,CD11b,6wk,2,WT_CD11b_6wk_2,CTR,42
MZ_06_WT2c_Goldman092313_10172013_(Mouse430_2).CEL,WT,Neg,6wk,2,WT_Neg_6wk_2,CTR,42
MZ_07_WT3a_Goldman092313_10172013_(Mouse430_2).CEL,WT,Glt1,6wk,3,WT_Glt1_6wk_3,CTR,42
MZ_08_WT3b_Goldman092313_10172013_(Mouse430_2).CEL,WT,CD11b,6wk,3,WT_CD11b_6wk_3,CTR,42
MZ_09_WT3c_Goldman092313_10172013_(Mouse430_2).CEL,WT,Neg,6wk,3,WT_Neg_6wk_3,CTR,42
MZ_10_WT4a_Goldman092313_10172013_(Mouse430_2).CEL,WT,Glt1,6wk,4,WT_Glt1_6wk_4,CTR,42
MZ_11_WT4b_Goldman092313_10172013_(Mouse430_2).CEL,WT,CD11b,6wk,4,WT_CD11b_6wk_4,CTR,42
MZ_12_WT4c_Goldman092313_10172013_(Mouse430_2).CEL,WT,Neg,6wk,4,WT_Neg_6wk_4,CTR,42
MZ_13_WT5a_Goldman092313_10172013_(Mouse430_2).CEL,WT,Glt1,6wk,5,WT_Glt1_6wk_5,CTR,42
MZ_14_WT5b_Goldman092313_10172013_(Mouse430_2).CEL,WT,CD11b,6wk,5,WT_CD11b_6wk_5,CTR,42
MZ_15_WT5c_Goldman092313_10172013_(Mouse430_2).CEL,WT,Neg,6wk,5,WT_Neg_6wk_5,CTR,42
MZ_16_R6.2_1a_Goldman092313_10172013_(Mouse430_2).CEL,R62,Glt1,6wk,6,R62_Glt1_6wk_6,HD,42
MZ_17_R6.2_1b_Goldman092313_10172013_(Mouse430_2).CEL,R62,CD11b,6wk,6,R62_CD11b_6wk_6,HD,42
MZ_18_R6.2_1c_Goldman092313_10172013_(Mouse430_2).CEL,R62,Neg,6wk,6,R62_Neg_6wk_6,HD,42
MZ_19_R6.2_3a_Goldman092313_10172013_(Mouse430_2).CEL,R62,Glt1,6wk,7,R62_Glt1_6wk_7,HD,42
MZ_20_R6.2_3b_Goldman092313_10172013_(Mouse430_2).CEL,R62,CD11b,6wk,7,R62_CD11b_6wk_7,HD,42
MZ_21_R6.2_3c_Goldman092313_10172013_(Mouse430_2).CEL,R62,Neg,6wk,7,R62_Neg_6wk_7,HD,42
