ensembl_gene_id	Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X.x	external_gene_name.x	gene_biotype	description	percentage_gene_gc_content	X.y	ensembl_gene_id.y	external_gene_name.y	mmusculus_homolog_orthology_type
ENSMUSG00000000385	1458347_s_at	-0.810009118540687	7.07309445459978	-4.02653957348699	0.000323690101427732	0.0176308390580405	0.159783440724407	37514	Tmprss2	protein_coding	Transmembrane protease serine 2 Transmembrane protease serine 2 non-catalytic chain Transmembrane protease serine 2 catalytic chain [Source:UniProtKB/Swiss-Prot;Acc:Q9JIQ8]	46.45	17698	ENSG00000184012	TMPRSS2	ortholog_one2one
ENSMUSG00000015966	1420678_a_at	0.885691056909164	8.08074934440791	4.33748610212184	0.000133831140872226	0.0100468271356916	0.989350871117911	5762	Il17rb	protein_coding	Interleukin-17 receptor B  [Source:UniProtKB/Swiss-Prot;Acc:Q9JIP3]	47.92	826	ENSG00000056736	IL17RB	ortholog_one2one
ENSMUSG00000019775	1439779_at	1.35241552309772	6.2622502125766	5.84989792473303	1.65803324033441e-06	0.000401914851502436	5.14032851731538	24037	Rgs17	protein_coding	regulator of G-protein signaling 17 [Source:MGI Symbol;Acc:MGI:1927469]	40.76	2121	ENSG00000091844	RGS17	ortholog_one2one
ENSMUSG00000020231	1428770_at	0.714763513560524	8.20857099163995	5.52942414565403	4.21443994728256e-06	0.000826108274851591	4.25718100163871	14348	Dip2a	protein_coding	Disco-interacting  A  [Source:UniProtKB/Swiss-Prot;Acc:Q8BWT5]	47.15	11688	ENSG00000160305	DIP2A	ortholog_one2one
ENSMUSG00000020901	1434980_at	1.03579228270649	5.34525005536808	5.88848293523558	1.48222433551768e-06	0.00037061443916822	5.24641586663093	19281	Pik3r5	protein_coding	Phosphoinositide 3-kinase regulatory subunit 5  [Source:UniProtKB/Swiss-Prot;Acc:Q5SW28]	48.12	9148	ENSG00000141506	PIK3R5	ortholog_one2one
ENSMUSG00000021892	1421923_at	0.840950751832537	9.30985590225789	3.51165533606866	0.00134569391572774	0.046297410936007	-1.16907453782864	6335	Sh3bp5	protein_coding	SH3-domain binding protein 5 (BTK-associated) [Source:MGI Symbol;Acc:MGI:1344391]	47.26	7279	ENSG00000131370	SH3BP5	ortholog_one2one
ENSMUSG00000021892	1421922_at	0.725075835012499	7.01158698943325	3.65709345568329	0.000905016630001961	0.035436255346131	-0.800582513291988	6336	Sh3bp5	protein_coding	SH3-domain binding protein 5 (BTK-associated) [Source:MGI Symbol;Acc:MGI:1344391]	47.26	7279	ENSG00000131370	SH3BP5	ortholog_one2one
ENSMUSG00000022099	1460223_a_at	0.713716183743172	7.26166622234473	3.48992866536675	0.001427216163439	0.0479589939365136	-1.22358968780876	38433	Dmtn	protein_coding	Dematin  [Source:UniProtKB/Swiss-Prot;Acc:Q9WV69]	50.9	11482	ENSG00000158856	DMTN	ortholog_one2one
ENSMUSG00000022419	1443579_s_at	0.858763785379262	9.70597978279988	4.40605871355355	0.000109960026718715	0.00879541725051083	1.17431511928436	26256	Deptor	protein_coding	DEP domain-containing mTOR-interacting protein  [Source:UniProtKB/Swiss-Prot;Acc:Q570Y9]	44.32	11092	ENSG00000155792	DEPTOR	ortholog_one2one
ENSMUSG00000022419	1428622_at	0.867547143808345	8.98227500710334	5.11852862822765	1.39645662983072e-05	0.00206429429275138	3.1231847744602	14202	Deptor	protein_coding	DEP domain-containing mTOR-interacting protein  [Source:UniProtKB/Swiss-Prot;Acc:Q570Y9]	44.32	11092	ENSG00000155792	DEPTOR	ortholog_one2one
