Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X	ensembl_gene_id	external_gene_name	gene_biotype	description	percentage_gene_gc_content
1451860_a_at	0.468339072895544	11.9539720583559	5.90249831599785	1.39372799526384e-06	0.0015261321548139	4.93759942881254	32004	ENSMUSG00000030921	Trim30a	protein_coding	Mus musculus tripartite motif-containing 30A (Trim30a), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001357467]	41.04
1445897_s_at	0.372181116140549	11.7714393763131	4.98033921507799	2.06011306129794e-05	0.0159558268930527	2.63124704550086	27104	ENSMUSG00000010358	Ifi35	protein_coding	Interferon-induced 35 kDa protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9D8C4]	47.92
1420915_at	0.484187178152682	11.6645661816183	6.20890757758894	5.7235181874723e-07	0.000727527471812503	5.69167512510541	5356	ENSMUSG00000026104	Stat1	protein_coding	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	45.89
1455500_at	0.554222252825328	11.6193791795656	6.0973156737957	7.91000296845606e-07	0.000897079086654722	5.41807933602139	35858	ENSMUSG00000070327	Rnf213	protein_coding	ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196]	48.39
1426774_at	0.480474319474594	11.3579072657743	6.11376420998336	7.54128667046534e-07	0.00088693910452084	5.45848514123089	12042	ENSMUSG00000038507	Parp12	protein_coding	Poly [ADP-ribose] polymerase 12  [Source:UniProtKB/Swiss-Prot;Acc:Q8BZ20]	42.97
1448380_at	0.980111204221195	11.3532901621312	5.64968603349183	2.9135419188905e-06	0.00272116245983434	4.30947280995513	28227	ENSMUSG00000033880	Lgals3bp	protein_coding	Galectin-3-binding protein  [Source:UniProtKB/Swiss-Prot;Acc:Q07797]	54.02
1451564_at	0.455366172837826	10.7867907285963	5.46243850912259	5.03581426499225e-06	0.00444200783291191	3.84159082779317	31732	ENSMUSG00000034422	Parp14	protein_coding	Poly [ADP-ribose] polymerase 14  [Source:UniProtKB/Swiss-Prot;Acc:Q2EMV9]	43.38
1426278_at	2.04318510675958	10.7488469749534	10.2727627469199	1.0572438922289e-11	5.59546329962145e-08	14.4017418277572	11471	ENSMUSG00000079017	Ifi27l2a	protein_coding	Interferon alpha-inducible protein 27-like protein 2A  [Source:UniProtKB/Swiss-Prot;Acc:Q8R412]	52.18
1443698_at	1.28350395545665	10.5041228044752	9.74730490657135	3.85430508617143e-11	1.22393458011374e-07	13.430374368697	26267	ENSMUSG00000040483	Xaf1	protein_coding	XIAP associated factor 1 [Source:MGI Symbol;Acc:MGI:3772572]	47.32
1421322_a_at	0.754091681474648	10.2998912879015	8.20170562518422	2.13339940513284e-09	6.15873619181756e-06	10.299578002605	5908	ENSMUSG00000002325	Irf9	protein_coding	Interferon regulatory factor 9  [Source:UniProtKB/Swiss-Prot;Acc:Q61179]	50.48
1418580_at	2.26615972309761	9.88678946968414	15.0887269207408	3.53563182965057e-16	5.61369943752768e-12	21.3604274522633	3321	ENSMUSG00000033355	Rtp4	protein_coding	Receptor-transporting protein 4  [Source:UniProtKB/Swiss-Prot;Acc:Q9ER80]	42.57
1451821_a_at	0.884221627998555	9.58623944589619	5.86481009245301	1.55544865867407e-06	0.00159333135987726	4.84426747613017	31963	ENSMUSG00000026222	Sp100	protein_coding	nuclear antigen Sp100 [Source:MGI Symbol;Acc:MGI:109561]	43.52
1418191_at	2.2550172003106	9.48439420257291	15.2792052969905	2.47495172001639e-16	5.61369943752768e-12	21.5739836859764	3418	ENSMUSG00000030107	Usp18	protein_coding	ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]	44.8
1436058_at	1.4749744939348	9.39055223336451	5.78755891854447	1.94830939851679e-06	0.00187480499848184	4.65260893266268	20838	ENSMUSG00000020641	Rsad2	protein_coding	Radical S-adenosyl methionine domain-containing protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8CBB9]	43.51
1422005_at	0.72247331517457	9.38524651526572	5.37256788332935	6.54925083455253e-06	0.00547293316450568	3.6164224131317	6790	ENSMUSG00000024079	Eif2ak2	protein_coding	Interferon-induced, double-stranded RNA-activated protein kinase  [Source:UniProtKB/Swiss-Prot;Acc:Q03963]	43.57
1451905_a_at	1.62412735405158	9.2553885695835	7.3242868659927	2.37900654026091e-08	4.72158454287407e-05	8.34316017125106	31970	ENSMUSG00000000386	Mx1	protein_coding	MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]	46.16
1434600_at	-0.830721456663086	9.11116810618288	-4.67100572559622	5.06643135325433e-05	0.0342307505579981	1.85475903972194	19257	ENSMUSG00000024812	Tjp2	protein_coding	Tight junction protein ZO-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z0U1]	45.7
1428095_a_at	-0.583145007411506	9.1059390938428	-4.51632739339583	7.92592067630013e-05	0.0484014636684443	1.46796690548082	13553	ENSMUSG00000032120	C2cd2l	protein_coding	Mus musculus C2 calcium-dependent domain containing 2-like (C2cd2l), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001359259]	52.96
1438037_at	0.604845036182029	9.04838752718781	4.76164939029552	3.89436235634065e-05	0.0274812170279105	2.08199579397995	22792	ENSMUSG00000029798	Herc6	protein_coding	E3 ISG15--protein ligase Herc6  [Source:UniProtKB/Swiss-Prot;Acc:F2Z461]	38.82
1450027_at	0.776035898417761	9.0136713601867	4.52458923904527	7.73912941205363e-05	0.0481874616626986	1.48858862342233	30196	ENSMUSG00000025743	Sdc3	protein_coding	syndecan 3 [Source:MGI Symbol;Acc:MGI:1349163]	54.39
1418293_at	2.2661071042646	8.99029927088338	13.5029417137649	7.91054258808554e-15	8.37330932948854e-11	19.4187964431662	3027	ENSMUSG00000045932	Ifit2	protein_coding	Mus musculus interferon-induced protein with tetratricopeptide repeats 2 (Ifit2), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001355262]	42.41
1454109_a_at	-0.592514692349079	8.98912789443328	-4.67606254042258	4.99268531490198e-05	0.0342307505579981	1.86742662455638	34407	ENSMUSG00000056962	Jmjd6	protein_coding	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6  [Source:UniProtKB/Swiss-Prot;Acc:Q9ERI5]	52.06
1418825_at	0.599797115826103	8.85485010211409	6.25420775070205	5.02013839743931e-07	0.000705364551549426	5.80237487129395	3524	ENSMUSG00000046879	Irgm1	protein_coding	Mus musculus immunity-related GTPase family M member 1 (Irgm1), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001355757]	45.76
1456890_at	0.601882946239266	8.75391291470918	7.14779456855378	3.90495713073753e-08	7.29423021685707e-05	7.93498018905543	36954	ENSMUSG00000040296	Ddx58	protein_coding	Probable ATP-dependent RNA helicase DDX58  [Source:UniProtKB/Swiss-Prot;Acc:Q6Q899]	44.17
1451426_at	1.10521680451235	8.73481548440787	6.15447588862232	6.70135203684494e-07	0.000818467053576966	5.55837861769476	31709	ENSMUSG00000017830	Dhx58	protein_coding	Probable ATP-dependent RNA helicase DHX58  [Source:UniProtKB/Swiss-Prot;Acc:Q99J87]	50.39
1437176_at	1.4834290419976	8.71385391658913	6.24814867645783	5.10892290525486e-07	0.000705364551549426	5.78758093645991	21945	ENSMUSG00000074151	Nlrc5	protein_coding	Protein NLRC5  [Source:UniProtKB/Swiss-Prot;Acc:C3VPR6]	46.95
1431591_s_at	0.927918573695845	8.70948508243542	4.6486073461576	5.40627317049121e-05	0.0357068849019746	1.7986650156144	16921	ENSMUSG00000035692	Isg15	protein_coding	Ubiquitin-like protein ISG15  [Source:UniProtKB/Swiss-Prot;Acc:Q64339]	50.68
1421911_at	0.576690298342253	8.62380733102715	5.51040359899309	4.37695347991636e-06	0.00397114736442125	3.96161980619828	6558	ENSMUSG00000040033	Stat2	protein_coding	signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039]	47.97
1436230_at	0.852203870057549	8.01180002823948	6.20865774562449	5.72766077635414e-07	0.000727527471812503	5.69106401449119	21007	ENSMUSG00000061577	Adgrg5	protein_coding	Adhesion G-protein coupled receptor G5  [Source:UniProtKB/Swiss-Prot;Acc:Q3V3Z3]	49.09
1453196_a_at	2.420420823296	7.99028587515464	10.1721050013451	1.35076270455046e-11	6.12763852614283e-08	14.2192621643425	33395	ENSMUSG00000029561	Oasl2	protein_coding	2'-5'-oligoadenylate synthase-like protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z2F2]	46.64
1435454_a_at	1.41266663305698	7.86895149161093	6.26480572582536	4.86856585975883e-07	0.000705364551549426	5.82824161592438	19974	ENSMUSG00000027580	Helz2	protein_coding	Helicase with zinc finger domain 2  [Source:UniProtKB/Swiss-Prot;Acc:E9QAM5]	54.88
1417244_a_at	1.81216365544493	7.83302311503995	11.9488358877199	2.16036767914836e-13	1.7150618912839e-09	17.1994568424461	2296	ENSMUSG00000025498	Irf7	protein_coding	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	54.82
1450783_at	2.24102383007735	7.75273190104774	10.5695912815745	5.17269241121694e-12	3.28517695036388e-08	14.9300518672331	30595	ENSMUSG00000034459	Ifit1	protein_coding	Interferon-induced protein with tetratricopeptide repeats 1  [Source:UniProtKB/Swiss-Prot;Acc:Q64282]	42.91
1419603_at	1.95351738455384	7.64915063279622	9.86098770711032	2.90455339184282e-11	1.02482325508854e-07	13.6444846051994	4248	ENSMUSG00000073489	Ifi204	protein_coding	Interferon-activable protein 204  [Source:UniProtKB/Swiss-Prot;Acc:P0DOV2]	36.64
1435331_at	1.73367880054158	7.64408410576531	10.0931822358451	1.63835208096653e-11	6.50323379138651e-08	14.0749986689223	19958	ENSMUSG00000043263	Ifi209	protein_coding	Pyrin and HIN domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q8BV49]	37.89
1429947_a_at	1.57510634879316	7.47454122560332	5.8167798315363	1.78917206619098e-06	0.00177547371755921	4.72515949015621	15269	ENSMUSG00000027514	Zbp1	protein_coding	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	49.21
1435083_at	-1.45714543029256	7.0963140339741	-4.90950682958897	2.53264926426862e-05	0.0187033203225233	2.4532460727527	20006	ENSMUSG00000048644	Ctxn1	protein_coding	Cortexin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q8K129]	61.42
1425065_at	1.82587551421319	7.08754277942986	8.04827771618018	3.23105186015023e-09	8.55017098492253e-06	9.96654780203826	10070	ENSMUSG00000032690	Oas2	protein_coding	Mus musculus 2'-5' oligoadenylate synthetase 2 (Oas2), transcript variant 1, mRNA. [Source:RefSeq mRNA;Acc:NM_001347448]	48.91
1450930_at	-1.56288685034589	6.39673729243639	-4.84496596273057	3.05636518043885e-05	0.0220579264329172	2.29112465691647	31520	ENSMUSG00000028785	Hpca	protein_coding	Neuron-specific calcium-binding protein hippocalcin  [Source:UniProtKB/Swiss-Prot;Acc:P84075]	53.33
1424339_at	1.22645944347553	6.27627571443382	5.10313105352804	1.4395576766057e-05	0.0117213215437472	2.93988198231724	9368	ENSMUSG00000041827	Oasl1	protein_coding	2'-5'-oligoadenylate synthase-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q8VI94]	49.58
1450484_a_at	1.27606922166556	6.23412192158955	5.05144317265924	1.67408901013084e-05	0.0132901741291762	2.80996669846562	30563	ENSMUSG00000020638	Cmpk2	protein_coding	UMP-CMP kinase 2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q3U5Q7]	46.55
1437636_at	2.3634379844613	5.93020217840182	7.41061115599439	1.86919195718816e-08	3.95707937336733e-05	8.54108735415659	22489	ENSMUSG00000073491	Ifi213	protein_coding		40.36
1434008_at	-1.43596085240628	5.91191576658861	-4.63156615720425	5.67987367672549e-05	0.0360728777208836	1.75600462579387	18288	ENSMUSG00000046480	Scn4b	protein_coding	Sodium channel subunit beta-4  [Source:UniProtKB/Swiss-Prot;Acc:Q7M729]	51.9
1451280_at	-1.79781784188123	5.32325801785801	-5.427468495292	5.57794476756648e-06	0.00478723340794794	3.75401429598235	31319	ENSMUSG00000032503	Arpp21	protein_coding	cAMP-regulated phosphoprotein 21  [Source:UniProtKB/Swiss-Prot;Acc:Q9DCB4]	42.65
1423231_at	-1.44387636113791	5.09640675215626	-4.64206071644905	5.50980116579045e-05	0.0357068849019746	1.78227457757403	8136	ENSMUSG00000053310	Nrgn	protein_coding	Neurogranin NEUG(55-78) [Source:UniProtKB/Swiss-Prot;Acc:P60761]	48.82
1456288_at	1.70095935823063	4.8965634584828	7.78665522151655	6.60094367383661e-09	1.61240743355909e-05	9.38966217803538	36300	ENSMUSG00000054404	Slfn5	protein_coding	Schlafen family member 5  [Source:UniProtKB/Swiss-Prot;Acc:Q8CBA2]	44.54
1430551_s_at	0.497580647010012	2.13800743975719	4.94984705977706	2.25169636673086e-05	0.0170244328870329	2.55461361633275	15574	ENSMUSG00000056078	Lipm	protein_coding	Lipase member M  [Source:UniProtKB/Swiss-Prot;Acc:Q8K2A6]	40.98
