Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X	ensembl_gene_id	external_gene_name	gene_biotype	description	percentage_gene_gc_content
1416136_at	1.86638930482423	7.04567807100855	7.25253956968991	2.97220726411148e-08	0.0001573040694531	7.80813571676151	480	ENSMUSG00000031740	Mmp2	protein_coding	72 kDa type IV collagenase PEX [Source:UniProtKB/Swiss-Prot;Acc:P33434]	48.5
1417672_at	1.56838843172567	7.70432632072572	4.87854554255725	2.79478996663902e-05	0.0277339235595694	2.25329508677997	2436	ENSMUSG00000026904	Slc4a10	protein_coding	solute carrier family 4, sodium bicarbonate cotransporter-like, member 10 [Source:MGI Symbol;Acc:MGI:2150150]	36.62
1418648_at	1.0858222211828	6.7194866686433	5.38814838926968	6.3251894118534e-06	0.00769725715480984	3.48573002286112	3582	ENSMUSG00000035105	Egln3	protein_coding	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	45.88
1419307_at	1.60826125348462	9.33478696691196	5.9020727666122	1.41438855473548e-06	0.00280711928472658	4.71540837581624	4336	ENSMUSG00000068105	Tnfrsf13c	protein_coding	tumor necrosis factor receptor superfamily, member 13c [Source:MGI Symbol;Acc:MGI:1919299]	53.37
1422311_a_at	0.967086283041475	8.80717758133574	5.78014347512748	2.01656998090671e-06	0.00337032524966802	4.42552976901903	7210	ENSMUSG00000005198	Polr2a	protein_coding	DNA-directed RNA polymerase II subunit RPB1  [Source:UniProtKB/Swiss-Prot;Acc:P08775]	45.41
1422649_at	2.1066687252353	5.60931711295624	5.94059387718458	1.26461134879452e-06	0.00267718222539799	4.8067035694683	7568	ENSMUSG00000030092	Cntn6	protein_coding	Contactin-6  [Source:UniProtKB/Swiss-Prot;Acc:Q9JMB8]	36.57
1424049_at	0.63399940561523	9.03330729804013	5.26708196398117	9.0063168473463e-06	0.00986060388197991	3.19362743645679	9106	ENSMUSG00000028617	Lrrc42	protein_coding	Leucine-rich repeat-containing protein 42  [Source:UniProtKB/Swiss-Prot;Acc:Q8R2U7]	43.02
1425391_a_at	1.42525587704385	8.06899565442343	7.66280173152563	9.51099509787256e-09	6.45047067964323e-05	8.6947762947663	10702	ENSMUSG00000037606	Osbpl5	protein_coding	oxysterol binding protein-like 5 [Source:MGI Symbol;Acc:MGI:1930265]	51.42
1425788_a_at	0.790784499805354	6.74152878143768	5.37646263291271	6.54466834135933e-06	0.00769725715480984	3.45756520429751	10917	ENSMUSG00000028601	Echdc2	protein_coding	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q3TLP5]	47.93
1426242_at	0.707365574714348	11.2449253496818	5.83470356125238	1.72048688691178e-06	0.00303522561632687	4.55540803355486	11745	ENSMUSG00000005198	Polr2a	protein_coding	DNA-directed RNA polymerase II subunit RPB1  [Source:UniProtKB/Swiss-Prot;Acc:P08775]	45.41
1426278_at	1.26379162603258	9.56494700227285	4.65022272747336	5.42041088207901e-05	0.0465203101514645	1.70067647938876	11471	ENSMUSG00000079017	Ifi27l2a	protein_coding	Interferon alpha-inducible protein 27-like protein 2A  [Source:UniProtKB/Swiss-Prot;Acc:Q8R412]	52.18
1426562_a_at	1.22393759379033	8.93139777146305	5.2555120074715	9.31563900045338e-06	0.00986060388197991	3.16567923413556	11392	ENSMUSG00000026833	Olfm1	protein_coding	olfactomedin 1 [Source:MGI Symbol;Acc:MGI:1860437]	52.31
1427339_at	2.30946366694445	4.25917453296237	8.56996869237017	8.21696612001776e-10	1.58270502854652e-05	10.5544222296	12701	ENSMUSG00000028836	Slc30a2	protein_coding	solute carrier family 30 (zinc transporter), member 2 [Source:MGI Symbol;Acc:MGI:106637]	51.96
1431693_a_at	1.87542958168168	5.57651200883803	7.63896760087847	1.0156622074702e-08	6.45047067964323e-05	8.64402283985449	16904	ENSMUSG00000024578	Il17b	protein_coding	Interleukin-17B  [Source:UniProtKB/Swiss-Prot;Acc:Q9QXT6]	52.57
1434812_s_at	1.48268597089855	7.08268901120225	6.32157225282126	4.19785415397551e-07	0.00111085715549577	5.70123611319165	19566	ENSMUSG00000044716	Dok7	protein_coding	Mus musculus docking protein 7 (Dok7), transcript variant 4, mRNA. [Source:RefSeq mRNA;Acc:NM_001348276]	55.14
1434993_at	1.54320529821654	7.18935434813268	4.83166566922177	3.20278147849916e-05	0.0308194926817397	2.13975470336286	19608	ENSMUSG00000035131	Brinp3	protein_coding	Mus musculus bone morphotic protein/retinoic acid inducible neural specific 3 (Brinp3), transcript variant 4, mRNA. [Source:RefSeq mRNA;Acc:NM_001357572]	34.78
1435268_at	0.797267199353703	9.66157200894993	5.26027456922615	9.18704737240131e-06	0.00986060388197991	3.17718422501534	20103	ENSMUSG00000040009	Gnaz	protein_coding	guanine nucleotide binding protein, alpha z subunit [Source:MGI Symbol;Acc:MGI:95780]	53.46
1435275_at	1.200933285107	9.29479748564656	5.40068638703283	6.09788506612184e-06	0.00769725715480984	3.51594111366719	20122	ENSMUSG00000051811	Cox6b2	protein_coding	Cytochrome c oxidase subunit 6B2  [Source:UniProtKB/Swiss-Prot;Acc:Q80ZN9]	58.71
1439303_at	2.70218241844846	5.93371641269373	7.95767143451252	4.24365485007814e-09	4.49190865880771e-05	9.31477455382333	23822	ENSMUSG00000086708	Gm15577	antisense	predicted gene 15577 [Source:MGI Symbol;Acc:MGI:3783025]	39.37
1439364_a_at	1.79452421617876	8.42819229110933	6.51565633793667	2.40226824758832e-07	0.000762840282021672	6.15038973705168	23882	ENSMUSG00000031740	Mmp2	protein_coding	72 kDa type IV collagenase PEX [Source:UniProtKB/Swiss-Prot;Acc:P33434]	48.5
1440112_at	1.04050908541007	4.6647462553829	5.01150637961547	1.897888903404e-05	0.0194411168153529	2.57534430288338	24664	ENSMUSG00000042846	Lrrtm3	protein_coding	Leucine-rich repeat transmembrane neuronal protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q8BZ81]	40.28
1442036_a_at	1.46383191404379	3.96968180138986	6.83727887364251	9.58991439908535e-08	0.000385002756985934	6.88366582861347	25568	ENSMUSG00000109814	Gm45847	lincRNA	predicted gene 45847 [Source:MGI Symbol;Acc:MGI:5804962]	44.65
1442037_at	1.84771360488474	4.45517960493343	8.49699244656237	9.96822565609521e-10	1.58270502854652e-05	10.4101072171478	25567	ENSMUSG00000109814	Gm45847	lincRNA	predicted gene 45847 [Source:MGI Symbol;Acc:MGI:5804962]	44.65
1442226_at	1.99802077909374	5.50528555985893	4.73099758202067	4.28965247654382e-05	0.0389194041121855	1.89604697191134	25665	ENSMUSG00000063531	Sema3e	protein_coding	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E [Source:MGI Symbol;Acc:MGI:1340034]	37.15
1442542_at	1.92886482601856	7.43879463968397	6.79186131033778	1.09117455924214e-07	0.000385002756985934	6.78099511741833	25919	ENSMUSG00000010461	Eya4	protein_coding	Mus musculus EYA transcriptional coactivator and phosphatase 4 (Eya4), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001347372]	39.26
1442869_at	1.25736060784879	4.46247845838276	4.74455994662629	4.12422388255852e-05	0.0385190380560723	1.92886834653133	25865	ENSMUSG00000044716	Dok7	protein_coding	Mus musculus docking protein 7 (Dok7), transcript variant 4, mRNA. [Source:RefSeq mRNA;Acc:NM_001348276]	55.14
1446215_at	1.71122130197044	4.58729573668749	4.65661601475867	5.32104995963213e-05	0.0465203101514645	1.71613228812988	27296	ENSMUSG00000093452	Zfhx2os	antisense	zinc finger homeobox 2, opposite strand [Source:MGI Symbol;Acc:MGI:3620246]	53.61
1448321_at	1.30067558964429	9.89210310468581	5.62791696032156	3.14226729349717e-06	0.00453557717750012	4.06185547862923	28064	ENSMUSG00000021136	Smoc1	protein_coding	SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]	45.42
1448539_a_at	1.51035771895926	8.29322280783968	5.94275552249131	1.25669547764021e-06	0.00267718222539799	4.81182243350141	28753	ENSMUSG00000024866	Acy3	protein_coding	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)  [Source:UniProtKB/Swiss-Prot;Acc:Q91XE4]	53.03
1450429_at	1.17659819271542	5.85333508899078	5.5969693886956	3.43903902557383e-06	0.00474811670683031	3.98770394531831	30699	ENSMUSG00000067276	Capn6	protein_coding	Calpain-6  [Source:UniProtKB/Swiss-Prot;Acc:O35646]	39.08
1450673_at	1.40294924205685	5.02295457838808	6.82503411653702	9.92946678409456e-08	0.000385002756985934	6.85601467251347	30947	ENSMUSG00000028626	Col9a2	protein_coding	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	52.07
1452825_at	1.8218398722973	7.4154142732163	5.64326238717375	3.0047767833899e-06	0.00453557717750012	4.09859788385763	32916	ENSMUSG00000035964	Tmem59l	protein_coding	Transmembrane protein 59-like  [Source:UniProtKB/Swiss-Prot;Acc:Q7TNI2]	55.78
1454274_at	0.777116140577838	4.62191812600889	5.64891542136612	2.9556620182153e-06	0.00453557717750012	4.11212885666648	34319	ENSMUSG00000026963	Tmem210	protein_coding	Transmembrane protein 210  [Source:UniProtKB/Swiss-Prot;Acc:Q9D2F0]	57.32
1455342_at	1.12769603834884	8.81555515166219	6.07597687424953	8.53800688656256e-07	0.00208557237448303	5.12638924002554	35174	ENSMUSG00000039126	Prune2	protein_coding	 2  [Source:UniProtKB/Swiss-Prot;Acc:Q52KR3]	42.31
