"","affy_hugene_2_0_st_v1","ensembl_gene_id","external_gene_name"
"1",16657650,"ENSG00000207730","MIR200B"
"2",16657652,"ENSG00000207730","MIR200B"
"3",16658960,"ENSG00000253086","RNU6-537P"
"4",16659393,"ENSG00000252239","RF00026"
"5",16659684,"ENSG00000251866","SCARNA21B"
"6",16660685,"ENSG00000011007","ELOA"
"7",16659478,"ENSG00000116731","PRDM2"
"8",16659422,"ENSG00000204479","PRAMEF17"
"9",16659443,"ENSG00000204479","PRAMEF17"
"10",16659366,"ENSG00000116726","PRAMEF12"
"11",16659371,"ENSG00000116721","PRAMEF1"
"12",16659407,"ENSG00000239810","PRAMEF11"
"13",16659434,"ENSG00000239810","PRAMEF11"
"14",16659413,"ENSG00000239810","PRAMEF11"
"15",16659380,"ENSG00000120952","PRAMEF2"
"16",16659407,"ENSG00000232423","PRAMEF6"
"17",16659387,"ENSG00000204510","PRAMEF7"
"18",16659434,"ENSG00000243073","PRAMEF4"
"19",16659413,"ENSG00000243073","PRAMEF4"
"20",16660581,"ENSG00000159189","C1QC"
"21",16660388,"ENSG00000236936","AL031005.1"
"22",16660392,"ENSG00000231105","AL031728.1"
"23",16660587,"ENSG00000173369","C1QB"
"24",16661155,"ENSG00000131914","LIN28A"
"25",16660596,"ENSG00000133216","EPHB2"
"26",16659434,"ENSG00000274764","PRAMEF27"
"27",16659413,"ENSG00000274764","PRAMEF27"
"28",16659434,"ENSG00000229571","PRAMEF25"
"29",16659399,"ENSG00000229571","PRAMEF25"
"30",16659413,"ENSG00000229571","PRAMEF25"
"31",16660624,"ENSG00000004487","KDM1A"
"32",16658726,"ENSG00000223989","AL357140.1"
"33",16660396,"ENSG00000236009","AL592309.2"
"34",16661164,"ENSG00000117682","DHDDS"
"35",16658736,"ENSG00000173614","NMNAT1"
"36",16658733,"ENSG00000228150","AL357140.2"
"37",16659419,"ENSG00000233336","AC245056.1"
"38",16659440,"ENSG00000233336","AC245056.1"
"39",16659407,"ENSG00000280267","PRAMEF26"
"40",16659434,"ENSG00000280267","PRAMEF26"
"41",16659399,"ENSG00000280267","PRAMEF26"
"42",16659413,"ENSG00000280267","PRAMEF26"
"43",16659407,"ENSG00000204505","PRAMEF9"
"44",16659434,"ENSG00000204505","PRAMEF9"
"45",16659413,"ENSG00000204505","PRAMEF9"
"46",16659371,"ENSG00000279169","PRAMEF13"
"47",16659395,"ENSG00000279804","PRAMEF18"
"48",16659407,"ENSG00000270601","PRAMEF5"
"49",16659371,"ENSG00000204481","PRAMEF14"
"50",16659407,"ENSG00000204501","PRAMEF15"
"51",16659434,"ENSG00000204501","PRAMEF15"
"52",16659413,"ENSG00000204501","PRAMEF15"
"53",16659419,"ENSG00000228229","AC243961.1"
"54",16659440,"ENSG00000228229","AC243961.1"
"55",16659387,"ENSG00000182330","PRAMEF8"
"56",16659338,"ENSG00000048707","VPS13D"
"57",16659251,"ENSG00000048707","VPS13D"
"58",16659865,"ENSG00000055070","SZRD1"
"59",16660495,"ENSG00000278124","RN7SL186P"
"60",16657440,"ENSG00000284332","MIR1302-2"
"61",16659017,"ENSG00000235643","LINC01647"
"62",16657436,"ENSG00000248472","DDX11L9"
"63",16660828,"ENSG00000133226","SRRM1"
"64",16660455,"ENSG00000233431","AL359815.1"
"65",16658802,"ENSG00000054523","KIF1B"
"66",16659455,"ENSG00000259961","AL354712.1"
"67",16658664,"ENSG00000171612","SLC25A33"
"68",16661192,"ENSG00000198830","HMGN2"
"69",16660555,"ENSG00000070886","EPHA8"
"70",16660527,"ENSG00000184677","ZBTB40"
"71",16660552,"ENSG00000237200","ZBTB40-IT1"
"72",16660652,"ENSG00000252578","RNU6-135P"
"73",16658641,"ENSG00000234546","LINC01759"
"74",16658644,"ENSG00000049239","H6PD"
"75",16660933,"ENSG00000157978","LDLRAP1"
"76",16660386,"ENSG00000251914","RNU7-200P"
"77",16658607,"ENSG00000252254","RF00019"
"78",16660757,"ENSG00000158055","GRHL3"
"79",16658528,"ENSG00000049245","VAMP3"
"80",16659449,"ENSG00000204478","PRAMEF20"
"81",16659428,"ENSG00000204478","PRAMEF20"
"82",16660403,"ENSG00000142794","NBPF3"
"83",16659349,"ENSG00000188984","AADACL3"
"84",16659343,"ENSG00000204518","AADACL4"
"85",16659340,"ENSG00000229484","AC243836.1"
"86",16658655,"ENSG00000171621","SPSB1"
"87",16660458,"ENSG00000187942","LDLRAD2"
"88",16661149,"ENSG00000169442","CD52"
"89",16661141,"ENSG00000142669","SH3BGRL3"
"90",16659217,"ENSG00000120949","TNFRSF8"
"91",16661438,"ENSG00000225886","AL445490.1"
"92",16659238,"ENSG00000028137","TNFRSF1B"
"93",16661443,"ENSG00000009780","FAM76A"
"94",16658639,"ENSG00000252404","RF00424"
"95",16658909,"ENSG00000142655","PEX14"
"96",16658889,"ENSG00000251503","CENPS-CORT"
"97",16660324,"ENSG00000158816","VWA5B1"
"98",16657793,"ENSG00000160072","ATAD3B"
"99",16661253,"ENSG00000238705","MIR1976"
"100",16660231,"ENSG00000201609","RNU4-28P"
"101",16661342,"ENSG00000253368","TRNP1"
"102",16661323,"ENSG00000090273","NUDC"
"103",16661206,"ENSG00000117676","RPS6KA1"
"104",16661253,"ENSG00000117676","RPS6KA1"
"105",16660654,"ENSG00000249087","ZNF436-AS1"
"106",16661117,"ENSG00000130695","CEP85"
"107",16661459,"ENSG00000117758","STX12"
"108",16661102,"ENSG00000188782","CATSPER4"
"109",16659054,"ENSG00000177674","AGTRAP"
"110",16661058,"ENSG00000197245","FAM110D"
"111",16660356,"ENSG00000183114","FAM43B"
"112",16658157,"ENSG00000283572","MIR4251"
"113",16657910,"ENSG00000189409","MMP23B"
"114",16657895,"ENSG00000189409","MMP23B"
"115",16659171,"ENSG00000116688","MFN2"
"116",16658609,"ENSG00000232912","AL096855.1"
"117",16661027,"ENSG00000252190","RF00492"
"118",16661029,"ENSG00000252190","RF00492"
"119",16660734,"ENSG00000264926","MIR378F"
"120",16661255,"ENSG00000117713","ARID1A"
"121",16660436,"ENSG00000162551","ALPL"
"122",16658622,"ENSG00000131686","CA6"
"123",16659133,"ENSG00000242349","NPPA-AS1"
"124",16660360,"ENSG00000158825","CDA"
"125",16657440,"ENSG00000283801","MIR1302-11"
"126",16659393,"ENSG00000207434","RNU6-1072P"
"127",16661475,"ENSG00000223062","RNU6-1245P"
"128",16658412,"ENSG00000253022","RNU6-731P"
"129",16657767,"ENSG00000179403","VWA1"
"130",16657764,"ENSG00000205116","TMEM88B"
"131",16657761,"ENSG00000205116","TMEM88B"
"132",16657473,"ENSG00000230178","OR4F3"
"133",16661351,"ENSG00000142784","WDTC1"
"134",16661320,"ENSG00000226698","AL034380.1"
"135",16658864,"ENSG00000142657","PGD"
"136",16658889,"ENSG00000175279","CENPS"
"137",16658750,"ENSG00000202415","RN7SKP269"
"138",16660673,"ENSG00000142676","RPL11"
"139",16659501,"ENSG00000189337","KAZN"
"140",16659508,"ENSG00000189337","KAZN"
"141",16660497,"ENSG00000218510","LINC00339"
"142",16660212,"ENSG00000040487","PQLC2"
"143",16661020,"ENSG00000236528","AL033528.2"
"144",16659856,"ENSG00000224621","AL451042.1"
"145",16659862,"ENSG00000234166","ARHGEF19-AS1"
"146",16660664,"ENSG00000197880","MDS2"
"147",16658758,"ENSG00000130939","UBE4B"
"148",16659459,"ENSG00000162493","PDPN"
"149",16658690,"ENSG00000171608","PIK3CD"
"150",16658674,"ENSG00000188807","TMEM201"
"151",16661429,"ENSG00000181773","GPR3"
"152",16660953,"ENSG00000117643","MAN1C1"
"153",16660919,"ENSG00000204178","MACO1"
"154",16658589,"ENSG00000227634","LINC01714"
"155",16658594,"ENSG00000162426","SLC45A1"
"156",16661031,"ENSG00000158008","EXTL1"
"157",16661048,"ENSG00000284309","AL391650.2"
"158",16661051,"ENSG00000175087","PDIK1L"
"159",16660976,"ENSG00000162430","SELENON"
"160",16660309,"ENSG00000227066","Z98257.1"
