Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X	ensembl_gene_id	external_gene_name	gene_biotype	description	percentage_gene_gc_content
1420484_a_at	-0.304449219174648	13.2899065254268	-3.06284714509351	0.0044082028985287	0.029562873159777	-2.67867739525365	5133	ENSMUSG00000017344	Vtn	protein_coding	vitronectin [Source:MGI Symbol;Acc:MGI:98940]	53.06
1451064_a_at	0.651302115230548	12.977128629936	3.32746095524689	0.002203438124723	0.0174925444126447	-2.02628329061354	31195	ENSMUSG00000024640	Psat1	protein_coding	phosphoserine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:2183441]	45.71
1420941_at	-0.372580379141388	12.9162909237886	-2.81947293246522	0.00816771717606297	0.0466821200370554	-3.25240322168806	5799	ENSMUSG00000026678	Rgs5	protein_coding	regulator of G-protein signaling 5 [Source:MGI Symbol;Acc:MGI:1098434]	41.35
1422432_at	0.319424591617151	12.8917951007899	3.14263811509026	0.00358486214502353	0.0253140532388753	-2.48489873461677	6884	ENSMUSG00000026385	Dbi	protein_coding	diazepam binding inhibitor [Source:MGI Symbol;Acc:MGI:94865]	48.88
1452670_at	-0.482571523575993	12.8863022158713	-5.24398393096905	9.63439518021987e-06	0.000238642916496008	3.22522054624649	32971	ENSMUSG00000067818	Myl9	protein_coding	Myosin regulatory light polypeptide 9  [Source:UniProtKB/Swiss-Prot;Acc:Q9CQ19]	54.59
1420171_s_at	-0.24007403943954	12.8795245109824	-3.29881742078423	0.00237768257357067	0.0185694319045097	-2.09820922025736	4950	ENSMUSG00000022443	Myh9	protein_coding	myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]	52.06
1424562_a_at	0.337691263395586	12.8425567186583	4.22258533049229	0.000185201666297971	0.0025794205760053	0.345463114604065	9686	ENSMUSG00000031633	Slc25a4	protein_coding	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4 [Source:MGI Symbol;Acc:MGI:1353495]	49.84
1455439_a_at	-0.358872080839976	12.8058589172011	-3.30547399416595	0.00233604864001942	0.0183208754170948	-2.08152098185257	35974	ENSMUSG00000068220	Lgals1	protein_coding	Galectin-1  [Source:UniProtKB/Swiss-Prot;Acc:P16045]	55.15
1426864_a_at	0.268283332133075	12.7879276405851	3.55365262808667	0.00119844459089327	0.0111253307423903	-1.44826147193595	12310	ENSMUSG00000039542	Ncam1	protein_coding	neural cell adhesion molecule 1 isoform 3  [Source:RefSeq peptide;Acc:NP_001106675]	43.02
1430713_s_at	0.183558467329972	12.6652661897941	3.02543798913957	0.0048532793902568	0.0317176141258705	-2.76860001122235	16053	ENSMUSG00000036199	Ndufa13	protein_coding	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13  [Source:UniProtKB/Swiss-Prot;Acc:Q9ERS2]	51.64
1416454_s_at	-0.520136513554933	12.6403772507915	-4.84506520852298	3.08047478431635e-05	0.000612143158798284	2.08880719232378	718	ENSMUSG00000035783	Acta2	protein_coding	Actin, aortic smooth muscle Actin, aortic smooth muscle, intermediate form [Source:UniProtKB/Swiss-Prot;Acc:P62737]	44.43
1454698_at	0.261294963060404	12.6054933014427	3.14681171510742	0.00354609766904977	0.0251029608141353	-2.47469034554496	34615	ENSMUSG00000033629	Hacd3	protein_coding	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3  [Source:UniProtKB/Swiss-Prot;Acc:Q8K2C9]	44.72
1428306_at	0.406613668706024	12.6005443639805	3.57619112250322	0.0011270616828182	0.0106138888008797	-1.38974788997252	13773	ENSMUSG00000020108	Ddit4	protein_coding	DNA damage-inducible transcript 4 protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9D3F7]	58.03
